,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,14,MCCARTHY Jay,25,BORA - hansgrohe,300.0,200.0,4:04:00,Cadel_Evans_Great_Ocean_Road_Race,0,28 January 2018,40.33 km/h,0,164 km,73
1,2,31,VIVIANI Elia,28,Quick-Step Floors,250.0,150.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,28 January 2018,40.33 km/h,0,164 km,73
2,3,61,IMPEY Daryl,33,Mitchelton-Scott,215.0,120.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,28 January 2018,40.33 km/h,0,164 km,73
3,4,32,DEVENYNS Dries,34,Quick-Step Floors,175.0,100.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,28 January 2018,40.33 km/h,0,164 km,73
4,5,41,GERRANS Simon,37,BMC Racing Team,120.0,90.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,28 January 2018,40.33 km/h,0,164 km,73
5,6,1,ARNDT Nikias,26,Team Sunweb,115.0,80.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,28 January 2018,40.33 km/h,0,164 km,73
6,7,154,VON HOFF Steele,30,Australia,95.0,70.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,28 January 2018,40.33 km/h,0,164 km,73
7,8,84,LAMMERTINK Maurits,27,Team Katusha Alpecin,75.0,60.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,28 January 2018,40.33 km/h,0,164 km,73
8,9,106,BATTAGLIN Enrico,28,Team LottoNL-Jumbo,60.0,50.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,28 January 2018,40.33 km/h,0,164 km,73
9,10,91,BAK Lars Ytting,38,Lotto Soudal,50.0,40.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,28 January 2018,40.33 km/h,0,164 km,73
10,11,101,GESINK Robert,31,Team LottoNL-Jumbo,40.0,36.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,28 January 2018,40.33 km/h,0,164 km,73
11,12,22,DOULL Owain,24,Team Sky,35.0,32.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,28 January 2018,40.33 km/h,0,164 km,73
