,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,5,EVENEPOEL Remco,19,Deceuninck - Quick Step,400.0,225.0,5:44:27,Cl_sica_Ciclista_San_Sebasti_n,0,03 August 2019,39.594 km/h,173,227.3 km,18
1,2,41,VAN AVERMAET Greg,34,CCC Team,320.0,150.0,0:380:38,Cl_sica_Ciclista_San_Sebasti_n,0,03 August 2019,39.594 km/h,173,227.3 km,18
2,3,114,HIRSCHI Marc,20,Team Sunweb,260.0,110.0,",,0:38",Cl_sica_Ciclista_San_Sebasti_n,0,03 August 2019,39.594 km/h,173,227.3 km,18
3,4,21,IZAGIRRE Gorka,31,Astana Pro Team,220.0,90.0,",,0:38",Cl_sica_Ciclista_San_Sebasti_n,0,03 August 2019,39.594 km/h,173,227.3 km,18
4,5,141,MOLLEMA Bauke,32,Trek - Segafredo,180.0,80.0,",,0:38",Cl_sica_Ciclista_San_Sebasti_n,0,03 August 2019,39.594 km/h,173,227.3 km,18
5,6,31,KONRAD Patrick,27,BORA - hansgrohe,140.0,70.0,",,0:38",Cl_sica_Ciclista_San_Sebasti_n,0,03 August 2019,39.594 km/h,173,227.3 km,18
6,7,87,VANENDERT Jelle,34,Lotto Soudal,120.0,60.0,",,0:38",Cl_sica_Ciclista_San_Sebasti_n,0,03 August 2019,39.594 km/h,173,227.3 km,18
7,8,7,MAS Enric,24,Deceuninck - Quick Step,100.0,50.0,",,0:38",Cl_sica_Ciclista_San_Sebasti_n,0,03 August 2019,39.594 km/h,173,227.3 km,18
8,9,57,WOODS Michael,32,EF Education First,80.0,46.0,",,0:38",Cl_sica_Ciclista_San_Sebasti_n,0,03 August 2019,39.594 km/h,173,227.3 km,18
9,10,96,VALVERDE Alejandro,39,Movistar Team,68.0,42.0,",,0:38",Cl_sica_Ciclista_San_Sebasti_n,0,03 August 2019,39.594 km/h,173,227.3 km,18
10,11,143,CICCONE Giulio,24,Trek - Segafredo,56.0,38.0,",,0:38",Cl_sica_Ciclista_San_Sebasti_n,0,03 August 2019,39.594 km/h,173,227.3 km,18
11,12,61,MOLARD Rudy,29,Groupama - FDJ,48.0,34.0,",,0:38",Cl_sica_Ciclista_San_Sebasti_n,0,03 August 2019,39.594 km/h,173,227.3 km,18
