,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,141,ALAPHILIPPE Julian,26,Quick-Step Floors,400.0,225.0,6:03:45,Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
1,2,201,MOLLEMA Bauke,31,Trek - Segafredo,320.0,150.0,",,0:00",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
2,3,107,ROUX Anthony,31,Groupama - FDJ,260.0,110.0,0:160:16,Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
3,4,41,VAN AVERMAET Greg,33,BMC Racing Team,220.0,90.0,",,0:16",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
4,5,86,SIMON Julien,32,"Cofidis, Solutions Crédits",180.0,80.0,",,0:16",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
5,6,161,URÁN Rigoberto,31,Team EF Education First-Drapac p/b Cannondale,140.0,70.0,",,0:16",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
6,7,31,IZAGIRRE Ion,29,Bahrain Merida Pro Cycling Team,120.0,60.0,",,0:16",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
7,8,182,GESINK Robert,32,Team LottoNL-Jumbo,100.0,50.0,",,0:16",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
8,9,183,KRUIJSWIJK Steven,31,Team LottoNL-Jumbo,80.0,46.0,",,0:16",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
9,10,187,TOLHOEK Antwan,24,Team LottoNL-Jumbo,68.0,42.0,",,0:16",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
10,11,105,MOLARD Rudy,28,Groupama - FDJ,56.0,38.0,0:200:20,Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
11,12,211,MARTIN Dan,31,UAE-Team Emirates,48.0,34.0,0:430:43,Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
12,13,207,SKUJIŅŠ Toms,27,Trek - Segafredo,40.0,30.0,0:480:48,Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
13,14,152,ANTÓN Igor,35,Team Dimension Data,32.0,26.0,0:490:49,Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
14,15,126,IMPEY Daryl,33,Mitchelton-Scott,28.0,22.0,0:510:51,Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
15,16,175,KUZNETSOV Viacheslav,29,Team Katusha Alpecin,24.0,20.0,",,0:51",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
16,17,217,ULISSI Diego,29,UAE-Team Emirates,24.0,18.0,",,0:51",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
17,18,22,BILBAO Pello,28,Astana Pro Team,24.0,17.0,",,0:51",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
18,19,145,KNOX James,22,Quick-Step Floors,24.0,16.0,",,0:51",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
19,20,117,VANENDERT Jelle,33,Lotto Soudal,24.0,15.0,",,0:51",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
20,21,84,EDET Nicolas,30,"Cofidis, Solutions Crédits",16.0,14.0,",,0:51",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
21,22,74,ARANBURU Alex,22,Caja Rural - Seguros RGA,16.0,13.0,",,0:51",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
22,23,147,SERRY Pieter,29,Quick-Step Floors,16.0,12.0,",,0:51",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
23,24,24,FRAILE Omar,28,Astana Pro Team,16.0,11.0,0:520:52,Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
24,25,121,NIEVE Mikel,34,Mitchelton-Scott,16.0,10.0,",,0:52",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
25,26,2,CASTROVIEJO Jonathan,31,Team Sky,16.0,9.0,1:131:13,Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
26,27,106,MORABITO Steve,35,Groupama - FDJ,16.0,8.0,",,1:13",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
27,28,203,BERNARD Julien,26,Trek - Segafredo,16.0,7.0,",,1:13",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
28,29,163,CLARKE Simon,32,Team EF Education First-Drapac p/b Cannondale,16.0,6.0,",,1:13",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
29,30,165,MARTÍNEZ Daniel Felipe,22,Team EF Education First-Drapac p/b Cannondale,16.0,5.0,",,1:13",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
30,31,122,BAUER Jack,33,Mitchelton-Scott,8.0,5.0,1:401:40,Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
31,32,53,MCCARTHY Jay,25,BORA - hansgrohe,8.0,5.0,2:222:22,Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
32,33,27,STALNOV Nikita,26,Astana Pro Team,8.0,5.0,",,2:22",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
33,34,215,POLANC Jan,26,UAE-Team Emirates,8.0,5.0,",,2:22",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
34,35,212,ĐURASEK Kristijan,31,UAE-Team Emirates,8.0,5.0,",,2:22",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
35,36,85,PEREZ Anthony,27,"Cofidis, Solutions Crédits",8.0,5.0,",,2:22",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
36,37,171,ZAKARIN Ilnur,28,Team Katusha Alpecin,8.0,5.0,",,2:22",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
37,38,71,PARDILLA Sergio,34,Caja Rural - Seguros RGA,8.0,5.0,",,2:22",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
38,39,81,NAVARRO Daniel,35,"Cofidis, Solutions Crédits",8.0,5.0,",,2:22",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
39,40,143,CAVAGNA Rémi,22,Quick-Step Floors,8.0,5.0,",,2:22",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
40,41,132,AMADOR Andrey,31,Movistar Team,8.0,5.0,",,2:22",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
41,42,216,RIABUSHENKO Alexandr,22,UAE-Team Emirates,8.0,5.0,3:323:32,Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
42,43,72,SCHULTZ Nick,23,Caja Rural - Seguros RGA,8.0,5.0,",,3:32",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
43,44,35,PERNSTEINER Hermann,27,Bahrain Merida Pro Cycling Team,8.0,5.0,",,3:32",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
44,45,77,LASTRA Jonathan,25,Caja Rural - Seguros RGA,8.0,5.0,",,3:32",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
45,46,151,MEINTJES Louis,26,Team Dimension Data,8.0,5.0,",,3:32",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
46,47,64,EZQUERRA Jesús,27,Burgos-BH,8.0,5.0,4:244:24,Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
47,48,96,ITURRIA Mikel,26,Euskadi - Murias,8.0,5.0,",,4:24",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
48,49,146,NARVÁEZ Jhonatan,21,Quick-Step Floors,8.0,5.0,4:264:26,Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
49,50,204,DE KORT Koen,35,Trek - Segafredo,8.0,5.0,4:494:49,Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
50,51,3,DE LA CRUZ David,29,Team Sky,4.0,5.0,",,4:49",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
51,52,144,JUNGELS Bob,25,Quick-Step Floors,4.0,5.0,",,4:49",Clasica_Ciclista_San_Sebastian,0,04 August 2018,37.72 km/h,0,228.7 km,26
