,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,55,GALLOPIN Tony,25,RadioShack - Leopard,80.0,225.0,5:39:02,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
1,2,41,VALVERDE Alejandro,33,Movistar Team,60.0,150.0,0:280:28,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
2,3,101,KREUZIGER Roman,27,Team Saxo - Tinkoff,50.0,110.0,",,0:28",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
3,4,36,NIEVE Mikel,29,Euskaltel - Euskadi,40.0,90.0,",,0:28",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
4,5,103,ROCHE Nicolas,29,Team Saxo - Tinkoff,30.0,80.0,0:290:29,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
5,6,34,LANDA Mikel,23,Euskaltel - Euskadi,22.0,70.0,0:360:36,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
6,7,151,MOSER Moreno,22,Cannondale Pro Cycling Team,14.0,60.0,0:510:51,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
7,8,135,SERRY Pieter,24,Omega Pharma - Quick-Step,10.0,50.0,",,0:51",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
8,9,1,MOLLEMA Bauke,26,Belkin-Pro Cycling Team,6.0,46.0,",,0:51",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
9,10,93,JEANNESSON Arnold,27,FDJ.fr,2.0,42.0,",,0:51",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
10,11,131,CHAVANEL Sylvain,34,Omega Pharma - Quick-Step,,38.0,",,0:51",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
11,12,52,BAKELANTS Jan,27,RadioShack - Leopard,,34.0,",,0:51",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
12,13,3,GESINK Robert,27,Belkin-Pro Cycling Team,,30.0,",,0:51",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
13,14,32,ASTARLOZA Mikel,33,Euskaltel - Euskadi,,26.0,",,0:51",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
14,15,68,POELS Wout,25,Vacansoleil - DCM,,22.0,",,0:51",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
15,16,57,JUNGELS Bob,20,RadioShack - Leopard,,20.0,0:530:53,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
16,17,123,EIJSSEN Yannick,24,BMC Racing Team,,18.0,1:171:17,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
17,18,127,VAN AVERMAET Greg,28,BMC Racing Team,,17.0,1:551:55,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
18,19,64,HOOGERLAND Johnny,30,Vacansoleil - DCM,,16.0,",,1:55",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
19,20,82,BARDET Romain,22,AG2R La Mondiale,,15.0,",,1:55",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
20,21,143,KOLOBNEV Alexandr,32,Team Katusha,,14.0,",,1:55",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
21,22,132,DEVENYNS Dries,30,Omega Pharma - Quick-Step,,13.0,2:222:22,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
22,23,72,ĐURASEK Kristijan,26,Lampre - Merida,,12.0,",,2:22",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
23,24,86,GADRET John,34,AG2R La Mondiale,,11.0,",,2:22",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
24,25,67,MARCATO Marco,29,Vacansoleil - DCM,,10.0,",,2:22",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
25,26,191,ARROYO David,33,Caja Rural - Seguros RGA,,9.0,2:312:31,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
26,27,121,GILBERT Philippe,31,BMC Racing Team,,8.0,2:442:44,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
27,28,153,CARUSO Damiano,25,Cannondale Pro Cycling Team,,7.0,3:123:12,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
28,29,81,BÉRARD Julien,26,AG2R La Mondiale,,6.0,",,3:12",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
29,30,141,BRUTT Pavel,31,Team Katusha,,5.0,",,3:12",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
30,31,61,FLECHA Juan Antonio,35,Vacansoleil - DCM,,5.0,",,3:12",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
31,32,31,ANTÓN Igor,30,Euskaltel - Euskadi,,5.0,3:133:13,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
32,33,92,GENIEZ Alexandre,25,FDJ.fr,,5.0,3:163:16,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
33,34,13,GERRANS Simon,33,Orica GreenEDGE,,5.0,3:193:19,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
34,35,58,MACHADO Tiago,27,RadioShack - Leopard,,5.0,",,3:19",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
35,36,47,QUINTANA Nairo,23,Movistar Team,,5.0,3:203:20,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
36,37,171,FUGLSANG Jakob,28,Astana Pro Team,,5.0,",,3:20",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
37,38,33,IZAGIRRE Gorka,25,Euskaltel - Euskadi,,5.0,4:054:05,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
38,39,192,TXURRUKA Amets,30,Caja Rural - Seguros RGA,,5.0,",,4:05",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
39,40,163,CATALDO Dario,28,Sky Procycling,,5.0,",,4:05",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
40,41,88,NOCENTINI Rinaldo,35,AG2R La Mondiale,,5.0,",,4:05",Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
41,42,187,PARISIEN François,31,Team Argos - Shimano,,5.0,4:404:40,Clasica_Ciclista_San_Sebastian,0,27 July 2013,41.057 km/h,0,232 km,26
