,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,67,VAN AERT Wout,25,Team Jumbo-Visma,60.0,50.0,5:27:42,Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
1,2,2.0,+0:04,105,IMPEY Daryl,35,Mitchelton-Scott,25.0,30.0,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
2,3,3.0,+0:06,31,BERNAL Egan,23,Team INEOS,10.0,18.0,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
3,4,4.0,+0:10,91,VALVERDE Alejandro,40,Movistar Team,,13.0,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
4,5,5.0,+0:10,81,POGAČAR Tadej,21,UAE-Team Emirates,,10.0,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
5,6,6.0,+0:10,5,LUTSENKO Alexey,27,Astana Pro Team,,7.0,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
6,7,7.0,+0:10,13,HIGUITA Sergio,23,EF Pro Cycling,,4.0,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
7,8,8.0,+0:10,73,COSNEFROY Benoît,24,AG2R La Mondiale,,3.0,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
8,9,9.0,+0:10,61,ROGLIČ Primož,30,Team Jumbo-Visma,,2.0,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
9,10,10.0,+0:10,161,MARTIN Guillaume,27,"Cofidis, Solutions Crédits",,1.0,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
10,11,11.0,+0:10,121,BENOOT Tiesj,26,Team Sunweb,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
11,12,12.0,+0:10,131,QUINTANA Nairo,30,Team Arkéa Samsic,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
12,13,13.0,+0:10,51,ALAPHILIPPE Julian,28,Deceuninck - Quick Step,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
13,14,14.0,+0:10,75,LATOUR Pierre,26,AG2R La Mondiale,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
14,15,15.0,+0:10,133,BARGUIL Warren,28,Team Arkéa Samsic,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
15,16,16.0,+0:10,21,BUCHMANN Emanuel,27,BORA - hansgrohe,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
16,17,17.0,+0:10,47,REICHENBACH Sébastien,31,Groupama - FDJ,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
17,18,18.0,+0:10,71,BARDET Romain,29,AG2R La Mondiale,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
18,19,19.0,+0:10,41,PINOT Thibaut,30,Groupama - FDJ,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
19,20,20.0,+0:10,84,FORMOLO Davide,27,UAE-Team Emirates,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
20,21,21.0,+0:10,171,MARTIN Dan,33,Israel Start-Up Nation,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
21,22,22.0,+0:10,62,DUMOULIN Tom,29,Team Jumbo-Visma,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
22,23,23.0,+0:10,64,KRUIJSWIJK Steven,33,Team Jumbo-Visma,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
23,24,24.0,+0:10,55,JUNGELS Bob,27,Deceuninck - Quick Step,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
24,25,25.0,+0:10,147,POZZOVIVO Domenico,37,NTT Pro Cycling,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
25,26,26.0,+0:10,36,THOMAS Geraint,34,Team INEOS,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
26,27,27.0,+0:10,157,VALLS Rafael,33,Bahrain - McLaren,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
27,28,28.0,+0:10,111,PORTE Richie,35,Trek - Segafredo,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
28,29,29.0,+0:10,221,ROLLAND Pierre,33,B&B Hotels - Vital Concept p/b KTM,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
29,30,30.0,+0:10,177,WÜRTZ SCHMIDT Mads,26,Israel Start-Up Nation,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
30,31,31.0,+0:10,101,YATES Adam,28,Mitchelton-Scott,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
31,32,32.0,+0:10,34,KWIATKOWSKI Michał,30,Team INEOS,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
32,33,33.0,+0:10,11,URÁN Rigoberto,33,EF Pro Cycling,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
33,34,34.0,+0:10,151,LANDA Mikel,30,Bahrain - McLaren,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
34,35,35.0,+0:10,126,ROCHE Nicolas,36,Team Sunweb,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
35,36,36.0,+0:10,103,HAIG Jack,26,Mitchelton-Scott,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
36,37,37.0,+0:10,6,SÁNCHEZ Luis León,36,Astana Pro Team,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
37,38,38.0,+0:10,113,ELISSONDE Kenny,29,Trek - Segafredo,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
38,39,39.0,+0:10,186,VANHOUCKE Harm,23,Lotto Soudal,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
39,40,40.0,+0:10,87,POLANC Jan,28,UAE-Team Emirates,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
40,41,41.0,+0:10,196,SICARD Romain,32,Team Total Direct Energie,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
41,42,42.0,+0:10,12,CARTHY Hugh,26,EF Pro Cycling,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
42,43,43.0,+0:10,1,LÓPEZ Miguel Ángel,26,Astana Pro Team,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
43,44,44.0,+0:10,74,GALLOPIN Tony,32,AG2R La Mondiale,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
44,45,45.0,+0:10,46,MADOUAS Valentin,24,Groupama - FDJ,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
45,46,46.0,+0:10,76,PARET-PEINTRE Aurélien,24,AG2R La Mondiale,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
46,47,47.0,+0:10,35,SIVAKOV Pavel,23,Team INEOS,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
47,48,48.0,+0:10,3,IZAGIRRE Gorka,32,Astana Pro Team,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
48,49,49.0,+0:10,174,NEILANDS Krists,25,Israel Start-Up Nation,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
49,50,50.0,+0:10,152,BILBAO Pello,30,Bahrain - McLaren,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
50,51,51.0,+0:10,226,SCHÖNBERGER Sebastian,26,B&B Hotels - Vital Concept p/b KTM,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
51,52,52.0,+0:10,83,DE LA CRUZ David,31,UAE-Team Emirates,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
52,53,53.0,+0:10,16,MARTÍNEZ Daniel Felipe,24,EF Pro Cycling,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
53,54,54.0,+0:10,201,MASNADA Fausto,26,CCC Team,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
54,55,55.0,+0:10,92,MAS Enric,25,Movistar Team,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
55,56,56.0,+0:10,211,BAKELANTS Jan,34,Circus - Wanty Gobert,,,",,0:00",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
56,57,57.0,+0:57,167,ROSSETTO Stéphane,33,"Cofidis, Solutions Crédits",,,0:470:47,Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
57,58,58.0,+0:57,162,EDET Nicolas,32,"Cofidis, Solutions Crédits",,,",,0:47",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
58,59,59.0,+0:57,72,CHEREL Mikaël,34,AG2R La Mondiale,,,",,0:47",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
59,60,60.0,+0:57,181,HAGEN Carl Fredrik,28,Lotto Soudal,,,",,0:47",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
60,61,61.0,+1:07,136,ROSA Diego,31,Team Arkéa Samsic,,,0:570:57,Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
61,62,62.0,+1:07,124,HIRSCHI Marc,21,Team Sunweb,,,",,0:57",Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
62,63,63.0,+1:13,191,TAARAMÄE Rein,33,Team Total Direct Energie,,,1:031:03,Crit_rium_du_Dauphin_,1,12 August 2020,40.01 km/h,107,218.5 km,2
