,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,2,+0:27,31,PORTE Richie,32,BMC Racing Team,60.0,50.0,0:28:07,50.148,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
1,2,21,+1:49,125,MARTIN Tony,32,Team Katusha Alpecin,25.0,30.0,0:120:12,49.794,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
2,3,3,+0:51,51,VALVERDE Alejandro,37,Movistar Team,10.0,18.0,0:240:24,49.445,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
3,4,4,+0:55,81,CLEMENT Stef,34,Team LottoNL-Jumbo,,13.0,0:280:28,49.32899999999999,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
4,5,76,+6:46,135,HAGA Chad,28,Team Sunweb,,10.0,0:320:32,49.215,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
5,6,25,+2:09,58,SÜTTERLIN Jasha,24,Movistar Team,,7.0,",,0:32",49.215,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
6,7,5,+1:02,41,CONTADOR Alberto,34,Trek - Segafredo,,4.0,0:350:35,49.129,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
7,8,6,+1:04,1,FROOME Chris,32,Team Sky,,3.0,0:370:37,49.071999999999996,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
8,9,1,+0:00,104,DE GENDT Thomas,30,Lotto Soudal,,2.0,0:420:42,48.93,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
9,10,7,+1:12,32,BOOKWALTER Brent,33,BMC Racing Team,,1.0,0:450:45,48.845,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
10,11,8,+1:15,56,HERRADA Jesús,26,Movistar Team,,,0:480:48,48.761,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
11,12,9,+1:17,138,OOMEN Sam,21,Team Sunweb,,,0:500:50,48.705,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
12,13,107,+10:44,65,IMPEY Daryl,32,ORICA-Scott,,,0:550:55,48.565,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
13,14,11,+1:24,16,LATOUR Pierre,23,AG2R La Mondiale,,,0:590:59,48.45399999999999,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
14,15,77,+6:52,127,POLITT Nils,23,Team Katusha Alpecin,,,1:001:00,48.426,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
15,16,12,+1:27,151,TALANSKY Andrew,28,Cannondale-Drapac Pro Cycling Team,,,",,1:00",48.426,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
16,17,10,+1:22,187,ULISSI Diego,27,UAE Team Emirates,,,1:011:01,48.398,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
17,18,13,+1:30,101,GALLOPIN Tony,29,Lotto Soudal,,,1:031:03,48.343,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
18,19,14,+1:30,68,YATES Simon,24,ORICA-Scott,,,",,1:03",48.343,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
19,20,15,+1:31,37,ROCHE Nicolas,32,BMC Racing Team,,,1:041:04,48.315,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
20,21,82,+8:04,64,HOWSON Damien,24,ORICA-Scott,,,1:091:09,48.178000000000004,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
21,22,16,+1:37,171,BOASSON HAGEN Edvald,30,Team Dimension Data,,,1:101:10,48.15,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
22,23,43,+2:49,166,SICARD Romain,29,Direct Energie,,,1:121:12,48.096000000000004,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
23,24,17,+1:37,193,BUCHMANN Emanuel,24,BORA - hansgrohe,,,",,1:12",48.096000000000004,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
24,25,74,+6:06,63,HAIG Jack,23,ORICA-Scott,,,1:141:14,48.041000000000004,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
25,26,18,+1:45,21,MARTIN Dan,30,Quick-Step Floors,,,1:181:18,47.931999999999995,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
26,27,19,+1:45,71,ARU Fabio,26,Astana Pro Team,,,",,1:18",47.931999999999995,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
27,28,20,+1:46,73,FUGLSANG Jakob,32,Astana Pro Team,,,1:191:19,47.905,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
28,29,80,+7:23,88,VERMEULEN Alexey,22,Team LottoNL-Jumbo,,,1:211:21,47.851000000000006,Crit_rium_du_Dauphin_,4,07 June 2017,50.15 km/h,0,23.5 km,6
