,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,,,0,DEGENKOLB John,22,HTC - High Road,6.0,50.0,4:15:41,Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
1,2,,,0,BOASSON HAGEN Edvald,24,Sky Procycling,4.0,30.0,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
2,3,,,0,HAEDO Juan José,30,Saxo Bank - Sungard,2.0,18.0,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
3,4,,,0,VAITKUS Tomas,29,Pro Team Astana,1.0,13.0,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
4,5,,,0,BONNET William,28,FDJ,1.0,10.0,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
5,6,,,0,FARRAR Tyler,27,Team Garmin - Cervélo,,7.0,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
6,7,,,0,BANDIERA Marco,26,Quickstep Cycling Team,,4.0,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
7,8,,,0,DUMOULIN Samuel,30,"Cofidis, le Crédit en Ligne",,3.0,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
8,9,,,0,LIGTHART Pim,22,Vacansoleil - DCM,,2.0,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
9,10,,,0,DEHAES Kenny,26,Omega Pharma-Lotto,,1.0,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
10,11,,,0,CHAVANEL Sébastien,28,Team Europcar,,,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
11,12,,,0,BOLE Grega,25,Lampre - ISD,,,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
12,13,,,0,RUIJGH Rob,24,Vacansoleil - DCM,,,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
13,14,,,0,MURPHY John,26,BMC Racing Team,,,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
14,15,,,0,WEGMANN Fabian,30,Leopard Trek,,,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
15,16,,,0,LEMOINE Cyril,28,Saur - Sojasun,,,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
16,17,,,0,HINAULT Sébastien,37,AG2R La Mondiale,,,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
17,18,,,0,KOREN Kristijan,24,Liquigas - Cannondale,,,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
18,19,,,0,DUQUE Leonardo Fabio,31,"Cofidis, le Crédit en Ligne",,,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
19,20,,,0,PATERSKI Maciej,24,Liquigas - Cannondale,,,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
20,21,,,0,FLECHA Juan Antonio,33,Sky Procycling,,,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
21,22,,,0,FINETTO Mauro,26,Liquigas - Cannondale,,,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
22,23,,,0,URTASUN Pablo,31,Euskaltel - Euskadi,,,",,0:00",Crit_rium_du_Dauphin_,4,09 June 2011,40.714 km/h,0,173.5 km,12
