,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,9.0,+0:30,106,VAN AERT Wout,24,Team Jumbo-Visma,60.0,50.0,0:33:38,46.56100000000001,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
1,2,3.0,+0:06,126,VAN GARDEREN Tejay,30,EF Education First,25.0,30.0,0:310:31,45.857,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
2,3,47.0,+8:28,211,DUMOULIN Tom,28,Team Sunweb,10.0,18.0,0:470:47,45.501000000000005,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
3,4,5.0,+0:24,101,KRUIJSWIJK Steven,32,Team Jumbo-Visma,,13.0,0:490:49,45.457,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
4,5,7.0,+0:26,51,BUCHMANN Emanuel,26,BORA - hansgrohe,,10.0,0:510:51,45.413000000000004,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
5,6,1.0,+0:00,11,YATES Adam,26,Mitchelton-Scott,,7.0,0:560:56,45.303999999999995,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
6,7,65.0,+16:08,41,ALAPHILIPPE Julian,27,Deceuninck - Quick Step,,4.0,0:590:59,45.238,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
7,8,17.0,+1:44,136,POLITT Nils,25,Team Katusha Alpecin,,3.0,1:051:05,45.108000000000004,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
8,9,4.0,+0:07,61,FUGLSANG Jakob,34,Astana Pro Team,,2.0,1:071:07,45.065,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
9,10,85.0,+20:09,42,CAVAGNA Rémi,23,Deceuninck - Quick Step,,1.0,1:101:10,45.0,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
10,11,12.0,+0:54,111,PORTE Richie,34,Trek - Segafredo,,,1:191:19,44.806999999999995,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
11,12,6.0,+0:25,91,PINOT Thibaut,29,Groupama - FDJ,,,1:211:21,44.763999999999996,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
12,13,19.0,+2:02,122,BETTIOL Alberto,25,EF Education First,,,1:221:22,44.743,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
13,14,2.0,+0:04,156,TEUNS Dylan,27,Bahrain Merida,,,1:241:24,44.7,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
14,15,21.0,+2:31,13,HOWSON Damien,26,Mitchelton-Scott,,,",,1:24",44.7,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
15,16,31.0,+3:30,165,ROSSKOPF Joey,29,CCC Team,,,1:261:26,44.658,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
16,17,8.0,+0:30,66,LUTSENKO Alexey,26,Astana Pro Team,,,1:301:30,44.573,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
17,18,10.0,+0:40,81,QUINTANA Nairo,29,Movistar Team,,,1:361:36,44.446999999999996,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
18,19,11.0,+0:40,5,POELS Wout,31,Team INEOS,,,",,1:36",44.446999999999996,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
19,20,13.0,+1:13,31,MARTIN Dan,32,UAE-Team Emirates,,,1:381:38,44.405,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
20,21,66.0,+16:47,14,IMPEY Daryl,34,Mitchelton-Scott,,,",,1:38",44.405,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
21,22,107.0,+28:29,133,DOWSETT Alex,30,Team Katusha Alpecin,,,",,1:38",44.405,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
22,23,33.0,+3:46,196,MEURISSE Xandro,27,Wanty - Gobert Cycling Team,,,1:421:42,44.321000000000005,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
23,24,50.0,+9:59,134,GONÇALVES José,30,Team Katusha Alpecin,,,1:441:44,44.278999999999996,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
24,25,51.0,+10:00,105,POWLESS Neilson,22,Team Jumbo-Visma,,,1:451:45,44.258,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
25,26,86.0,+20:47,25,GOUGEARD Alexis,26,AG2R La Mondiale,,,1:481:48,44.196000000000005,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
26,27,14.0,+1:27,21,BARDET Romain,28,AG2R La Mondiale,,,1:521:52,44.113,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
27,28,43.0,+6:49,157,TRATNIK Jan,29,Bahrain Merida,,,1:581:58,43.989,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
28,29,64.0,+16:06,7,VAN BAARLE Dylan,27,Team INEOS,,,2:012:01,43.927,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
29,30,15.0,+1:39,95,MOLARD Rudy,29,Groupama - FDJ,,,2:042:04,43.86600000000001,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
30,31,22.0,+2:45,141,LAMBRECHT Bjorg,22,Lotto Soudal,,,2:062:06,43.825,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
31,32,81.0,+19:35,123,CLARKE Simon,32,EF Education First,,,",,2:06",43.825,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
32,33,62.0,+15:43,163,DE MARCHI Alessandro,33,CCC Team,,,2:072:07,43.803999999999995,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
33,34,101.0,+25:27,64,HOULE Hugo,28,Astana Pro Team,,,",,2:07",43.803999999999995,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
34,35,23.0,+2:52,74,EDET Nicolas,31,"Cofidis, Solutions Crédits",,,2:122:12,43.702,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
35,36,24.0,+2:53,67,CORT Magnus,26,Astana Pro Team,,,2:132:13,43.681999999999995,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
36,37,41.0,+6:39,4,MOSCON Gianni,25,Team INEOS,,,2:142:14,43.662,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
37,38,88.0,+21:14,76,ROSSETTO Stéphane,32,"Cofidis, Solutions Crédits",,,2:152:15,43.641000000000005,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
38,39,42.0,+6:41,93,GAUDU David,22,Groupama - FDJ,,,2:162:16,43.621,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
39,40,67.0,+17:25,216,STORK Florian,22,Team Sunweb,,,",,2:16",43.621,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
40,41,25.0,+3:00,154,PERNSTEINER Hermann,28,Bahrain Merida,,,2:202:20,43.54,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
41,42,106.0,+28:15,137,WÜRTZ SCHMIDT Mads,25,Team Katusha Alpecin,,,",,2:20",43.54,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
42,43,59.0,+13:54,173,DE BOD Stefan,22,Team Dimension Data,,,2:232:23,43.48,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
43,44,26.0,+3:06,96,REICHENBACH Sébastien,30,Groupama - FDJ,,,2:262:26,43.42,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
44,45,27.0,+3:11,86,VALLS Rafael,31,Movistar Team,,,2:312:31,43.32,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
45,46,118.0,+33:09,217,TUSVELD Martijn,25,Team Sunweb,,,2:352:35,43.24,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
46,47,44.0,+7:01,65,IZAGIRRE Gorka,31,Astana Pro Team,,,2:362:36,43.22,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
47,48,87.0,+20:51,55,GROßSCHARTNER Felix,25,BORA - hansgrohe,,,2:382:38,43.18,Crit_rium_du_Dauphin_,4,12 June 2019,46.561 km/h,37,26.1 km,9
