,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,WIGGINS Bradley,31,Sky Procycling,,250.0,26:40:51,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
1,2,0,EVANS Cadel,34,BMC Racing Team,,190.0,1:261:26,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
2,3,0,VINOKOUROV Alexandre,37,Pro Team Astana,,160.0,1:491:49,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
3,4,0,VAN DEN BROECK Jurgen,28,Omega Pharma-Lotto,,140.0,2:102:10,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
4,5,0,RODRÍGUEZ Joaquim,32,Team Katusha,,120.0,2:512:51,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
5,6,0,KERN Christophe,30,Team Europcar,,110.0,3:053:05,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
6,7,0,PERAUD Jean-Christophe,34,AG2R La Mondiale,,100.0,3:303:30,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
7,8,0,SIUTSOU Kanstantsin,28,HTC - High Road,,90.0,4:144:14,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
8,9,0,BRAJKOVIČ Janez,27,RadioShack,,80.0,4:224:22,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
9,10,0,VOECKLER Thomas,31,Team Europcar,,70.0,4:314:31,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
10,11,0,SØRENSEN Chris Anker,26,Saxo Bank - Sungard,,60.0,5:015:01,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
11,12,0,MONCOUTIÉ David,36,"Cofidis, le Crédit en Ligne",,55.0,6:406:40,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
12,13,0,COPPEL Jérôme,24,Saur - Sojasun,,50.0,7:137:13,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
13,14,0,RUIJGH Rob,24,Vacansoleil - DCM,,45.0,9:029:02,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
14,15,0,ZEITS Andrey,24,Pro Team Astana,,40.0,11:4211:42,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
15,16,0,PINOT Thibaut,21,FDJ,,36.0,12:5412:54,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
16,17,0,SÁNCHEZ Samuel,33,Euskaltel - Euskadi,,32.0,12:5712:57,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
17,18,0,ROLLAND Pierre,24,Team Europcar,,28.0,13:0813:08,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
18,19,0,PIRES Bruno,30,Leopard Trek,,24.0,13:5313:53,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
19,20,0,GESINK Robert,25,Rabobank Cycling Team,,20.0,16:1716:17,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
20,21,0,DI GRÉGORIO Rémy,25,Pro Team Astana,,18.0,17:0317:03,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
21,22,0,TXURRUKA Amets,28,Euskaltel - Euskadi,,16.0,18:5018:50,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
22,23,0,BOUET Maxime,24,AG2R La Mondiale,,14.0,20:0920:09,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
23,24,0,HERMANS Ben,25,RadioShack,,12.0,21:0221:02,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
24,25,0,TROFIMOV Yuri,27,Team Katusha,,10.0,22:5822:58,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
25,26,0,BASSO Ivan,33,Liquigas - Cannondale,,9.0,24:3624:36,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
26,27,0,PATE Danny,32,HTC - High Road,,8.0,24:5624:56,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
27,28,0,URÁN Rigoberto,24,Sky Procycling,,7.0,24:5824:58,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
28,29,0,PATERSKI Maciej,24,Liquigas - Cannondale,,6.0,",,24:58",..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
29,30,0,VELASCO Iván,31,Euskaltel - Euskadi,,5.0,26:3826:38,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
30,31,0,ZAUGG Oliver,30,Leopard Trek,,5.0,26:3926:39,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
31,32,0,BUSCHE Matthew,26,RadioShack,,5.0,26:4926:49,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
32,33,0,MARTIN Dan,24,Team Garmin - Cervélo,,5.0,26:5626:56,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
33,34,0,MAJKA Rafał,21,Saxo Bank - Sungard,,5.0,27:0627:06,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
34,35,0,JEANDESBOZ Fabrice,26,Saur - Sojasun,,5.0,28:0928:09,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
35,36,0,FÉDRIGO Pierrick,32,FDJ,,5.0,28:1028:10,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
36,37,0,MARTIN Tony,26,HTC - High Road,,5.0,28:3028:30,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
37,38,0,DE MAAR Marc,27,Quickstep Cycling Team,,5.0,28:3928:39,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
38,39,0,MORABITO Steve,28,BMC Racing Team,,5.0,28:4328:43,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
39,40,0,SIMON Julien,25,Saur - Sojasun,,5.0,29:3329:33,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
40,41,0,BELLOTTI Francesco,31,Liquigas - Cannondale,,5.0,30:0430:04,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
41,42,0,MOUREY Francis,30,FDJ,,5.0,30:2630:26,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
42,43,0,COSTA Rui,24,Movistar Team,,5.0,30:4230:42,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
43,44,0,SÁNCHEZ Luis León,27,Rabobank Cycling Team,,5.0,32:1432:14,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
