,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,3,▲2,168,TALANSKY Andrew,25,Garmin Sharp,100.0,250,31:08:08,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
1,2,1,▼1,21,CONTADOR Alberto,31,Tinkoff - Saxo,80.0,190,0:270:27,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
2,3,5,▲2,81,VAN DEN BROECK Jurgen,31,Lotto Belisol,70.0,160,0:350:35,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
3,4,4,-,191,KELDERMAN Wilco,23,Belkin-Pro Cycling Team,60.0,140,0:430:43,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
4,5,7,▲2,61,BARDET Romain,23,AG2R La Mondiale,50.0,120,1:201:20,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
5,6,10,▲4,48,YATES Adam,21,Orica GreenEDGE,40.0,110,2:052:05,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
6,7,6,▼1,11,NIBALI Vincenzo,29,Astana Pro Team,30.0,100,2:122:12,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
7,8,14,▲6,4,NIEVE Mikel,30,Team Sky,20.0,90,2:592:59,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
8,9,12,▲3,31,NAVARRO Daniel,30,"Cofidis, Solutions Crédits",10.0,80,3:043:04,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
9,10,9,▼1,12,FUGLSANG Jakob,29,Astana Pro Team,4.0,70,3:173:17,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
10,11,11,-,201,KÖNIG Leopold,26,Team NetApp – Endura,,60,4:034:03,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
11,12,2,▼10,1,FROOME Chris,29,Team Sky,,55,4:254:25,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
12,13,20,▲7,121,VAN GARDEREN Tejay,25,BMC Racing Team,,50,5:115:11,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
13,14,8,▼6,97,REICHENBACH Sébastien,25,IAM Cycling,,45,6:316:31,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
14,15,22,▲7,53,GADRET John,35,Movistar Team,,40,6:336:33,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
15,16,21,▲5,137,TROFIMOV Yuri,30,Team Katusha,,36,7:027:02,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
16,17,15,▼2,15,KANGERT Tanel,27,Astana Pro Team,,32,8:378:37,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
17,18,23,▲5,122,ATAPUMA Darwin,26,BMC Racing Team,,28,8:438:43,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
18,19,17,▼2,131,MORENO Daniel,32,Team Katusha,,24,9:079:07,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
19,20,25,▲5,143,BAKELANTS Jan,28,Omega Pharma - Quick-Step,,20,9:209:20,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
20,21,32,▲11,64,CHEREL Mikaël,28,AG2R La Mondiale,,18,17:0117:01,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
21,22,30,▲8,6,PORTE Richie,29,Team Sky,,16,20:1520:15,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
