,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,16,MARTÍNEZ Daniel Felipe,24,EF Pro Cycling,500.0,250,21:44:58,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
1,2,41,PINOT Thibaut,30,Groupama - FDJ,400.0,190,0:290:29,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
2,3,161,MARTIN Guillaume,27,"Cofidis, Solutions Crédits",325.0,160,0:410:41,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
3,4,81,POGAČAR Tadej,21,UAE-Team Emirates,275.0,140,0:560:56,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
4,5,1,LÓPEZ Miguel Ángel,26,Astana Pro Team,225.0,120,1:381:38,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
5,6,71,BARDET Romain,29,AG2R La Mondiale,175.0,110,1:431:43,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
6,7,62,DUMOULIN Tom,29,Team Jumbo-Visma,150.0,100,2:072:07,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
7,8,23,KÄMNA Lennard,23,BORA - hansgrohe,125.0,90,2:142:14,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
8,9,133,BARGUIL Warren,28,Team Arkéa Samsic,100.0,80,2:492:49,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
9,10,65,KUSS Sepp,25,Team Jumbo-Visma,85.0,70,2:552:55,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
10,11,35,SIVAKOV Pavel,23,Team INEOS,70.0,60,3:103:10,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
11,12,91,VALVERDE Alejandro,40,Movistar Team,60.0,55,7:597:59,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
12,13,47,REICHENBACH Sébastien,31,Groupama - FDJ,50.0,50,9:049:04,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
13,14,221,ROLLAND Pierre,33,B&B Hotels - Vital Concept p/b KTM,40.0,45,12:0312:03,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
14,15,111,PORTE Richie,35,Trek - Segafredo,35.0,40,12:0412:04,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
15,16,113,ELISSONDE Kenny,29,Trek - Segafredo,30.0,36,16:5216:52,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
16,17,101,YATES Adam,28,Mitchelton-Scott,30.0,32,17:1917:19,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
17,18,151,LANDA Mikel,30,Bahrain - McLaren,30.0,28,18:5818:58,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
18,19,203,DE LA PARTE Víctor,34,CCC Team,30.0,24,20:5620:56,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
19,20,92,MAS Enric,25,Movistar Team,30.0,20,22:3322:33,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
20,21,46,MADOUAS Valentin,24,Groupama - FDJ,20.0,18,26:5126:51,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
21,22,11,URÁN Rigoberto,33,EF Pro Cycling,20.0,16,28:1728:17,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
22,23,124,HIRSCHI Marc,21,Team Sunweb,20.0,14,31:1531:15,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
23,24,51,ALAPHILIPPE Julian,28,Deceuninck - Quick Step,20.0,12,31:3931:39,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
24,25,83,DE LA CRUZ David,31,UAE-Team Emirates,20.0,10,32:3632:36,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
25,26,84,FORMOLO Davide,27,UAE-Team Emirates,20.0,9,33:4733:47,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
