,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,6.0,+0:27,133,HERRADA Jesús,25,Movistar Team,60.0,50.0,4:13:43,Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
1,2,20.0,+1:08,91,GALLOPIN Tony,28,Lotto Soudal,25.0,30.0,0:020:02,Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
2,3,29.0,+1:20,116,PAUWELS Serge,32,Team Dimension Data,10.0,18.0,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
3,4,40.0,+1:54,145,JEANDESBOZ Fabrice,31,Direct Energie,,13.0,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
4,5,24.0,+1:13,131,MORENO Daniel,34,Movistar Team,,10.0,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
5,6,10.0,+0:48,126,MOLLEMA Bauke,29,Trek - Segafredo,,7.0,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
6,7,47.0,+2:08,18,VAN AVERMAET Greg,31,BMC Racing Team,,4.0,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
7,8,3.0,+0:13,1,FROOME Chris,31,Team Sky,,3.0,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
8,9,13.0,+0:52,203,CONTI Valerio,23,Lampre - Merida,,2.0,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
9,10,16.0,+1:02,81,RODRÍGUEZ Joaquim,37,Team Katusha,,1.0,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
10,11,36.0,+1:38,185,MARTIN Guillaume,22,Wanty - Groupe Gobert,,,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
11,12,4.0,+0:21,41,MARTIN Dan,29,Etixx - Quick Step,,,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
12,13,19.0,+1:06,151,ROLLAND Pierre,29,Cannondale Pro Cycling Team,,,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
13,14,33.0,+1:32,57,SÁNCHEZ Luis León,32,Astana Pro Team,,,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
14,15,2.0,+0:06,11,PORTE Richie,31,BMC Racing Team,,,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
15,16,9.0,+0:43,106,NAVARRO Daniel,32,"Cofidis, Solutions Crédits",,,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
16,17,30.0,+1:23,93,DE CLERCQ Bart,29,Lotto Soudal,,,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
17,18,21.0,+1:12,2,HENAO Sergio,28,Team Sky,,,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
18,19,11.0,+0:49,121,HESJEDAL Ryder,35,Trek - Segafredo,,,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
19,20,7.0,+0:31,78,YATES Adam,23,Orica GreenEDGE,,,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
20,21,18.0,+1:03,35,REICHENBACH Sébastien,27,FDJ,,,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
21,22,8.0,+0:37,56,ROSA Diego,27,Astana Pro Team,,,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
22,23,1.0,+0:00,21,CONTADOR Alberto,33,Tinkoff,,,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
23,24,12.0,+0:52,31,PINOT Thibaut,26,FDJ,,,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
24,25,25.0,+1:13,62,BAKELANTS Jan,30,AG2R La Mondiale,,,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
25,26,34.0,+1:35,87,VAN DEN BROECK Jurgen,33,Team Katusha,,,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
26,27,15.0,+1:02,111,ANTÓN Igor,33,Team Dimension Data,,,",,0:02",Criterium_du_Dauphin_,2,07 June 2016,39.73 km/h,0,168 km,3
