,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,1,FROOME Chris,31,Team Sky,500.0,250,29:59:31,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
1,2,3,▲1,61,BARDET Romain,25,AG2R La Mondiale,400.0,190,0:120:12,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
2,3,4,▲1,41,MARTIN Dan,29,Etixx - Quick Step,325.0,160,0:190:19,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
3,4,2,▼2,11,PORTE Richie,31,BMC Racing Team,275.0,140,0:210:21,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
4,5,5,-,21,CONTADOR Alberto,33,Tinkoff,225.0,120,0:350:35,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
5,6,6,-,42,ALAPHILIPPE Julian,24,Etixx - Quick Step,175.0,110,0:510:51,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
6,7,7,-,78,YATES Adam,23,Orica GreenEDGE,150.0,100,0:570:57,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
7,8,8,-,56,ROSA Diego,27,Astana Pro Team,125.0,90,1:131:13,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
8,9,9,-,201,MEINTJES Louis,24,Lampre - Merida,100.0,80,1:301:30,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
9,10,11,▲1,151,ROLLAND Pierre,29,Cannondale Pro Cycling Team,85.0,70,2:432:43,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
10,11,13,▲2,106,NAVARRO Daniel,32,"Cofidis, Solutions Crédits",70.0,60,3:203:20,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
11,12,12,-,4,LANDA Mikel,26,Team Sky,60.0,55,3:213:21,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
12,13,14,▲1,2,HENAO Sergio,28,Team Sky,50.0,50,3:363:36,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
13,14,15,▲1,161,BENNETT George,26,Team LottoNL-Jumbo,40.0,45,5:385:38,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
14,15,19,▲4,173,CLEMENT Stef,33,IAM Cycling,35.0,40,5:485:48,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
15,16,10,▼6,31,PINOT Thibaut,26,FDJ,30.0,36,6:056:05,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
16,17,20,▲3,62,BAKELANTS Jan,30,AG2R La Mondiale,30.0,32,7:427:42,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
17,18,24,▲6,93,DE CLERCQ Bart,29,Lotto Soudal,30.0,28,7:567:56,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
18,19,22,▲3,25,KREUZIGER Roman,30,Tinkoff,30.0,24,7:587:58,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
19,20,18,▼2,191,BUCHMANN Emanuel,23,Bora - Argon 18,30.0,20,8:138:13,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
20,21,17,▼4,14,CARUSO Damiano,28,BMC Racing Team,20.0,18,9:169:16,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
21,22,16,▼6,16,HERMANS Ben,30,BMC Racing Team,20.0,16,11:2411:24,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
22,23,27,▲4,63,CHEREL Mikaël,30,AG2R La Mondiale,20.0,14,12:4412:44,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
23,24,25,▲1,87,VAN DEN BROECK Jurgen,33,Team Katusha,20.0,12,17:2217:22,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
24,25,38,▲13,5,POELS Wout,28,Team Sky,20.0,10,18:3218:32,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
25,26,29,▲3,24,KIŠERLOVSKI Robert,29,Tinkoff,20.0,9,19:2419:24,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
26,27,31,▲4,153,CARDOSO André,31,Cannondale Pro Cycling Team,20.0,8,19:2719:27,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
27,28,37,▲9,136,QUINTANA Dayer,23,Movistar Team,20.0,7,20:2820:28,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
28,29,28,▼1,185,MARTIN Guillaume,23,Wanty - Groupe Gobert,20.0,6,21:0321:03,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
29,30,34,▲4,131,MORENO Daniel,34,Movistar Team,20.0,5,21:3821:38,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
30,31,26,▼5,44,DE PLUS Laurens,20,Etixx - Quick Step,10.0,5,22:5022:50,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
31,32,32,-,203,CONTI Valerio,23,Lampre - Merida,10.0,5,22:5922:59,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
32,33,36,▲3,57,SÁNCHEZ Luis León,32,Astana Pro Team,10.0,5,23:4323:43,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
33,34,30,▼4,148,SICARD Romain,28,Direct Energie,10.0,5,26:0926:09,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
34,35,54,▲19,113,CUMMINGS Steve,35,Team Dimension Data,10.0,5,28:4628:46,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
35,36,23,▼13,133,HERRADA Jesús,25,Movistar Team,10.0,5,28:5328:53,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
36,37,39,▲2,171,COPPEL Jérôme,29,IAM Cycling,10.0,5,30:0030:00,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
37,38,48,▲10,68,VUILLERMOZ Alexis,28,AG2R La Mondiale,10.0,5,34:3034:30,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
38,39,51,▲12,73,HAIG Jack,22,Orica GreenEDGE,10.0,5,34:5534:55,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
39,40,41,▲1,52,CATALDO Dario,31,Astana Pro Team,10.0,5,35:2935:29,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
40,41,44,▲3,134,OLIVEIRA Nelson,27,Movistar Team,10.0,5,37:0537:05,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
41,42,49,▲7,128,ZUBELDIA Haimar,39,Trek - Segafredo,10.0,5,38:0338:03,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
42,43,46,▲3,34,MORABITO Steve,33,FDJ,10.0,5,38:1238:12,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
43,44,43,▼1,91,GALLOPIN Tony,28,Lotto Soudal,10.0,5,39:3739:37,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
44,45,35,▼10,51,ARU Fabio,25,Astana Pro Team,10.0,5,40:0840:08,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
45,46,52,▲6,75,IMPEY Daryl,31,Orica GreenEDGE,10.0,5,41:3241:32,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
46,47,33,▼14,116,PAUWELS Serge,32,Team Dimension Data,10.0,5,43:5143:51,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
47,48,56,▲8,204,GRMAY Tsgabu,24,Lampre - Merida,10.0,5,45:5545:55,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
48,49,58,▲9,12,BOOKWALTER Brent,32,BMC Racing Team,10.0,5,",,45:55",..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
49,50,63,▲13,17,MOINARD Amaël,34,BMC Racing Team,10.0,5,46:4846:48,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
50,51,45,▼6,53,GRIVKO Andrey,32,Astana Pro Team,5.0,5,49:1149:11,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
51,52,42,▼10,35,REICHENBACH Sébastien,27,FDJ,5.0,5,49:2049:20,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
52,53,76,▲23,112,BOASSON HAGEN Edvald,29,Team Dimension Data,5.0,5,49:2249:22,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
53,54,64,▲10,66,GAUTIER Cyril,28,AG2R La Mondiale,5.0,5,49:3449:34,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
54,55,65,▲10,65,GASTAUER Ben,28,AG2R La Mondiale,5.0,5,49:4549:45,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
55,56,67,▲11,198,VOSS Paul,30,Bora - Argon 18,3.0,5,50:4550:45,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
56,57,68,▲11,37,ROY Jérémy,32,FDJ,3.0,5,54:0554:05,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
57,58,79,▲21,141,VOECKLER Thomas,36,Direct Energie,3.0,5,54:4854:48,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
58,59,53,▼6,196,KONRAD Patrick,24,Bora - Argon 18,3.0,5,",,54:48",..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
59,60,71,▲11,23,HANSEN Jesper,25,Tinkoff,3.0,5,55:3155:31,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
60,61,80,▲19,43,BOUET Maxime,29,Etixx - Quick Step,,5,56:3956:39,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
61,62,50,▼12,145,JEANDESBOZ Fabrice,31,Direct Energie,,5,56:4756:47,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
62,63,55,▼8,147,QUÉMÉNEUR Perrig,32,Direct Energie,,5,57:0057:00,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
63,64,83,▲19,207,PIBERNIK Luka,22,Lampre - Merida,,5,57:3557:35,..,Criterium_du_Dauphin_,GC,12 June 2016,-,0,0 km,3
