,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,93,GROENEWEGEN Dylan,25,Team Jumbo-Visma,300.0,200.0,4:36:32,Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
1,2,141,GAVIRIA Fernando,24,UAE-Team Emirates,250.0,150.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
2,3,1,VIVIANI Elia,30,Deceuninck - Quick Step,215.0,120.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
3,4,153,BOUHANNI Nacer,28,"Cofidis, Solutions Crédits",175.0,100.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
4,5,222,JULES Justin,32,Wallonie-Bruxelles,120.0,90.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
5,6,114,HALVORSEN Kristoffer,22,Team Sky,115.0,80.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
6,7,217,VAN GENECHTEN Jonas,32,Vital Concept - B&B Hotels,95.0,70.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
7,8,66,MEZGEC Luka,30,Mitchelton-Scott,75.0,60.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
8,9,85,NIZZOLO Giacomo,30,Team Dimension Data,60.0,50.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
9,10,95,TEUNISSEN Mike,26,Team Jumbo-Visma,50.0,40.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
10,11,122,BOL Cees,23,Team Sunweb,40.0,36.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
11,12,195,VAN POPPEL Boy,31,Roompot - Charles,35.0,32.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
12,13,234,PASQUALON Andrea,31,Wanty - Gobert Cycling Team,30.0,28.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
13,14,56,NAESEN Lawrence,26,Lotto Soudal,25.0,24.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
14,15,164,JANS Roy,28,Corendon - Circus,20.0,20.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
15,16,223,NÕMMELA Aksel,24,Wallonie-Bruxelles,20.0,16.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
16,17,186,RÄIM Mihkel,25,Israel Cycling Academy,20.0,14.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
17,18,7,MØRKØV Michael,33,Deceuninck - Quick Step,20.0,12.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
18,19,202,MENTEN Milan,22,Sport Vlaanderen - Baloise,20.0,10.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
19,20,11,BALLERINI Davide,24,Astana Pro Team,20.0,9.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
20,21,197,VAN STAEYEN Michael,30,Roompot - Charles,12.0,8.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
21,22,211,BOECKMANS Kris,32,Vital Concept - B&B Hotels,12.0,7.0,",,0:00",Driedaagse_Brugge_De_Panne_ME,0,27 March 2019,43.459 km/h,4,200.3 km,46
