,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,191,VAN DER POEL Mathieu,24,Corendon - Circus,300.0,200.0,4:05:54,Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,03 April 2019,44.55 km/h,40,182.6 km,28
1,2,187,TURGIS Anthony,24,Direct Energie,250.0,150.0,",,0:00",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,03 April 2019,44.55 km/h,40,182.6 km,28
2,3,6,JUNGELS Bob,26,Deceuninck - Quick Step,215.0,120.0,",,0:00",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,03 April 2019,44.55 km/h,40,182.6 km,28
3,4,134,PÖSTLBERGER Lukas,27,BORA - hansgrohe,175.0,100.0,",,0:00",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,03 April 2019,44.55 km/h,40,182.6 km,28
4,5,31,BENOOT Tiesj,25,Lotto Soudal,120.0,90.0,",,0:00",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,03 April 2019,44.55 km/h,40,182.6 km,28
5,6,166,ROWE Luke,29,Team Sky,115.0,80.0,0:180:18,Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,03 April 2019,44.55 km/h,40,182.6 km,28
6,7,146,VAN POPPEL Danny,25,Team Jumbo-Visma,95.0,70.0,0:190:19,Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,03 April 2019,44.55 km/h,40,182.6 km,28
7,8,1,LAMPAERT Yves,27,Deceuninck - Quick Step,75.0,60.0,",,0:19",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,03 April 2019,44.55 km/h,40,182.6 km,28
8,9,211,LAPORTE Christophe,26,"Cofidis, Solutions Crédits",60.0,50.0,",,0:19",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,03 April 2019,44.55 km/h,40,182.6 km,28
9,10,73,HAUSSLER Heinrich,35,Bahrain Merida,50.0,40.0,",,0:19",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,03 April 2019,44.55 km/h,40,182.6 km,28
10,11,34,KEUKELEIRE Jens,30,Lotto Soudal,40.0,36.0,",,0:19",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,03 April 2019,44.55 km/h,40,182.6 km,28
11,12,91,KRISTOFF Alexander,31,UAE-Team Emirates,35.0,32.0,",,0:19",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,03 April 2019,44.55 km/h,40,182.6 km,28
12,13,185,PETIT Adrien,28,Direct Energie,30.0,28.0,",,0:19",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,03 April 2019,44.55 km/h,40,182.6 km,28
13,14,61,STUYVEN Jasper,26,Trek - Segafredo,25.0,24.0,",,0:19",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,03 April 2019,44.55 km/h,40,182.6 km,28
