,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,LAMPAERT Yves,26,Quick-Step Floors,300.0,200.0,4:09:40,Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,28 March 2018,43.26 km/h,0,180 km,19
1,2,87,TEUNISSEN Mike,25,Team Sunweb,250.0,150.0,0:020:02,Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,28 March 2018,43.26 km/h,0,180 km,19
2,3,61,VANMARCKE Sep,29,Team EF Education First-Drapac p/b Cannondale,215.0,120.0,",,0:02",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,28 March 2018,43.26 km/h,0,180 km,19
3,4,131,BOASSON HAGEN Edvald,30,Team Dimension Data,175.0,100.0,",,0:02",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,28 March 2018,43.26 km/h,0,180 km,19
4,5,44,PEDERSEN Mads,22,Trek - Segafredo,120.0,90.0,",,0:02",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,28 March 2018,43.26 km/h,0,180 km,19
5,6,6,ŠTYBAR Zdeněk,32,Quick-Step Floors,115.0,80.0,0:290:29,Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,28 March 2018,43.26 km/h,0,180 km,19
6,7,31,BENOOT Tiesj,24,Lotto Soudal,95.0,70.0,0:300:30,Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,28 March 2018,43.26 km/h,0,180 km,19
7,8,11,VAN AVERMAET Greg,32,BMC Racing Team,75.0,60.0,0:590:59,Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,28 March 2018,43.26 km/h,0,180 km,19
8,9,7,TERPSTRA Niki,33,Quick-Step Floors,60.0,50.0,",,0:59",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,28 March 2018,43.26 km/h,0,180 km,19
9,10,42,STUYVEN Jasper,25,Trek - Segafredo,50.0,40.0,",,0:59",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,28 March 2018,43.26 km/h,0,180 km,19
10,11,51,VALVERDE Alejandro,37,Movistar Team,40.0,36.0,",,0:59",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,28 March 2018,43.26 km/h,0,180 km,19
