,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,17,ŠTYBAR Zdeněk,33,Deceuninck - Quick Step,400.0,225.0,4:46:05,E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
1,2,61,VAN AERT Wout,24,Team Jumbo-Visma,320.0,150.0,",,0:00",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
2,3,31,VAN AVERMAET Greg,33,CCC Team,260.0,110.0,",,0:00",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
3,4,112,BETTIOL Alberto,25,EF Education First,220.0,90.0,",,0:00",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
4,5,14,JUNGELS Bob,26,Deceuninck - Quick Step,180.0,80.0,0:030:03,E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
5,6,146,POLITT Nils,25,Team Katusha Alpecin,140.0,70.0,1:041:04,E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
6,7,81,TRENTIN Matteo,29,Mitchelton-Scott,120.0,60.0,",,1:04",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
7,8,41,NAESEN Oliver,28,AG2R La Mondiale,100.0,50.0,",,1:04",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
8,9,77,SÜTTERLIN Jasha,26,Movistar Team,80.0,46.0,",,1:04",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
9,10,162,HIRSCHI Marc,20,Team Sunweb,68.0,42.0,",,1:04",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
10,11,13,GILBERT Philippe,36,Deceuninck - Quick Step,56.0,38.0,1:331:33,E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
11,12,115,LANGEVELD Sebastian,34,EF Education First,48.0,34.0,",,1:33",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
12,13,101,COLBRELLI Sonny,28,Bahrain Merida,40.0,30.0,",,1:33",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
13,14,22,KEUKELEIRE Jens,30,Lotto Soudal,32.0,26.0,",,1:33",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
14,15,1,TERPSTRA Niki,34,Direct Energie,28.0,22.0,1:371:37,E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
15,16,21,BENOOT Tiesj,25,Lotto Soudal,24.0,20.0,1:421:42,E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
16,17,51,SAGAN Peter,29,BORA - hansgrohe,24.0,18.0,",,1:42",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
17,18,11,LAMPAERT Yves,27,Deceuninck - Quick Step,24.0,17.0,1:451:45,E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
18,19,143,HALLER Marco,27,Team Katusha Alpecin,24.0,16.0,2:492:49,E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
19,20,97,CORT Magnus,26,Astana Pro Team,24.0,15.0,",,2:49",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
20,21,181,KRISTOFF Alexander,31,UAE-Team Emirates,16.0,14.0,",,2:49",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
21,22,172,DEGENKOLB John,30,Trek - Segafredo,16.0,13.0,",,2:49",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
22,23,102,GARCÍA CORTINA Iván,23,Bahrain Merida,16.0,12.0,",,2:49",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
23,24,205,PLANCKAERT Baptiste,30,Wallonie-Bruxelles,16.0,11.0,",,2:49",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
24,25,16,SÉNÉCHAL Florian,25,Deceuninck - Quick Step,16.0,10.0,",,2:49",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
25,26,73,BARBERO Carlos,27,Movistar Team,16.0,9.0,",,2:49",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
26,27,105,MOHORIČ Matej,24,Bahrain Merida,16.0,8.0,",,2:49",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
27,28,237,VAN ASBROECK Tom,28,Israel Cycling Academy,16.0,7.0,",,2:49",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
28,29,25,MAES Nikolas,32,Lotto Soudal,16.0,6.0,",,2:49",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
29,30,144,HOLLENSTEIN Reto,33,Team Katusha Alpecin,16.0,5.0,",,2:49",E3_BinckBank_Classic,0,29 March 2019,42.785 km/h,43,204 km,20
