,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,158,THOMAS Geraint,28,Team Sky,80.0,225.0,5:15:00,E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
1,2,12,ŠTYBAR Zdeněk,29,Etixx - Quick Step,60.0,150.0,0:250:25,E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
2,3,15,TRENTIN Matteo,25,Etixx - Quick Step,50.0,110.0,0:380:38,E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
3,4,131,KRISTOFF Alexander,27,Team Katusha,40.0,90.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
4,5,141,VANMARCKE Sep,26,Team LottoNL-Jumbo,30.0,80.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
5,6,4,BRESCHEL Matti,30,Tinkoff - Saxo,22.0,70.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
6,7,21,ROELANDTS Jürgen,29,Lotto Soudal,14.0,60.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
7,8,111,BAUER Jack,29,Team Cannondale - Garmin,10.0,50.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
8,9,101,KEUKELEIRE Jens,26,Orica GreenEDGE,6.0,46.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
9,10,55,OSS Daniel,28,BMC Racing Team,2.0,42.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
10,11,42,BOŽIČ Borut,34,Astana Pro Team,,38.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
11,12,184,LEUKEMANS Björn,37,Wanty - Groupe Gobert,,34.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
12,13,157,ROWE Luke,25,Team Sky,,30.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
13,14,14,TERPSTRA Niki,30,Etixx - Quick Step,,26.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
14,15,185,MARCATO Marco,31,Wanty - Groupe Gobert,,22.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
15,16,67,OFFREDO Yoann,28,FDJ,,20.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
16,17,225,JÉRÔME Vincent,30,Team Europcar,,18.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
17,18,25,BENOOT Tiesj,21,Lotto Soudal,,17.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
18,19,201,BOASSON HAGEN Edvald,27,MTN - Qhubeka,,16.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
19,20,73,CHAVANEL Sylvain,35,IAM Cycling,,15.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
20,21,18,LAMPAERT Yves,23,Etixx - Quick Step,,14.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
21,22,52,BURGHARDT Marcus,31,BMC Racing Team,,13.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
22,23,195,GATTO Oscar,30,Androni Giocattoli - Sidermec,,12.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
23,24,118,VAN BAARLE Dylan,22,Team Cannondale - Garmin,,11.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
24,25,121,DEGENKOLB John,26,Team Giant - Alpecin,,10.0,",,0:38",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
25,26,152,STANNARD Ian,27,Team Sky,,9.0,0:460:46,E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
26,27,17,VANDENBERGH Stijn,30,Etixx - Quick Step,,8.0,0:470:47,E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
27,28,135,KOLOBNEV Alexandr,33,Team Katusha,,7.0,0:570:57,E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
28,29,128,WAEYTENS Zico,23,Team Giant - Alpecin,,6.0,",,0:57",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
29,30,1,SAGAN Peter,25,Tinkoff - Saxo,,5.0,1:141:14,E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
30,31,143,TANKINK Bram,36,Team LottoNL-Jumbo,,5.0,1:171:17,E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
31,32,54,DRUCKER Jempy,28,BMC Racing Team,,5.0,1:261:26,E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
32,33,137,PAOLINI Luca,38,Team Katusha,,5.0,2:142:14,E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
33,34,6,MØRKØV Michael,29,Tinkoff - Saxo,,5.0,3:213:21,E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
34,35,226,MARTINEZ Yannick,26,Team Europcar,,5.0,",,3:21",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
35,36,145,VAN ASBROECK Tom,24,Team LottoNL-Jumbo,,5.0,",,3:21",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
36,37,231,HOOGERLAND Johnny,31,Roompot - Oranje Peloton,,5.0,",,3:21",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
37,38,85,MORI Manuele,34,Lampre - Merida,,5.0,",,3:21",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
38,39,228,TULIK Angélo,24,Team Europcar,,5.0,",,3:21",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
39,40,66,DELAGE Mickaël,29,FDJ,,5.0,",,3:21",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
40,41,171,CAPIOT Amaury,21,Topsport Vlaanderen - Baloise,,5.0,",,3:21",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
41,42,35,RAST Grégory,35,Trek Factory Racing,,5.0,",,3:21",E3_Harelbeke,0,27 March 2015,41.01 km/h,0,215.3 km,24
