,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,BOONEN Tom,31,Omega Pharma - Quick-Step,80.0,225.0,4:51:59,E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
1,2,0,FREIRE Óscar,36,Team Katusha,60.0,150.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
2,3,0,EISEL Bernhard,31,Sky Procycling,50.0,110.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
3,4,0,DUQUE Leonardo Fabio,31,"Cofidis, le Crédit en Ligne",40.0,90.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
4,5,0,VANMARCKE Sep,23,Team Garmin - Barracuda,30.0,80.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
5,6,0,DEGENKOLB John,23,Argos - Shimano,22.0,70.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
6,7,0,LADAGNOUS Matthieu,27,FDJ - BigMat,14.0,60.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
7,8,0,PICHOT Alexandre,29,Team Europcar,10.0,50.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
8,9,0,BALLAN Alessandro,32,BMC Racing Team,6.0,46.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
9,10,0,TURGOT Sébastien,27,Team Europcar,2.0,42.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
10,11,0,BRESCHEL Matti,27,Rabobank Cycling Team,,38.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
11,12,0,KEUKELEIRE Jens,23,Orica GreenEDGE,,34.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
12,13,0,MØRKØV Michael,26,Team Saxo Bank - Tinkoff Bank,,30.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
13,14,0,SAGAN Peter,22,Liquigas - Cannondale,,26.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
14,15,0,IGLINSKIY Maxim,30,Astana Pro Team,,22.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
15,16,0,BOASSON HAGEN Edvald,24,Sky Procycling,,20.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
16,17,0,MONDORY Lloyd,29,AG2R La Mondiale,,18.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
17,18,0,MARCATO Marco,28,Vacansoleil - DCM,,17.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
18,19,0,LEUKEMANS Björn,34,Vacansoleil - DCM,,16.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
19,20,0,VAN HECKE Preben,29,Topsport Vlaanderen - Mercator,,15.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
20,21,0,MURAVYEV Dmitriy,32,Astana Pro Team,,14.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
21,22,0,CANCELLARA Fabian,31,RadioShack - Nissan,,13.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
22,23,0,VAN WINDEN Dennis,24,Rabobank Cycling Team,,12.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
23,24,0,LANGEVELD Sebastian,27,Orica GreenEDGE,,11.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
24,25,0,TERPSTRA Niki,27,Omega Pharma - Quick-Step,,10.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
25,26,0,VAN AVERMAET Greg,26,BMC Racing Team,,9.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
26,27,0,POZZATO Filippo,30,Farnese Vini-Neri-Sottoli,,8.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
27,28,0,PAOLINI Luca,35,Team Katusha,,7.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
28,29,0,HONDO Danilo,38,Lampre - ISD,,6.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
29,30,0,IZAGIRRE Gorka,24,Euskaltel - Euskadi,,5.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
30,31,0,OSS Daniel,25,Liquigas - Cannondale,,5.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
31,32,0,LASTRAS Pablo,36,Movistar Team,,5.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
32,33,0,CHAVANEL Sylvain,32,Omega Pharma - Quick-Step,,5.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
33,34,0,CLAUDE Mathieu,29,Team Europcar,,5.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
34,35,0,FLORENCIO Xavier,32,Team Katusha,,5.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
35,36,0,BOOM Lars,26,Rabobank Cycling Team,,5.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
36,37,0,STAMSNIJDER Tom,26,Argos - Shimano,,5.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
37,38,0,KOREN Kristijan,25,Liquigas - Cannondale,,,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
38,39,0,LARSSON Gustav Erik,31,Vacansoleil - DCM,,5.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
39,40,0,SCHÄR Michael,25,BMC Racing Team,,5.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
40,41,0,KWIATKOWSKI Michał,21,Omega Pharma - Quick-Step,,5.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
41,42,0,MAZZANTI Luca,38,Farnese Vini-Neri-Sottoli,,5.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
42,43,0,KROON Karsten,36,Team Saxo Bank - Tinkoff Bank,,5.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
43,44,0,VANDENBERGH Stijn,27,Omega Pharma - Quick-Step,,5.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
44,45,0,DEVOLDER Stijn,32,Vacansoleil - DCM,,5.0,",,0:00",E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
45,46,0,TOSATTO Matteo,37,Team Saxo Bank - Tinkoff Bank,,5.0,0:100:10,E3_Prijs_Vlaanderen,0,23 March 2012,41.71 km/h,0,203 km,17
