,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,0,KITTEL Marcel,24,Argos - Shimano,6.0,50.0,5:38:28,Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
1,2,2.0,+0:04,0,DÉMARE Arnaud,20,FDJ - BigMat,4.0,30.0,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
2,3,3.0,+0:06,0,PHINNEY Taylor,22,BMC Racing Team,2.0,18.0,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
3,4,10.0,+0:10,0,HAUSSLER Heinrich,28,Garmin Sharp,1.0,13.0,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
4,5,11.0,+0:10,0,BLYTHE Adam,22,BMC Racing Team,1.0,10.0,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
5,6,12.0,+0:10,0,VAN STAEYEN Michael,23,Topsport Vlaanderen - Mercator,,7.0,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
6,7,13.0,+0:10,0,ROJAS José Joaquín,27,Movistar Team,,4.0,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
7,8,14.0,+0:10,0,ROBERT Fréderique,23,Lotto Belisol Team,,3.0,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
8,9,15.0,+0:10,0,GUARNIERI Jacopo,24,Astana Pro Team,,2.0,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
9,10,113.0,+0:10,0,NIZZOLO Giacomo,23,RadioShack - Nissan,,1.0,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
10,11,17.0,+0:10,0,KRISTOFF Alexander,25,Team Katusha,,,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
11,12,18.0,+0:10,0,APPOLLONIO Davide,23,Sky Procycling,,,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
12,13,19.0,+0:10,0,BODNAR Maciej,27,Liquigas - Cannondale,,,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
13,14,20.0,+0:10,0,DOWSETT Alex,23,Sky Procycling,,,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
14,15,21.0,+0:10,0,VAN DIJK Stefan,36,Accent.jobs – Willems Veranda’s,,,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
15,16,22.0,+0:10,0,DECLERCQ Tim,23,Topsport Vlaanderen - Mercator,,,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
16,17,23.0,+0:10,0,VANMARCKE Sep,24,Garmin Sharp,,,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
17,18,24.0,+0:10,0,BOONEN Tom,31,Omega Pharma - Quick-Step,,,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
18,19,25.0,+0:10,0,BELLETTI Manuel,26,AG2R La Mondiale,,,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
19,20,26.0,+0:10,0,MARCATO Marco,28,Vacansoleil - DCM,,,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
20,21,27.0,+0:10,0,DELAGE Mickaël,27,FDJ - BigMat,,,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
21,22,28.0,+0:10,0,BOS Theo,28,Rabobank Cycling Team,,,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
22,23,29.0,+0:10,0,SELIG Rüdiger,23,Team Katusha,,,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
23,24,30.0,+0:10,0,VAN ASBROECK Tom,22,Topsport Vlaanderen - Mercator,,,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
24,25,31.0,+0:10,0,BURGHARDT Marcus,29,BMC Racing Team,,,",,0:00",Eneco_Tour,1,06 August 2012,36.145 km/h,0,203.9 km,29
