,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,32,DENNIS Rohan,26,BMC Racing Team,50.0,50.0,0:10:48,53.333,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
1,2,2.0,+0:05,45,VAN EMDEN Jos,31,Team LottoNL-Jumbo,20.0,30.0,0:050:05,52.925,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
2,3,4.0,+0:14,167,SÜTTERLIN Jasha,23,Movistar Team,8.0,18.0,0:140:14,52.205,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
3,4,5.0,+0:15,41,KELDERMAN Wilco,25,Team LottoNL-Jumbo,,13.0,0:150:15,52.126999999999995,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
4,5,6.0,+0:15,142,BRÄNDLE Matthias,26,IAM Cycling,,10.0,",,0:15",52.126999999999995,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
5,6,8.0,+0:16,44,ROGLIČ Primož,26,Team LottoNL-Jumbo,,7.0,0:160:16,52.048,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
6,7,7.0,+0:16,35,PHINNEY Taylor,26,BMC Racing Team,,4.0,",,0:16",52.048,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
7,8,3.0,+0:13,11,SAGAN Peter,26,Tinkoff,,3.0,0:170:17,51.97,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
8,9,9.0,+0:17,53,KITTEL Marcel,28,Etixx - Quick Step,,2.0,",,0:17",51.97,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
9,10,10.0,+0:18,163,DOWSETT Alex,27,Movistar Team,,1.0,0:180:18,51.891999999999996,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
10,11,11.0,+0:19,166,IZAGIRRE Ion,27,Movistar Team,,,0:190:19,51.81399999999999,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
11,12,12.0,+0:19,95,NAVARDAUSKAS Ramūnas,28,Cannondale-Drapac Pro Cycling Team,,,",,0:19",51.81399999999999,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
12,13,13.0,+0:20,54,MARTIN Tony,31,Etixx - Quick Step,,,0:200:20,51.736999999999995,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
13,14,14.0,+0:20,21,DUMOULIN Tom,25,Team Giant - Alpecin,,,",,0:20",51.736999999999995,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
14,15,15.0,+0:20,38,BOHLI Tom,22,BMC Racing Team,,,",,0:20",51.736999999999995,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
15,16,17.0,+0:21,24,KRAGH ANDERSEN Søren,22,Team Giant - Alpecin,,,0:210:21,51.659,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
16,17,16.0,+0:21,56,TERPSTRA Niki,32,Etixx - Quick Step,,,",,0:21",51.659,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
17,18,18.0,+0:22,133,GRIVKO Andrey,33,Astana Pro Team,,,0:220:22,51.582,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
18,19,19.0,+0:22,33,KÜNG Stefan,22,BMC Racing Team,,,",,0:22",51.582,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
19,20,20.0,+0:22,162,OLIVEIRA Nelson,27,Movistar Team,,,",,0:22",51.582,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
20,21,21.0,+0:23,151,DÉMARE Arnaud,25,FDJ,,,0:230:23,51.505,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
21,22,24.0,+0:23,25,HAGA Chad,28,Team Giant - Alpecin,,,",,0:23",51.505,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
22,23,22.0,+0:23,13,BODNAR Maciej,31,Tinkoff,,,",,0:23",51.505,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
23,24,23.0,+0:23,143,ELMIGER Martin,37,IAM Cycling,,,",,0:23",51.505,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
24,25,26.0,+0:24,70,FELLINE Fabio,26,Trek - Segafredo,,,0:240:24,51.428999999999995,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
25,26,25.0,+0:24,78,VOROBYEV Anton,25,Team Katusha,,,",,0:24",51.428999999999995,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
26,27,27.0,+0:24,101,MATTHEWS Michael,25,ORICA-BikeExchange,,,",,0:24",51.428999999999995,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
27,28,28.0,+0:25,148,NAESEN Oliver,26,IAM Cycling,,,0:250:25,51.352,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
28,29,31.0,+0:27,96,BAUER Jack,31,Cannondale-Drapac Pro Cycling Team,,,0:270:27,51.2,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
29,30,30.0,+0:27,131,BOOM Lars,30,Astana Pro Team,,,",,0:27",51.2,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
30,31,29.0,+0:27,6,GREIPEL André,34,Lotto Soudal,,,",,0:27",51.2,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
31,32,32.0,+0:29,146,HOLLENSTEIN Reto,31,IAM Cycling,,,0:290:29,51.049,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
32,33,33.0,+0:29,36,QUINZIATO Manuel,36,BMC Racing Team,,,",,0:29",51.049,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
33,34,35.0,+0:30,52,JUNGELS Bob,23,Etixx - Quick Step,,,0:300:30,50.973,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
34,35,34.0,+0:30,135,LUTSENKO Alexey,24,Astana Pro Team,,,",,0:30",50.973,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
35,36,39.0,+0:32,87,THOMAS Geraint,30,Team Sky,,,0:320:32,50.824,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
36,37,40.0,+0:32,136,SMUKULIS Gatis,29,Astana Pro Team,,,",,0:32",50.824,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
37,38,38.0,+0:32,1,WELLENS Tim,25,Lotto Soudal,,,",,0:32",50.824,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
38,39,37.0,+0:32,46,ROOSEN Timo,23,Team LottoNL-Jumbo,,,",,0:32",50.824,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
39,40,41.0,+0:32,147,KLUGE Roger,30,IAM Cycling,,,",,0:32",50.824,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
40,41,36.0,+0:32,94,MULLEN Ryan,22,Cannondale-Drapac Pro Cycling Team,,,",,0:32",50.824,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
41,42,42.0,+0:33,31,VAN AVERMAET Greg,31,BMC Racing Team,,,0:330:33,50.748999999999995,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
42,43,43.0,+0:33,165,IZAGIRRE Gorka,28,Movistar Team,,,",,0:33",50.748999999999995,Eneco_Tour,2,20 September 2016,53.33 km/h,0,9.6 km,11
