,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,2.0,+0:03,11,SAGAN Peter,26,Tinkoff,50.0,50.0,4:10:36,Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
1,2,49.0,+0:37,88,VAN POPPEL Danny,23,Team Sky,20.0,30.0,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
2,3,124.0,+1:18,181,BOUHANNI Nacer,26,"Cofidis, Solutions Crédits",8.0,18.0,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
3,4,61.0,+0:42,42,GROENEWEGEN Dylan,23,Team LottoNL-Jumbo,,13.0,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
4,5,130.0,+1:22,218,MCNALLY Mark,27,Wanty - Groupe Gobert,,10.0,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
5,6,86.0,+0:57,66,NIZZOLO Giacomo,27,Trek - Segafredo,,7.0,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
6,7,5.0,+0:14,143,ELMIGER Martin,37,IAM Cycling,,4.0,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
7,8,10.0,+0:17,53,KITTEL Marcel,28,Etixx - Quick Step,,3.0,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
8,9,31.0,+0:27,6,GREIPEL André,34,Lotto Soudal,,2.0,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
9,10,67.0,+0:44,71,KRISTOFF Alexander,29,Team Katusha,,1.0,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
10,11,75.0,+0:49,157,SARREAU Marc,23,FDJ,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
11,12,115.0,+1:12,144,VAN GENECHTEN Jonas,30,IAM Cycling,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
12,13,119.0,+1:15,201,ASSELMAN Jesper,26,Roompot - Oranje Peloton,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
13,14,148.0,+1:56,102,EWAN Caleb,22,ORICA-BikeExchange,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
14,15,22.0,+0:23,151,DÉMARE Arnaud,25,FDJ,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
15,16,129.0,+1:21,216,JANS Roy,26,Wanty - Groupe Gobert,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
16,17,137.0,+1:33,196,CAPIOT Amaury,23,Topsport Vlaanderen - Baloise,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
17,18,131.0,+1:23,197,VAN LERBERGHE Bert,23,Topsport Vlaanderen - Baloise,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
18,19,104.0,+1:06,121,MODOLO Sacha,29,Lampre - Merida,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
19,20,56.0,+0:40,176,BAGDONAS Gediminas,30,AG2R La Mondiale,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
20,21,13.0,+0:19,95,NAVARDAUSKAS Ramūnas,28,Cannondale-Drapac Pro Cycling Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
21,22,69.0,+0:46,23,DEGENKOLB John,27,Team Giant - Alpecin,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
22,23,97.0,+1:03,117,JANSE VAN RENSBURG Reinardt,27,Team Dimension Data,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
23,24,94.0,+1:03,194,STEELS Stijn,27,Topsport Vlaanderen - Baloise,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
24,25,78.0,+0:52,156,OFFREDO Yoann,29,FDJ,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
25,26,108.0,+1:08,127,ARASHIRO Yukiya,31,Lampre - Merida,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
26,27,81.0,+0:53,61,STUYVEN Jasper,24,Trek - Segafredo,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
27,28,82.0,+0:53,7,ROELANDTS Jürgen,31,Lotto Soudal,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
28,29,43.0,+0:34,112,BOASSON HAGEN Edvald,29,Team Dimension Data,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
29,30,24.0,+0:23,13,BODNAR Maciej,31,Tinkoff,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
30,31,72.0,+0:47,57,TRENTIN Matteo,27,Etixx - Quick Step,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
31,32,4.0,+0:14,167,SÜTTERLIN Jasha,23,Movistar Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
32,33,6.0,+0:15,41,KELDERMAN Wilco,25,Team LottoNL-Jumbo,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
33,34,11.0,+0:18,163,DOWSETT Alex,27,Movistar Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
34,35,71.0,+0:47,132,DE VREESE Laurens,27,Astana Pro Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
35,36,132.0,+1:24,138,GUARDINI Andrea,27,Astana Pro Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
36,37,19.0,+0:22,133,GRIVKO Andrey,33,Astana Pro Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
37,38,12.0,+0:19,166,IZAGIRRE Ion,27,Movistar Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
38,39,122.0,+1:18,137,TLEUBAYEV Ruslan,29,Astana Pro Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
39,40,74.0,+0:48,27,SINKELDAM Ramon,27,Team Giant - Alpecin,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
40,41,66.0,+0:42,168,VENTOSO Francisco José,34,Movistar Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
41,42,127.0,+1:21,98,WIPPERT Wouter,26,Cannondale-Drapac Pro Cycling Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
42,43,96.0,+1:03,186,SOUPE Geoffrey,28,"Cofidis, Solutions Crédits",,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
43,44,91.0,+1:02,51,BOONEN Tom,35,Etixx - Quick Step,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
44,45,46.0,+0:34,55,ŠTYBAR Zdeněk,30,Etixx - Quick Step,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
45,46,118.0,+1:15,217,MARCATO Marco,32,Wanty - Groupe Gobert,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
46,47,27.0,+0:24,101,MATTHEWS Michael,25,ORICA-BikeExchange,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
47,48,29.0,+0:27,96,BAUER Jack,31,Cannondale-Drapac Pro Cycling Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
48,49,64.0,+0:42,193,RICKAERT Jonas,22,Topsport Vlaanderen - Baloise,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
49,50,138.0,+1:36,128,PIBERNIK Luka,22,Lampre - Merida,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
50,51,41.0,+0:33,31,VAN AVERMAET Greg,31,BMC Racing Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
51,52,89.0,+0:59,92,BETTIOL Alberto,22,Cannondale-Drapac Pro Cycling Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
52,53,144.0,+1:46,203,KREDER Raymond,26,Roompot - Oranje Peloton,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
53,54,92.0,+1:02,215,BACKAERT Frederik,26,Wanty - Groupe Gobert,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
54,55,40.0,+0:32,94,MULLEN Ryan,22,Cannondale-Drapac Pro Cycling Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
55,56,9.0,+0:16,35,PHINNEY Taylor,26,BMC Racing Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
56,57,55.0,+0:40,17,TRUSOV Nikolay,31,Tinkoff,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
57,58,18.0,+0:21,56,TERPSTRA Niki,32,Etixx - Quick Step,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
58,59,87.0,+0:57,9,BENOOT Tiesj,22,Lotto Soudal,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
59,60,110.0,+1:10,107,MEZGEC Luka,28,ORICA-BikeExchange,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
60,61,76.0,+0:50,97,VAN BAARLE Dylan,24,Cannondale-Drapac Pro Cycling Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
61,62,3.0,+0:05,45,VAN EMDEN Jos,31,Team LottoNL-Jumbo,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
62,63,38.0,+0:32,1,WELLENS Tim,25,Lotto Soudal,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
63,64,36.0,+0:32,87,THOMAS Geraint,30,Team Sky,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
64,65,28.0,+0:25,148,NAESEN Oliver,26,IAM Cycling,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
65,66,70.0,+0:46,105,JUUL-JENSEN Christopher,27,ORICA-BikeExchange,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
66,67,30.0,+0:27,131,BOOM Lars,30,Astana Pro Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
67,68,51.0,+0:37,141,DEVENYNS Dries,33,IAM Cycling,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
68,69,47.0,+0:34,154,KONOVALOVAS Ignatas,30,FDJ,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
69,70,63.0,+0:42,145,HAUSSLER Heinrich,32,IAM Cycling,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
70,71,128.0,+1:21,204,KREDER Wesley,25,Roompot - Oranje Peloton,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
71,72,100.0,+1:04,60,KEISSE Iljo,33,Etixx - Quick Step,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
72,73,73.0,+0:48,171,GOUGEARD Alexis,23,AG2R La Mondiale,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
73,74,32.0,+0:29,146,HOLLENSTEIN Reto,31,IAM Cycling,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
74,75,1.0,+0:00,32,DENNIS Rohan,26,BMC Racing Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
75,76,106.0,+1:07,134,GRUZDEV Dmitriy,30,Astana Pro Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
76,77,48.0,+0:36,207,VAN GOETHEM Brian,25,Roompot - Oranje Peloton,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
77,78,25.0,+0:24,70,FELLINE Fabio,26,Trek - Segafredo,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
78,79,35.0,+0:30,135,LUTSENKO Alexey,24,Astana Pro Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
79,80,121.0,+1:17,124,COSTA Mário,30,Lampre - Merida,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
80,81,98.0,+1:04,211,ANTONINI Simone,25,Wanty - Groupe Gobert,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
81,82,37.0,+0:32,136,SMUKULIS Gatis,29,Astana Pro Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
82,83,26.0,+0:24,78,VOROBYEV Anton,25,Team Katusha,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
83,84,15.0,+0:20,21,DUMOULIN Tom,25,Team Giant - Alpecin,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
84,85,68.0,+0:46,93,LANGEVELD Sebastian,31,Cannondale-Drapac Pro Cycling Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
85,86,95.0,+1:03,191,VAN HOECKE Gijs,24,Topsport Vlaanderen - Baloise,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
86,87,7.0,+0:15,142,BRÄNDLE Matthias,26,IAM Cycling,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
87,88,107.0,+1:07,192,DE GENDT Aimé,22,Topsport Vlaanderen - Baloise,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
88,89,120.0,+1:17,22,CURVERS Roy,36,Team Giant - Alpecin,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
89,90,84.0,+0:57,68,VAN POPPEL Boy,28,Trek - Segafredo,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
90,91,126.0,+1:19,198,VANSPEYBROUCK Pieter,29,Topsport Vlaanderen - Baloise,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
91,92,52.0,+0:38,177,GRETSCH Patrick,29,AG2R La Mondiale,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
92,93,59.0,+0:41,26,PREIDLER Georg,26,Team Giant - Alpecin,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
93,94,136.0,+1:31,172,BÉRARD Julien,29,AG2R La Mondiale,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
94,95,141.0,+1:45,195,VAN GESTEL Dries,21,Topsport Vlaanderen - Baloise,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
95,96,103.0,+1:05,155,LE GAC Olivier,23,FDJ,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
96,97,142.0,+1:45,164,ERVITI Imanol,32,Movistar Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
97,98,20.0,+0:22,33,KÜNG Stefan,22,BMC Racing Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
98,99,45.0,+0:34,99,BEVIN Patrick,25,Cannondale-Drapac Pro Cycling Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
99,100,42.0,+0:33,165,IZAGIRRE Gorka,28,Movistar Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
100,101,88.0,+0:58,178,HOULE Hugo,25,AG2R La Mondiale,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
101,102,8.0,+0:16,44,ROGLIČ Primož,26,Team LottoNL-Jumbo,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
102,103,44.0,+0:34,18,VALGREN Michael,24,Tinkoff,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
103,104,109.0,+1:09,174,GASTAUER Ben,28,AG2R La Mondiale,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
104,105,57.0,+0:41,72,PORSEV Alexander,30,Team Katusha,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
105,106,134.0,+1:28,187,TURGIS Anthony,22,"Cofidis, Solutions Crédits",,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
106,107,65.0,+0:42,2,BAK Lars Ytting,36,Lotto Soudal,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
107,108,133.0,+1:27,212,VAN MELSEN Kévin,29,Wanty - Groupe Gobert,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
108,109,23.0,+0:23,25,HAGA Chad,28,Team Giant - Alpecin,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
109,110,33.0,+0:29,36,QUINZIATO Manuel,36,BMC Racing Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
110,111,21.0,+0:22,162,OLIVEIRA Nelson,27,Movistar Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
111,112,34.0,+0:30,52,JUNGELS Bob,23,Etixx - Quick Step,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
112,113,50.0,+0:37,76,POLITT Nils,22,Team Katusha,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
113,114,60.0,+0:42,161,ANACONA Winner,28,Movistar Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
114,115,102.0,+1:05,65,DEVOLDER Stijn,37,Trek - Segafredo,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
115,116,16.0,+0:20,38,BOHLI Tom,22,BMC Racing Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
116,117,111.0,+1:10,62,RAST Grégory,36,Trek - Segafredo,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
117,118,39.0,+0:32,46,ROOSEN Timo,23,Team LottoNL-Jumbo,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
118,119,17.0,+0:21,24,KRAGH ANDERSEN Søren,22,Team Giant - Alpecin,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
119,120,99.0,+1:04,82,FENN Andrew,26,Team Sky,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
120,121,93.0,+1:02,4,DEBUSSCHERE Jens,27,Lotto Soudal,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
121,122,14.0,+0:20,54,MARTIN Tony,31,Etixx - Quick Step,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
122,123,140.0,+1:38,206,VAN GINNEKEN Sjoerd,23,Roompot - Oranje Peloton,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
123,124,79.0,+0:52,202,DE VRIES Berden,27,Roompot - Oranje Peloton,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
124,125,112.0,+1:11,208,WEENING Pieter,35,Roompot - Oranje Peloton,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
125,126,54.0,+0:40,37,ROSSKOPF Joey,27,BMC Racing Team,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
126,127,62.0,+0:42,19,BAŠKA Erik,22,Tinkoff,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
127,128,83.0,+0:56,173,RIBLON Christophe,35,AG2R La Mondiale,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
128,129,101.0,+1:04,16,TOSATTO Matteo,42,Tinkoff,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
129,130,151.0,+2:22,15,GATTO Oscar,31,Tinkoff,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
130,131,113.0,+1:12,205,VAN DER LIJKE Nick,24,Roompot - Oranje Peloton,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
131,132,53.0,+0:39,158,VAUGRENARD Benoît,34,FDJ,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
132,133,77.0,+0:50,86,SWIFT Ben,28,Team Sky,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
133,134,58.0,+0:41,14,BRUTT Pavel,34,Tinkoff,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
134,135,123.0,+1:18,175,DENZ Nico,22,AG2R La Mondiale,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
135,136,105.0,+1:06,83,KIRYIENKA Vasil,35,Team Sky,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
136,137,90.0,+1:00,43,LEEZER Tom,30,Team LottoNL-Jumbo,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
137,138,139.0,+1:37,116,REGUIGUI Youcef,26,Team Dimension Data,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
138,139,125.0,+1:19,106,EDMONDSON Alex,22,ORICA-BikeExchange,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
139,140,117.0,+1:14,153,HOELGAARD Daniel,23,FDJ,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
140,141,147.0,+1:51,188,VAN STAEYEN Michael,28,"Cofidis, Solutions Crédits",,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
141,142,80.0,+0:52,75,MØRKØV Michael,31,Team Katusha,,,",,0:00",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
142,143,145.0,+1:48,122,BONO Matteo,32,Lampre - Merida,,,0:250:25,Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
143,144,85.0,+0:57,147,KLUGE Roger,30,IAM Cycling,,,",,0:25",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
144,145,116.0,+1:13,47,WAGNER Robert,33,Team LottoNL-Jumbo,,,",,0:25",Eneco_Tour,3,21 September 2016,43.65 km/h,0,182.3 km,11
