,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,2.0,+0:04,22,CHAVANEL Sylvain,34,Omega Pharma - Quick-Step,6.0,50.0,0:16:04,49.295,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
1,2,3.0,+0:08,115,DUMOULIN Tom,22,Team Argos - Shimano,4.0,30.0,0:040:04,49.091,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
2,3,19.0,+0:38,78,SERGENT Jesse,25,RadioShack - Leopard,2.0,18.0,",,0:04",49.091,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
3,4,5.0,+0:10,136,LANGEVELD Sebastian,28,Orica GreenEDGE,1.0,13.0,0:060:06,48.99,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
4,5,135.0,+9:26,41,WIGGINS Bradley,33,Sky Procycling,1.0,10.0,0:090:09,48.839,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
5,6,4.0,+0:08,16,PHINNEY Taylor,23,BMC Racing Team,,7.0,0:110:11,48.738,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
6,7,9.0,+0:25,92,GUSEV Vladimir,31,Team Katusha,,4.0,0:140:14,48.589,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
7,8,22.0,+0:48,58,WESTRA Lieuwe,30,Vacansoleil - DCM,,3.0,0:170:17,48.44,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
8,9,7.0,+0:23,88,GRIVKO Andrey,30,Astana Pro Team,,2.0,0:180:18,48.391000000000005,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
9,10,1.0,+0:00,1,BOOM Lars,27,Belkin-Pro Cycling Team,,1.0,0:200:20,48.293,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
10,11,11.0,+0:27,4,KELDERMAN Wilco,22,Belkin-Pro Cycling Team,,,0:230:23,48.146,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
11,12,55.0,+1:49,132,DURBRIDGE Luke,22,Orica GreenEDGE,,,",,0:23",48.146,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
12,13,16.0,+0:35,27,TERPSTRA Niki,29,Omega Pharma - Quick-Step,,,0:240:24,48.097,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
13,14,70.0,+2:11,31,BENNATI Daniele,32,Team Saxo - Tinkoff,,,",,0:24",48.097,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
14,15,15.0,+0:30,138,WEENING Pieter,32,Orica GreenEDGE,,,0:260:26,48.0,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
15,16,33.0,+1:02,74,JUNGELS Bob,20,RadioShack - Leopard,,,0:280:28,47.903,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
16,17,141.0,+10:24,32,BOARO Manuele,26,Team Saxo - Tinkoff,,,",,0:28",47.903,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
17,18,10.0,+0:26,46,STANNARD Ian,26,Sky Procycling,,,",,0:28",47.903,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
18,19,12.0,+0:27,95,PORSEV Alexander,27,Team Katusha,,,0:290:29,47.855,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
19,20,6.0,+0:18,11,GILBERT Philippe,31,BMC Racing Team,,,0:310:31,47.75899999999999,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
20,21,89.0,+3:11,131,TUFT Svein,36,Orica GreenEDGE,,,0:330:33,47.663000000000004,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
21,22,17.0,+0:37,79,BAKELANTS Jan,27,RadioShack - Leopard,,,0:380:38,47.425,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
22,23,8.0,+0:24,26,ŠTYBAR Zdeněk,27,Omega Pharma - Quick-Step,,,",,0:38",47.425,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
23,24,18.0,+0:37,134,IMPEY Daryl,28,Orica GreenEDGE,,,0:390:39,47.378,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
24,25,146.0,+13:04,7,TJALLINGII Maarten,35,Belkin-Pro Cycling Team,,,",,0:39",47.378,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
25,26,78.0,+2:29,149,BODNAR Maciej,28,Cannondale Pro Cycling Team,,,",,0:39",47.378,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
26,27,13.0,+0:29,101,FARRAR Tyler,29,Garmin Sharp,,,0:400:40,47.331,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
27,28,25.0,+0:51,17,QUINZIATO Manuel,33,BMC Racing Team,,,",,0:40",47.331,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
28,29,38.0,+1:11,116,PARISIEN François,31,Team Argos - Shimano,,,",,0:40",47.331,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
29,30,92.0,+3:21,8,VAN EMDEN Jos,28,Belkin-Pro Cycling Team,,,",,0:40",47.331,Eneco_Tour,5,16 August 2013,49.29 km/h,0,13.2 km,28
