,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,BOASSON HAGEN Edvald,24,Sky Procycling,100.0,250,22:54:22,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
1,2,0,GILBERT Philippe,29,Omega Pharma-Lotto,80.0,190,0:220:22,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
2,3,0,MILLAR David,34,Team Garmin - Cervélo,70.0,160,0:280:28,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
3,4,0,PHINNEY Taylor,21,BMC Racing Team,60.0,140,0:350:35,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
4,5,0,VAN EMDEN Jos,26,Rabobank Cycling Team,50.0,120,0:570:57,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
5,6,0,VAN LEIJEN Joost,27,Vacansoleil - DCM,40.0,110,1:041:04,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
6,7,0,CORNU Dominique,25,Topsport Vlaanderen - Mercator,30.0,100,1:071:07,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
7,8,0,DEVENYNS Dries,28,Quickstep Cycling Team,20.0,90,1:081:08,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
8,9,0,HERMANS Ben,25,RadioShack,10.0,80,1:091:09,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
9,10,0,GERDEMANN Linus,28,Leopard Trek,4.0,70,1:131:13,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
10,11,0,GUSEV Vladimir,29,Team Katusha,,60,1:151:15,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
11,12,0,BOOM Lars,25,Rabobank Cycling Team,,55,1:171:17,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
12,13,0,SARAMOTINS Aleksejs,29,"Cofidis, le Crédit en Ligne",,50,1:221:22,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
13,14,0,VAN AVERMAET Greg,26,BMC Racing Team,,45,1:261:26,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
14,15,0,DE KORT Koen,28,Skil - Shimano,,40,1:311:31,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
15,16,0,BOLE Grega,26,Lampre - ISD,,36,",,1:31",..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
16,17,0,STAMSNIJDER Tom,26,Leopard Trek,,32,1:331:33,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
17,18,0,TANKINK Bram,32,Rabobank Cycling Team,,28,1:371:37,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
18,19,0,NUYENS Nick,31,Saxo Bank - Sungard,,24,1:471:47,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
19,20,0,OYARZÚN Carlos Iván,29,Movistar Team,,20,1:501:50,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
20,21,0,LANGEVELD Sebastian,26,Rabobank Cycling Team,,18,1:531:53,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
21,22,0,BAK Lars Ytting,31,HTC - High Road,,16,1:541:54,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
22,23,0,TJALLINGII Maarten,33,Rabobank Cycling Team,,14,1:571:57,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
23,24,0,FLECHA Juan Antonio,33,Sky Procycling,,12,1:591:59,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
24,25,0,CARUSO Damiano,23,Liquigas - Cannondale,,10,2:042:04,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
25,26,0,ŠTYBAR Zdeněk,25,Quickstep Cycling Team,,9,2:052:05,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
26,27,0,ELMIGER Martin,32,AG2R La Mondiale,,8,2:072:07,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
27,28,0,MONDORY Lloyd,29,AG2R La Mondiale,,7,2:122:12,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
28,29,0,BEPPU Fumiyuki,28,RadioShack,,6,2:132:13,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
29,30,0,VANTOMME Maxime,25,Team Katusha,,5,2:192:19,..,Eneco_Tour,GC,14 August 2011,-,0,0 km,26
