,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,1,WELLENS Tim,24,Lotto Soudal,100.0,250,26:31:59,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
1,2,2,-,25,VAN AVERMAET Greg,30,BMC Racing Team,80.0,190,0:590:59,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
2,3,3,-,71,KELDERMAN Wilco,24,Team LottoNL-Jumbo,70.0,160,1:171:17,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
3,4,4,-,21,GILBERT Philippe,33,BMC Racing Team,60.0,140,1:401:40,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
4,5,5,-,42,FELLINE Fabio,25,Trek Factory Racing,50.0,120,1:481:48,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
5,6,7,▲1,64,GRIVKO Andrey,32,Astana Pro Team,40.0,110,1:541:54,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
6,7,6,▼1,31,ROGERS Michael,35,Tinkoff - Saxo,30.0,100,2:022:02,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
7,8,9,▲1,2,BENOOT Tiesj,21,Lotto Soudal,20.0,90,2:112:11,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
8,9,8,▼1,35,JUUL-JENSEN Christopher,26,Tinkoff - Saxo,10.0,80,",,2:11",..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
9,10,11,▲1,12,ALAPHILIPPE Julian,23,Etixx - Quick Step,4.0,70,",,2:11",..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
10,11,10,▼1,161,BAKELANTS Jan,29,AG2R La Mondiale,,60,2:132:13,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
11,12,12,-,118,SLAGTER Tom-Jelte,26,Team Cannondale - Garmin,,55,2:162:16,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
12,13,13,-,62,LUTSENKO Alexey,22,Astana Pro Team,,50,2:522:52,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
13,14,17,▲3,132,ARNDT Nikias,23,Team Giant - Alpecin,,45,5:065:06,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
14,15,15,-,129,HOLLENSTEIN Reto,29,IAM Cycling,,40,5:085:08,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
15,16,19,▲3,136,PREIDLER Georg,25,Team Giant - Alpecin,,36,5:135:13,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
16,17,24,▲7,191,LEUKEMANS Björn,38,Wanty - Groupe Gobert,,32,5:215:21,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
17,18,20,▲2,84,KOCHETKOV Pavel,29,Team Katusha,,28,5:475:47,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
18,19,21,▲2,196,MARCATO Marco,31,Wanty - Groupe Gobert,,24,5:505:50,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
19,20,23,▲3,174,NAESEN Oliver,24,Topsport Vlaanderen - Baloise,,20,6:046:04,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
20,21,26,▲5,151,ROJAS José Joaquín,30,Movistar Team,,18,6:306:30,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
21,22,22,-,5,DEBUSSCHERE Jens,25,Lotto Soudal,,16,",,6:30",..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
22,23,25,▲2,46,STUYVEN Jasper,23,Trek Factory Racing,,14,6:516:51,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
23,24,14,▼10,146,LE BON Johan,24,FDJ,,12,7:257:25,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
24,25,27,▲2,133,CURVERS Roy,35,Team Giant - Alpecin,,10,7:287:28,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
25,26,18,▼8,32,VALGREN Michael,23,Tinkoff - Saxo,,9,7:317:31,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
26,27,28,▲1,198,VEUCHELEN Frederik,36,Wanty - Groupe Gobert,,8,7:377:37,..,Eneco_Tour,GC,16 August 2015,-,0,0 km,28
