,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,5,▲4,56,TERPSTRA Niki,32,Etixx - Quick Step,400.0,250,22:43:26,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
1,2,20,▲18,148,NAESEN Oliver,26,IAM Cycling,320.0,190,0:310:31,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
2,3,4,▲1,11,SAGAN Peter,26,Tinkoff,260.0,160,1:001:00,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
3,4,8,▲4,31,VAN AVERMAET Greg,31,BMC Racing Team,220.0,140,1:021:02,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
4,5,6,▲1,45,VAN EMDEN Jos,31,Team LottoNL-Jumbo,180.0,120,1:031:03,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
5,6,10,▲4,41,KELDERMAN Wilco,25,Team LottoNL-Jumbo,140.0,110,1:111:11,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
6,7,13,▲6,55,ŠTYBAR Zdeněk,30,Etixx - Quick Step,120.0,100,1:151:15,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
7,8,17,▲9,166,IZAGIRRE Ion,27,Movistar Team,100.0,90,1:191:19,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
8,9,21,▲12,21,DUMOULIN Tom,25,Team Giant - Alpecin,80.0,80,1:221:22,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
9,10,9,▼1,52,JUNGELS Bob,24,Etixx - Quick Step,68.0,70,1:311:31,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
10,11,12,▲1,167,SÜTTERLIN Jasha,23,Movistar Team,56.0,60,1:361:36,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
11,12,63,▲51,112,BOASSON HAGEN Edvald,29,Team Dimension Data,48.0,55,1:441:44,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
12,13,28,▲15,165,IZAGIRRE Gorka,28,Movistar Team,40.0,50,1:491:49,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
13,14,2,▼12,35,PHINNEY Taylor,26,BMC Racing Team,32.0,45,1:531:53,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
14,15,3,▼12,54,MARTIN Tony,31,Etixx - Quick Step,28.0,40,2:012:01,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
15,16,19,▲3,6,GREIPEL André,34,Lotto Soudal,24.0,36,2:122:12,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
16,17,52,▲35,134,GRUZDEV Dmitriy,30,Astana Pro Team,24.0,32,2:172:17,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
17,18,11,▼7,44,ROGLIČ Primož,26,Team LottoNL-Jumbo,24.0,28,2:252:25,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
18,19,25,▲6,146,HOLLENSTEIN Reto,31,IAM Cycling,24.0,24,2:322:32,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
19,20,30,▲10,151,DÉMARE Arnaud,25,FDJ,24.0,20,2:392:39,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
20,21,24,▲3,133,GRIVKO Andrey,33,Astana Pro Team,16.0,18,2:402:40,..,Eneco_Tour,GC,25 September 2016,-,0,0 km,11
