,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,51,ACKERMANN Pascal,25,BORA - hansgrohe,300.0,200.0,4:23:36,Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
1,2,71,DEGENKOLB John,30,Trek - Segafredo,250.0,150.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
2,3,1,KRISTOFF Alexander,31,UAE-Team Emirates,215.0,120.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
3,4,151,CIMOLAI Davide,29,Israel Cycling Academy,175.0,100.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
4,5,141,HOFSTETTER Hugo,25,"Cofidis, Solutions Crédits",120.0,90.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
5,6,216,PLANCKAERT Baptiste,30,Wallonie-Bruxelles,115.0,80.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
6,7,162,GABBURO Davide,26,Neri Sottoli - Selle Italia - KTM,95.0,70.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
7,8,116,NAESEN Lawrence,26,Lotto Soudal,75.0,60.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
8,9,85,HALLER Marco,28,Team Katusha Alpecin,60.0,50.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
9,10,42,BOLE Grega,33,Bahrain Merida,50.0,40.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
10,11,45,MOHORIČ Matej,24,Bahrain Merida,40.0,36.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
11,12,166,VELASCO Simone,23,Neri Sottoli - Selle Italia - KTM,35.0,32.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
12,13,132,ČERNÝ Josef,25,CCC Team,30.0,28.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
13,14,65,BOASSON HAGEN Edvald,31,Team Dimension Data,25.0,24.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
14,15,125,LEDANOIS Kévin,25,Team Arkéa Samsic,20.0,20.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
15,16,21,NAESEN Oliver,28,AG2R La Mondiale,20.0,16.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
16,17,25,JAUREGUI Quentin,25,AG2R La Mondiale,20.0,14.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
17,18,91,CORT Magnus,26,Astana Pro Team,20.0,12.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
18,19,206,SHILOV Sergey,31,Gazprom-RusVelo,20.0,10.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
19,20,14,NIEUWENHUIS Joris,23,Team Sunweb,20.0,9.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
20,21,182,DELTOMBE Kevin,25,Sport Vlaanderen - Baloise,12.0,8.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
21,22,27,WARBASSE Larry,28,AG2R La Mondiale,12.0,7.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
22,23,181,SPRENGERS Thomas,29,Sport Vlaanderen - Baloise,12.0,6.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
23,24,2,BYSTRØM Sven Erik,27,UAE-Team Emirates,12.0,5.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
24,25,102,BENNETT Sean,23,EF Education First,12.0,4.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
25,26,165,VAN EMPEL Etienne,25,Neri Sottoli - Selle Italia - KTM,12.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
26,27,12,BAKELANTS Jan,33,Team Sunweb,12.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
27,28,122,DELAPLACE Anthony,29,Team Arkéa Samsic,12.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
28,29,193,LIVYNS Arjen,24,Roompot - Charles,12.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
29,30,81,POLITT Nils,25,Team Katusha Alpecin,12.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
30,31,156,SBARAGLI Kristian,28,Israel Cycling Academy,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
31,32,44,HAUSSLER Heinrich,35,Bahrain Merida,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
32,33,195,RIESEBEEK Oscar,26,Roompot - Charles,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
33,34,32,DOUBEY Fabien,25,Wanty - Gobert Cycling Team,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
34,35,84,GUERREIRO Ruben,24,Team Katusha Alpecin,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
35,36,186,VERWILST Aaron,21,Sport Vlaanderen - Baloise,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
36,37,172,BURGAUDEAU Mathieu,20,Team Total Direct Energie,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
37,38,55,SCHILLINGER Andreas,35,BORA - hansgrohe,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
38,39,93,BIZHIGITOV Zhandos,27,Astana Pro Team,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
39,40,57,SELIG Rüdiger,30,BORA - hansgrohe,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
40,41,145,SOUPE Geoffrey,31,"Cofidis, Solutions Crédits",5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
41,42,169,FORTUNATO Lorenzo,22,Neri Sottoli - Selle Italia - KTM,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
42,43,63,GHEBREIGZABHIER Amanuel,24,Team Dimension Data,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
43,44,158,BOIVIN Guillaume,29,Israel Cycling Academy,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
44,45,213,LIETAER Eliot,28,Wallonie-Bruxelles,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
45,46,33,MINNAARD Marco,30,Wanty - Gobert Cycling Team,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
46,47,157,VAN ASBROECK Tom,29,Israel Cycling Academy,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
47,48,167,ZARDINI Edoardo,29,Neri Sottoli - Selle Italia - KTM,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
48,49,64,GIBBONS Ryan,24,Team Dimension Data,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
49,50,23,BOUCHARD Geoffrey,27,AG2R La Mondiale,5.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
50,51,204,NYCH Artem,24,Gazprom-RusVelo,2.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
51,52,24,GASTAUER Ben,31,AG2R La Mondiale,2.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
52,53,133,GRADEK Kamil,28,CCC Team,2.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
53,54,82,BATTAGLIN Enrico,29,Team Katusha Alpecin,2.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
54,55,123,FEILLU Brice,33,Team Arkéa Samsic,2.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
55,56,131,TEN DAM Laurens,38,CCC Team,1.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
56,57,137,WIŚNIOWSKI Łukasz,27,CCC Team,1.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
57,58,155,NEILANDS Krists,24,Israel Cycling Academy,1.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
58,59,26,PARET-PEINTRE Aurélien,23,AG2R La Mondiale,1.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
59,60,13,HAMILTON Chris,23,Team Sunweb,1.0,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
60,61,94,BOARO Manuele,32,Astana Pro Team,,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
61,62,191,WEENING Pieter,38,Roompot - Charles,,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
62,63,192,DE WITTE Mathias,26,Roompot - Charles,,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
63,64,86,HOLLENSTEIN Reto,33,Team Katusha Alpecin,,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
64,65,72,CONCI Nicola,22,Trek - Segafredo,,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
65,66,205,ROVNY Ivan,31,Gazprom-RusVelo,,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
66,67,36,VANSPEYBROUCK Pieter,32,Wanty - Gobert Cycling Team,,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
67,68,96,GIDICH Yevgeniy,22,Astana Pro Team,,3.0,",,0:00",Eschborn_Frankfurt,0,01 May 2019,42.678 km/h,82,187.5 km,51
