,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,95,POZZATO Filippo,31,Lampre - Merida,80.0,225.0,5:59:54,GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
1,2,48,NIZZOLO Giacomo,24,RadioShack - Leopard,60.0,150.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
2,3,83,DUMOULIN Samuel,33,AG2R La Mondiale,50.0,110.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
3,4,147,ROELANDTS Jürgen,28,Lotto Belisol Team,40.0,90.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
4,5,122,BENNATI Daniele,32,Team Saxo - Tinkoff,30.0,80.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
5,6,73,HUSHOVD Thor,35,BMC Racing Team,22.0,70.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
6,7,108,VIVIANI Elia,24,Cannondale Pro Cycling Team,14.0,60.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
7,8,15,VENTOSO Francisco José,31,Movistar Team,10.0,50.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
8,9,63,BOŽIČ Borut,33,Astana Pro Team,6.0,46.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
9,10,183,DEGENKOLB John,24,Team Argos - Shimano,2.0,42.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
10,11,202,LEMOINE Cyril,30,Sojasun,,38.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
11,12,17,ROJAS José Joaquín,28,Movistar Team,,34.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
12,13,111,BOOM Lars,27,Belkin-Pro Cycling Team,,30.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
13,14,168,OFFREDO Yoann,26,FDJ.fr,,26.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
14,15,136,IMPEY Daryl,28,Orica GreenEDGE,,22.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
15,16,167,VICHOT Arthur,24,FDJ.fr,,20.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
16,17,226,HINAULT Sébastien,39,IAM Cycling,,18.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
17,18,18,VISCONTI Giovanni,30,Movistar Team,,17.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
18,19,66,PONZI Simone,26,Astana Pro Team,,16.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
19,20,54,KWIATKOWSKI Michał,23,Omega Pharma - Quick-Step,,15.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
20,21,126,BRESCHEL Matti,29,Team Saxo - Tinkoff,,14.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
21,22,65,GASPAROTTO Enrico,31,Astana Pro Team,,13.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
22,23,2,HAYMAN Mathew,35,Sky Procycling,,12.0,",,0:00",GP_Ouest_France___Plouay,0,01 September 2013,41.394 km/h,0,248.3 km,18
