,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,BOASSON HAGEN Edvald,25,Sky Procycling,80.0,225.0,5:55:28,GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
1,2,0,COSTA Rui,25,Movistar Team,60.0,150.0,0:050:05,GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
2,3,0,HAUSSLER Heinrich,28,Garmin Sharp,50.0,110.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
3,4,0,GOSS Matthew,25,Orica GreenEDGE,40.0,90.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
4,5,0,ROELANDTS Jürgen,27,Lotto Belisol Team,30.0,80.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
5,6,0,MARCATO Marco,28,Vacansoleil - DCM,22.0,70.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
6,7,0,NIZZOLO Giacomo,23,RadioShack - Nissan,14.0,60.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
7,8,0,BOŽIČ Borut,32,Astana Pro Team,10.0,,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
8,9,0,DUMOULIN Samuel,32,"Cofidis, le Crédit en Ligne",6.0,46.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
9,10,0,PAOLINI Luca,35,Team Katusha,2.0,42.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
10,11,0,PIETROPOLLI Daniele,32,Lampre - ISD,,38.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
11,12,0,GERRANS Simon,32,Orica GreenEDGE,,34.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
12,13,0,SINKELDAM Ramon,23,Argos - Shimano,,30.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
13,14,0,DELAGE Mickaël,27,FDJ - BigMat,,26.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
14,15,0,WEGMANN Fabian,32,Garmin Sharp,,22.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
15,16,0,GAVAZZI Francesco,28,Astana Pro Team,,20.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
16,17,0,MORI Manuele,32,Lampre - ISD,,18.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
17,18,0,KEUKELEIRE Jens,23,Orica GreenEDGE,,17.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
18,19,0,LEQUATRE Geoffroy,31,Bretagne Schuller,,16.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
19,20,0,BELLETTI Manuel,26,AG2R La Mondiale,,15.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
20,21,0,VISCONTI Giovanni,29,Movistar Team,,14.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
21,22,0,DE BACKER Bert,28,Argos - Shimano,,13.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
22,23,0,TANNER David,27,Team Saxo Bank - Tinkoff Bank,,12.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
23,24,0,ROUX Anthony,25,FDJ - BigMat,,11.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
24,25,0,SAGAN Juraj,23,Liquigas - Cannondale,,10.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
25,26,0,VENTOSO Francisco José,30,Movistar Team,,9.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
26,27,0,ARASHIRO Yukiya,27,Team Europcar,,8.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
27,28,0,CIOLEK Gerald,25,Omega Pharma - Quick-Step,,7.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
28,29,0,BARDET Romain,21,AG2R La Mondiale,,6.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
29,30,0,MAES Nikolas,26,Omega Pharma - Quick-Step,,5.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
30,31,0,VACHON Florian,27,Bretagne Schuller,,5.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
31,32,0,SELVAGGI Mirko,27,Vacansoleil - DCM,,5.0,",,0:05",GP_Ouest_France___Plouay,0,26 August 2012,41.911 km/h,0,248.3 km,15
