,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,11,SAGAN Peter,28,BORA - hansgrohe,500.0,225.0,5:53:37,Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
1,2,34,VIVIANI Elia,29,Quick-Step Floors,400.0,150.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
2,3,81,DÉMARE Arnaud,26,Groupama - FDJ,325.0,110.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
3,4,221,LAPORTE Christophe,25,"Cofidis, Solutions Crédits",275.0,90.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
4,5,23,DEBUSSCHERE Jens,28,Lotto Soudal,225.0,80.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
5,6,41,NAESEN Oliver,27,AG2R La Mondiale,175.0,70.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
6,7,91,TRENTIN Matteo,28,Mitchelton-Scott,150.0,60.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
7,8,36,ŠTYBAR Zdeněk,32,Quick-Step Floors,125.0,50.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
8,9,161,STUYVEN Jasper,25,Trek - Segafredo,100.0,46.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
9,10,201,VAN AERT Wout,23,Vérandas Willems-Crelan,85.0,42.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
10,11,75,MODOLO Sacha,30,Team EF Education First-Drapac p/b Cannondale,70.0,38.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
11,12,236,VAN SCHIP Jan-Willem,23,Roompot - Nederlandse Loterij,60.0,34.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
12,13,151,MATTHEWS Michael,27,Team Sunweb,50.0,30.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
13,14,1,VAN AVERMAET Greg,32,BMC Racing Team,40.0,26.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
14,15,117,VERMOTE Julien,28,Team Dimension Data,35.0,22.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
15,16,125,KUZNETSOV Viacheslav,28,Team Katusha Alpecin,30.0,20.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
16,17,31,GILBERT Philippe,35,Quick-Step Floors,30.0,18.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
17,18,13,BURGHARDT Marcus,34,BORA - hansgrohe,30.0,17.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
18,19,235,VAN GOETHEM Brian,26,Roompot - Nederlandse Loterij,30.0,16.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
19,20,33,LAMPAERT Yves,26,Quick-Step Floors,30.0,15.0,0:050:05,Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
20,21,71,VANMARCKE Sep,29,Team EF Education First-Drapac p/b Cannondale,20.0,14.0,0:080:08,Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
21,22,194,VAN KEIRSBULCK Guillaume,27,Wanty - Groupe Gobert,20.0,13.0,",,0:08",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
22,23,97,MEZGEC Luka,29,Mitchelton-Scott,20.0,12.0,0:120:12,Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
23,24,56,CORT Magnus,25,Astana Pro Team,20.0,11.0,1:011:01,Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
24,25,171,KRISTOFF Alexander,30,UAE-Team Emirates,20.0,10.0,",,1:01",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
25,26,57,VALGREN Michael,26,Astana Pro Team,20.0,9.0,1:141:14,Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
26,27,185,VAN HECKE Preben,35,Sport Vlaanderen - Baloise,20.0,8.0,1:221:22,Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
27,28,121,MARTIN Tony,32,Team Katusha Alpecin,20.0,7.0,2:492:49,Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
28,29,212,JULES Justin,31,WB Aqua Protect Veranclassic,20.0,6.0,3:143:14,Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
29,30,192,PASQUALON Andrea,30,Wanty - Groupe Gobert,20.0,5.0,",,3:14",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
30,31,214,KIRSCH Alex,25,WB Aqua Protect Veranclassic,10.0,5.0,",,3:14",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
31,32,157,THEUNS Edward,26,Team Sunweb,10.0,5.0,3:173:17,Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
32,33,107,SÜTTERLIN Jasha,25,Movistar Team,10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
33,34,156,TEUNISSEN Mike,25,Team Sunweb,10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
34,35,184,VAN GESTEL Dries,23,Sport Vlaanderen - Baloise,10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
35,36,162,DE KORT Koen,35,Trek - Segafredo,10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
36,37,226,VAN LERBERGHE Bert,25,"Cofidis, Solutions Crédits",10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
37,38,134,ROOSEN Timo,25,Team LottoNL-Jumbo,10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
38,39,37,TERPSTRA Niki,33,Quick-Step Floors,10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
39,40,24,FRISON Frederik,25,Lotto Soudal,10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
40,41,27,WALLAYS Jelle,28,Lotto Soudal,10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
41,42,137,VAN POPPEL Danny,24,Team LottoNL-Jumbo,10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
42,43,174,GANNA Filippo,21,UAE-Team Emirates,10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
43,44,14,OSS Daniel,31,BORA - hansgrohe,10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
44,45,141,MOSCON Gianni,23,Team Sky,10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
45,46,55,LUTSENKO Alexey,25,Astana Pro Team,10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
46,47,35,SÉNÉCHAL Florian,24,Quick-Step Floors,10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
47,48,166,DEGENKOLB John,29,Trek - Segafredo,10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
48,49,64,HAUSSLER Heinrich,34,Bahrain Merida Pro Cycling Team,10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
49,50,73,LANGEVELD Sebastian,33,Team EF Education First-Drapac p/b Cannondale,10.0,5.0,",,3:17",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
50,51,237,VERMELTFOORT Coen,29,Roompot - Nederlandse Loterij,5.0,5.0,5:345:34,Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
51,52,43,BARBIER Rudy,25,AG2R La Mondiale,5.0,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
52,53,112,GIBBONS Ryan,23,Team Dimension Data,5.0,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
53,54,127,ZABEL Rick,24,Team Katusha Alpecin,5.0,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
54,55,15,SAGAN Juraj,29,BORA - hansgrohe,5.0,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
55,56,136,VAN HOECKE Gijs,26,Team LottoNL-Jumbo,3.0,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
56,57,245,LECROQ Jérémy,22,Vital Concept Cycling Club,3.0,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
57,58,183,PLANCKAERT Edward,23,Sport Vlaanderen - Baloise,3.0,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
58,59,25,BAK Lars Ytting,38,Lotto Soudal,3.0,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
59,60,26,SIEBERG Marcel,35,Lotto Soudal,3.0,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
60,61,45,DUVAL Julien,27,AG2R La Mondiale,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
61,62,204,DUIJN Huub,33,Vérandas Willems-Crelan,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
62,63,182,NOPPE Christophe,23,Sport Vlaanderen - Baloise,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
63,64,5,KÜNG Stefan,24,BMC Racing Team,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
64,65,4,SCHÄR Michael,31,BMC Racing Team,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
65,66,153,CURVERS Roy,38,Team Sunweb,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
66,67,206,DEVOLDER Stijn,38,Vérandas Willems-Crelan,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
67,68,102,ARCAS Jorge,25,Movistar Team,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
68,69,207,WAEYTENS Zico,26,Vérandas Willems-Crelan,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
69,70,142,DOULL Owain,24,Team Sky,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
70,71,86,LE GAC Olivier,24,Groupama - FDJ,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
71,72,167,VAN POPPEL Boy,30,Trek - Segafredo,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
72,73,54,HOULE Hugo,27,Astana Pro Team,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
73,74,51,DE VREESE Laurens,29,Astana Pro Team,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
74,75,103,BARBERO Carlos,26,Movistar Team,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
75,76,106,OLIVEIRA Nelson,29,Movistar Team,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
76,77,144,KNEES Christian,37,Team Sky,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
77,78,7,VENTOSO Francisco José,35,BMC Racing Team,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
78,79,53,GRUZDEV Dmitriy,32,Astana Pro Team,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
79,80,146,GOŁAŚ Michał,33,Team Sky,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
80,81,111,BOASSON HAGEN Edvald,30,Team Dimension Data,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
81,82,233,LIGTHART Pim,29,Roompot - Nederlandse Loterij,,5.0,",,5:34",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
82,83,101,AMADOR Andrey,31,Movistar Team,,5.0,5:395:39,Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
83,84,65,KOREN Kristijan,31,Bahrain Merida Pro Cycling Team,,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
84,85,85,KONOVALOVAS Ignatas,32,Groupama - FDJ,,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
85,86,213,DUQUENNOY Jimmy,22,WB Aqua Protect Veranclassic,,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
86,87,84,GUARNIERI Jacopo,30,Groupama - FDJ,,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
87,88,173,CONSONNI Simone,23,UAE-Team Emirates,,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
88,89,105,CARRETERO Héctor,22,Movistar Team,,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
89,90,145,STANNARD Ian,30,Team Sky,,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
90,91,195,DEVRIENDT Tom,26,Wanty - Groupe Gobert,,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
91,92,132,WYNANTS Maarten,35,Team LottoNL-Jumbo,,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
92,93,131,GROENEWEGEN Dylan,24,Team LottoNL-Jumbo,,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
93,94,135,VAN EMDEN Jos,33,Team LottoNL-Jumbo,,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
94,95,2,ROELANDTS Jürgen,32,BMC Racing Team,,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
95,96,77,SCULLY Tom,28,Team EF Education First-Drapac p/b Cannondale,,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
96,97,94,HAYMAN Mathew,39,Mitchelton-Scott,,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
97,98,224,LEMOINE Cyril,35,"Cofidis, Solutions Crédits",,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
98,99,147,VAN BAARLE Dylan,25,Team Sky,,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
99,100,92,BAUER Jack,32,Mitchelton-Scott,,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
100,101,93,EDMONDSON Alex,24,Mitchelton-Scott,,5.0,",,5:39",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
101,102,44,DENZ Nico,24,AG2R La Mondiale,,5.0,11:4711:47,Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
102,103,232,GERTS Floris,25,Roompot - Nederlandse Loterij,,5.0,",,11:47",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
103,104,186,VAN ROOY Kenneth,24,Sport Vlaanderen - Baloise,,5.0,",,11:47",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
104,105,96,DURBRIDGE Luke,26,Mitchelton-Scott,,5.0,",,11:47",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
105,106,114,KING Ben,29,Team Dimension Data,,5.0,",,11:47",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
106,107,47,VANDENBERGH Stijn,33,AG2R La Mondiale,,5.0,",,11:47",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
107,108,83,DUCHESNE Antoine,26,Groupama - FDJ,,5.0,",,11:47",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
108,109,247,TURGIS Tanguy,19,Vital Concept Cycling Club,,5.0,",,11:47",Gent_Wevelgem_in_Flanders_Fields_ME,0,25 March 2018,42.61 km/h,0,251.1 km,11
