,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,125,PAOLINI Luca,38,Team Katusha,80.0,225.0,6:20:55,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
1,2,13,TERPSTRA Niki,30,Etixx - Quick Step,60.0,150.0,0:110:11,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
2,3,147,THOMAS Geraint,28,Team Sky,50.0,110.0,",,0:11",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
3,4,16,VANDENBERGH Stijn,30,Etixx - Quick Step,40.0,90.0,0:180:18,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
4,5,25,DEBUSSCHERE Jens,25,Lotto Soudal,30.0,80.0,0:260:26,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
5,6,131,VANMARCKE Sep,26,Team LottoNL-Jumbo,22.0,70.0,0:400:40,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
6,7,22,ROELANDTS Jürgen,29,Lotto Soudal,14.0,60.0,1:511:51,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
7,8,56,OSS Daniel,28,BMC Racing Team,10.0,50.0,4:154:15,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
8,9,121,KRISTOFF Alexander,27,Team Katusha,6.0,46.0,6:546:54,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
9,10,151,SAGAN Peter,25,Tinkoff - Saxo,2.0,42.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
10,11,176,THEUNS Edward,23,Topsport Vlaanderen - Baloise,,38.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
11,12,128,TSATEVICH Alexey,25,Team Katusha,,34.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
12,13,95,LOBATO Juan José,26,Movistar Team,,30.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
13,14,8,WAEYTENS Zico,23,Team Giant - Alpecin,,26.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
14,15,61,DÉMARE Arnaud,23,FDJ,,22.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
15,16,54,DRUCKER Jempy,28,BMC Racing Team,,20.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
16,17,177,THWAITES Scott,25,Bora - Argon 18,,18.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
17,18,103,HAYMAN Mathew,36,Orica GreenEDGE,,17.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
18,19,187,SÉNÉCHAL Florian,21,"Cofidis, Solutions Crédits",,16.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
19,20,71,CHAVANEL Sylvain,35,IAM Cycling,,15.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
20,21,241,LEUKEMANS Björn,37,Wanty - Groupe Gobert,,14.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
21,22,43,DE VREESE Laurens,26,Astana Pro Team,,13.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
22,23,217,ZHUPA Eugert,24,Southeast,,12.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
23,24,162,RAST Grégory,35,Trek Factory Racing,,11.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
24,25,194,CIOLEK Gerald,28,MTN - Qhubeka,,10.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
25,26,135,VAN ASBROECK Tom,24,Team LottoNL-Jumbo,,9.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
26,27,244,MARCATO Marco,31,Wanty - Groupe Gobert,,8.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
27,28,15,TRENTIN Matteo,25,Etixx - Quick Step,,7.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
28,29,144,KNEES Christian,34,Team Sky,,6.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
29,30,44,GRIVKO Andrey,31,Astana Pro Team,,5.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
30,31,57,QUINZIATO Manuel,35,BMC Racing Team,,5.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
31,32,174,NAESEN Oliver,24,Topsport Vlaanderen - Baloise,,5.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
32,33,12,MAES Nikolas,28,Etixx - Quick Step,,5.0,",,6:54",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
33,34,106,KEUKELEIRE Jens,26,Orica GreenEDGE,,5.0,7:007:00,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
34,35,134,TANKINK Bram,36,Team LottoNL-Jumbo,,5.0,7:037:03,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
35,36,51,VAN AVERMAET Greg,29,BMC Racing Team,,5.0,",,7:03",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
36,37,171,WALLAYS Jelle,25,Topsport Vlaanderen - Baloise,,5.0,7:067:06,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
37,38,14,ŠTYBAR Zdeněk,29,Etixx - Quick Step,,5.0,",,7:06",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
38,39,136,TJALLINGII Maarten,37,Team LottoNL-Jumbo,,5.0,",,7:06",Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
39,1000,202,GROENEWEGEN Dylan,21,Roompot - Oranje Peloton,,,-7:0-21:0-55-7:0-21:0-55,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
40,DNF,178,STEELS Stijn,25,Topsport Vlaanderen - Baloise,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
41,DNF,42,BOŽIČ Borut,34,Astana Pro Team,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
42,DNF,214,FINETTO Mauro,29,Southeast,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
43,DNF,23,BAK Lars Ytting,35,Lotto Soudal,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
44,DNF,185,PETIT Adrien,24,"Cofidis, Solutions Crédits",,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
45,DNF,105,HOWARD Leigh,25,Orica GreenEDGE,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
46,DNF,7,TIMMER Albert,29,Team Giant - Alpecin,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
47,DNF,242,ANTONINI Simone,24,Wanty - Groupe Gobert,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
48,DNF,145,ROWE Luke,25,Team Sky,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
49,DNF,195,FARRAR Tyler,30,MTN - Qhubeka,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
50,DNF,157,TRUSOV Nikolay,29,Tinkoff - Saxo,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
51,DNF,33,GAUDIN Damien,28,AG2R La Mondiale,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
52,DNF,178,VOSS Paul,29,Bora - Argon 18,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
53,DNF,118,ZEPUNTKE Ruben,22,Team Cannondale - Garmin,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
54,DNF,78,VAN GENECHTEN Jonas,28,IAM Cycling,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
55,DNF,101,BLYTHE Adam,25,Orica GreenEDGE,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
56,DNF,133,LEEZER Tom,29,Team LottoNL-Jumbo,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
57,DNF,227,PICHOT Alexandre,32,Team Europcar,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
58,DNF,164,POPOVYCH Yaroslav,35,Trek Factory Racing,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
59,DNF,48,TLEUBAYEV Ruslan,28,Astana Pro Team,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
60,DNF,152,BODNAR Maciej,30,Tinkoff - Saxo,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
61,DNF,24,BROECKX Stig,24,Lotto Soudal,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
62,DNF,223,GÈNE Yohann,33,Team Europcar,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
63,DNF,113,HANSEN Lasse Norman,23,Team Cannondale - Garmin,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
64,DNF,67,LE BON Johan,24,FDJ,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
65,DNF,93,IZAGIRRE Gorka,27,Movistar Team,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
66,DNF,81,POZZATO Filippo,33,Lampre - Merida,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
67,DNF,64,CHAVANEL Sébastien,32,FDJ,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
68,DNF,87,OLIVEIRA Nelson,26,Lampre - Merida,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
69,DNF,205,KREDER Wesley,24,Roompot - Oranje Peloton,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
70,DNF,171,BENNETT Sam,24,Bora - Argon 18,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
71,DNF,36,JAUREGUI Quentin,20,AG2R La Mondiale,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
72,DNF,215,FONZI Giuseppe,23,Southeast,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
73,DNF,52,BURGHARDT Marcus,31,BMC Racing Team,,,-,Gent___Wevelgem_ME,0,29 March 2015,37.8 km/h,0,240 km,17
