,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,SAGAN Peter,26,Tinkoff,500.0,225.0,5:55:12,Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
1,2,61,VANMARCKE Sep,27,Team LottoNL-Jumbo,400.0,150.0,",,0:00",Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
2,3,47,KUZNETSOV Viacheslav,26,Team Katusha,325.0,110.0,",,0:00",Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
3,4,51,CANCELLARA Fabian,35,Trek - Segafredo,275.0,90.0,",,0:00",Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
4,5,111,DÉMARE Arnaud,24,FDJ,225.0,80.0,0:110:11,Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
5,6,12,GAVIRIA Fernando,21,Etixx - Quick Step,175.0,70.0,",,0:11",Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
6,7,26,ROELANDTS Jürgen,30,Lotto Soudal,150.0,60.0,",,0:11",Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
7,8,44,GUARNIERI Jacopo,28,Team Katusha,125.0,50.0,",,0:11",Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
8,9,31,VAN AVERMAET Greg,30,BMC Racing Team,100.0,46.0,",,0:11",Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
9,10,46,MØRKØV Michael,30,Team Katusha,85.0,42.0,",,0:11",Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
10,11,54,NIZZOLO Giacomo,27,Trek - Segafredo,70.0,38.0,",,0:11",Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
11,12,166,MEZGEC Luka,27,Orica GreenEDGE,60.0,34.0,",,0:11",Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
12,13,188,VANSPEYBROUCK Pieter,29,Topsport Vlaanderen - Baloise,50.0,30.0,",,0:11",Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
13,14,128,SARAMOTINS Aleksejs,33,IAM Cycling,40.0,26.0,",,0:11",Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
14,15,28,BENOOT Tiesj,22,Lotto Soudal,35.0,22.0,",,0:11",Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
15,16,154,DE KORT Koen,33,Team Giant - Alpecin,30.0,20.0,",,0:11",Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
16,17,5,BRUTT Pavel,34,Tinkoff,30.0,18.0,",,0:11",Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
17,18,71,BOASSON HAGEN Edvald,28,Team Dimension Data,30.0,17.0,",,0:11",Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
18,19,93,GRIVKO Andrey,32,Astana Pro Team,30.0,16.0,",,0:11",Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
19,20,11,BOONEN Tom,35,Etixx - Quick Step,30.0,15.0,0:170:17,Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
20,21,16,TERPSTRA Niki,31,Etixx - Quick Step,20.0,14.0,0:190:19,Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
21,22,175,ROWE Luke,26,Team Sky,20.0,13.0,0:240:24,Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
22,23,18,VANDENBERGH Stijn,31,Etixx - Quick Step,20.0,12.0,0:280:28,Gent___Wevelgem_in_Flanders_Fields_ME,0,27 March 2016,40.88 km/h,0,242 km,21
