,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,77.0,+1:07:45,51,SAGAN Peter,30,BORA - hansgrohe,100.0,80.0,4:01:56,Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
1,2,13.0,+2:39,206,MCNULTY Brandon,22,UAE-Team Emirates,40.0,50.0,0:190:19,Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
2,3,1.0,+0:00,81,ALMEIDA João,22,Deceuninck - Quick Step,20.0,35.0,0:230:23,Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
3,4,28.0,+26:50,168,SWIFT Ben,32,INEOS Grenadiers,12.0,25.0,",,0:23",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
4,5,7.0,+1:19,185,HINDLEY Jai,24,Team Sunweb,4.0,18.0,",,0:23",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
5,6,8.0,+1:21,57,MAJKA Rafał,31,BORA - hansgrohe,,15.0,",,0:23",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
6,7,6.0,+1:15,56,KONRAD Patrick,29,BORA - hansgrohe,,12.0,",,0:23",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
7,8,2.0,+0:34,181,KELDERMAN Wilco,29,Team Sunweb,,10.0,",,0:23",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
8,9,4.0,+0:57,155,POZZOVIVO Domenico,37,NTT Pro Cycling,,8.0,",,0:23",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
9,10,3.0,+0:43,33,BILBAO Pello,30,Bahrain - McLaren,,6.0,",,0:23",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
10,11,14.0,+2:45,165,GEOGHEGAN HART Tao,25,INEOS Grenadiers,,5.0,",,0:23",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
11,12,5.0,+1:01,191,NIBALI Vincenzo,35,Trek - Segafredo,,4.0,",,0:23",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
12,13,10.0,+1:52,37,PERNSTEINER Hermann,30,Bahrain - McLaren,,3.0,",,0:23",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
13,14,9.0,+1:36,87,MASNADA Fausto,26,Deceuninck - Quick Step,,2.0,",,0:23",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
14,15,27.0,+25:22,96,KANGERT Tanel,33,EF Pro Cycling,,1.0,0:500:50,Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
15,16,12.0,+2:27,61,ZAKARIN Ilnur,31,CCC Team,,,",,0:50",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
16,17,15.0,+2:58,143,PEDRERO Antonio,28,Movistar Team,,,",,0:50",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
17,18,43.0,+42:44,166,NARVÁEZ Jhonatan,23,INEOS Grenadiers,,,",,0:50",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
18,19,82.0,+1:15:07,182,DENZ Nico,26,Team Sunweb,,,1:381:38,Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
19,20,37.0,+35:46,201,ULISSI Diego,31,UAE-Team Emirates,,,",,1:38",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
20,21,11.0,+2:20,21,FUGLSANG Jakob,35,Astana Pro Team,,,",,1:38",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
21,22,34.0,+31:19,84,HONORÉ Mikkel Frølich,23,Deceuninck - Quick Step,,,",,1:38",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
22,23,31.0,+28:50,196,MOSCA Jacopo,27,Trek - Segafredo,,,",,1:38",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
23,24,47.0,+46:26,195,CONCI Nicola,23,Trek - Segafredo,,,",,1:38",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
24,25,21.0,+10:49,187,OOMEN Sam,25,Team Sunweb,,,",,1:38",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
25,26,24.0,+19:46,54,FABBRO Matteo,25,BORA - hansgrohe,,,",,1:38",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
26,27,17.0,+5:25,145,SAMITIER Sergio,25,Movistar Team,,,",,1:38",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
27,28,18.0,+5:32,86,KNOX James,24,Deceuninck - Quick Step,,,",,1:38",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
28,29,39.0,+39:59,184,HAMILTON Chris,25,Team Sunweb,,,",,1:38",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
29,30,20.0,+6:21,6,PARET-PEINTRE Aurélien,24,AG2R La Mondiale,,,",,1:38",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
30,31,19.0,+6:13,162,CASTROVIEJO Jonathan,33,INEOS Grenadiers,,,",,1:38",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
31,32,22.0,+11:26,68,VALTER Attila,22,CCC Team,,,2:112:11,Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
32,33,26.0,+25:06,148,VILLELLA Davide,29,Movistar Team,,,",,2:11",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
33,34,41.0,+40:56,25,GREGAARD Jonas,24,Astana Pro Team,,,2:172:17,Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
34,35,92.0,+1:22:39,17,RESTREPO Jhonatan,25,Androni Giocattoli - Sidermec,,,3:593:59,Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
35,36,16.0,+4:42,128,VANHOUCKE Harm,23,Lotto Soudal,,,",,3:59",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
36,37,50.0,+48:22,151,MEINTJES Louis,28,NTT Pro Cycling,,,",,3:59",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
37,38,36.0,+35:44,88,SERRY Pieter,31,Deceuninck - Quick Step,,,",,3:59",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
38,39,45.0,+43:53,164,GANNA Filippo,24,INEOS Grenadiers,,,",,3:59",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
39,40,29.0,+28:23,197,NIBALI Antonio,28,Trek - Segafredo,,,",,3:59",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
40,41,25.0,+23:35,24,FELLINE Fabio,30,Astana Pro Team,,,6:016:01,Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
41,42,23.0,+15:28,8,WARBASSE Larry,30,AG2R La Mondiale,,,8:498:49,Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
42,43,67.0,+1:00:54,7,VENDRAME Andrea,26,AG2R La Mondiale,,,",,8:49",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
43,44,65.0,+1:00:24,154,O'CONNOR Ben,24,NTT Pro Cycling,,,",,8:49",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
44,45,68.0,+1:02:28,142,CATALDO Dario,35,Movistar Team,,,",,8:49",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
45,46,40.0,+40:19,63,DE LA PARTE Víctor,34,CCC Team,,,",,8:49",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
46,47,102.0,+1:31:45,35,NOVAK Domen,25,Bahrain - McLaren,,,12:2712:27,Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
47,48,81.0,+1:15:00,93,CLARKE Simon,34,EF Pro Cycling,,,",,12:27",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
48,49,84.0,+1:16:04,163,DENNIS Rohan,30,INEOS Grenadiers,,,12:3512:35,Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
49,50,52.0,+49:36,41,CARBONI Giovanni,25,Bardiani-CSF-Faizanè,,,12:5512:55,Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
50,51,55.0,+52:19,122,DE GENDT Thomas,33,Lotto Soudal,,,",,12:55",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
51,52,107.0,+1:39:50,11,BAIS Mattia,23,Androni Giocattoli - Sidermec,,,",,12:55",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
52,53,46.0,+45:44,121,ARMÉE Sander,34,Lotto Soudal,,,",,12:55",Giro_d_Italia,10,13 October 2020,43.9 km/h,113,177 km,11
