,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,168.0,+1:25:21,153,FERRARI Roberto,29,Androni Giocattoli - Venezuela,16.0,80.0,6:49:05,Giro_d_Italia,11,16 May 2012,37.401 km/h,0,255 km,12
1,2,155.0,+1:14:33,53,CHICCHI Francesco,31,Omega Pharma - Quick-Step,8.0,50.0,",,0:00",Giro_d_Italia,11,16 May 2012,37.401 km/h,0,255 km,12
2,3,108.0,+47:53,28,VAITKUS Tomas,30,Orica GreenEDGE,4.0,35.0,",,0:00",Giro_d_Italia,11,16 May 2012,37.401 km/h,0,255 km,12
3,4,161.0,+1:17:25,107,CAVENDISH Mark,26,Sky Procycling,2.0,25.0,",,0:00",Giro_d_Italia,11,16 May 2012,37.401 km/h,0,255 km,12
4,5,119.0,+53:56,117,BELLETTI Manuel,26,AG2R La Mondiale,1.0,18.0,",,0:00",Giro_d_Italia,11,16 May 2012,37.401 km/h,0,255 km,12
5,6,139.0,+1:07:54,205,NIZZOLO Giacomo,23,RadioShack - Nissan,,15.0,",,0:00",Giro_d_Italia,11,16 May 2012,37.401 km/h,0,255 km,12
6,7,125.0,+57:37,19,SCHORN Daniel,23,Team Netapp,,12.0,",,0:00",Giro_d_Italia,11,16 May 2012,37.401 km/h,0,255 km,12
7,8,148.0,+1:10:40,191,DÉMARE Arnaud,20,FDJ - BigMat,,10.0,",,0:00",Giro_d_Italia,11,16 May 2012,37.401 km/h,0,255 km,12
8,9,64.0,+21:02,143,WYSS Danilo,26,BMC Racing Team,,8.0,",,0:00",Giro_d_Italia,11,16 May 2012,37.401 km/h,0,255 km,12
9,10,62.0,+19:50,198,SOUPE Geoffrey,24,FDJ - BigMat,,6.0,",,0:00",Giro_d_Italia,11,16 May 2012,37.401 km/h,0,255 km,12
10,11,75.0,+27:47,125,SABATINI Fabio,27,Liquigas - Cannondale,,5.0,",,0:00",Giro_d_Italia,11,16 May 2012,37.401 km/h,0,255 km,12
11,12,113.0,+51:19,51,MAES Nikolas,26,Omega Pharma - Quick-Step,,4.0,",,0:00",Giro_d_Italia,11,16 May 2012,37.401 km/h,0,255 km,12
12,13,120.0,+54:17,109,THOMAS Geraint,25,Sky Procycling,,3.0,",,0:00",Giro_d_Italia,11,16 May 2012,37.401 km/h,0,255 km,12
13,14,70.0,+23:19,158,FELLINE Fabio,22,Androni Giocattoli - Venezuela,,2.0,",,0:00",Giro_d_Italia,11,16 May 2012,37.401 km/h,0,255 km,12
