,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,141,URÁN Rigoberto,27,Omega Pharma - Quick-Step,16.0,80.0,0:57:34,43.983999999999995,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
1,2,14.0,+6:24,109,ULISSI Diego,24,Lampre - Merida,8.0,50.0,1:171:17,43.025,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
2,3,2.0,+0:37,51,EVANS Cadel,37,BMC Racing Team,4.0,35.0,1:341:34,42.818000000000005,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
3,4,3.0,+1:52,203,MAJKA Rafał,24,Tinkoff - Saxo,2.0,25.0,1:391:39,42.758,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
4,5,13.0,+5:57,142,BRAMBILLA Gianluca,26,Omega Pharma - Quick-Step,1.0,18.0,1:531:53,42.59,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
5,6,8.0,+4:06,147,POELS Wout,26,Omega Pharma - Quick-Step,,15.0,2:002:00,42.507,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
6,7,5.0,+2:50,41,KELDERMAN Wilco,23,Belkin-Pro Cycling Team,,12.0,2:032:03,42.471000000000004,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
7,8,93.0,+1:18:19,143,DE GENDT Thomas,27,Omega Pharma - Quick-Step,,10.0,2:072:07,42.424,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
8,9,4.0,+2:32,11,POZZOVIVO Domenico,31,AG2R La Mondiale,,8.0,2:092:09,42.4,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
9,10,117.0,+1:31:47,17,GRETSCH Patrick,27,AG2R La Mondiale,,6.0,2:122:12,42.365,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
10,11,46.0,+39:59,191,CATALDO Dario,29,Team Sky,,5.0,2:232:23,42.235,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
11,12,24.0,+10:21,126,HERRADA José,28,Movistar Team,,4.0,2:252:25,42.211999999999996,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
12,13,6.0,+3:29,121,QUINTANA Nairo,24,Movistar Team,,3.0,2:412:41,42.025,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
13,14,28.0,+14:29,209,ROGERS Michael,34,Tinkoff - Saxo,,2.0,",,2:41",42.025,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
14,15,18.0,+7:31,198,SIUTSOU Kanstantsin,31,Team Sky,,1.0,2:462:46,41.967,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
15,16,7.0,+3:37,3,ARU Fabio,23,Astana Pro Team,,,2:552:55,41.863,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
16,17,20.0,+8:42,100,CUNEGO Damiano,32,Lampre - Merida,,,3:043:04,41.75899999999999,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
17,18,15.0,+6:48,131,RABOTTINI Matteo,26,Neri Sottoli,,,3:093:09,41.702,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
18,19,108.0,+1:23:39,31,PIRAZZI Stefano,27,Bardiani - CSF Pro Team,,,3:203:20,41.576,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
19,20,16.0,+6:55,91,HESJEDAL Ryder,33,Garmin Sharp,,,3:223:22,41.553999999999995,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
20,21,21.0,+9:08,85,GENIEZ Alexandre,26,FDJ.fr,,,3:293:29,41.474,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
21,22,27.0,+14:17,176,PREIDLER Georg,23,Team Giant - Shimano,,,3:313:31,41.452,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
22,23,74.0,+1:04:27,192,BOASSON HAGEN Edvald,27,Team Sky,,,3:403:40,41.35,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
23,24,129.0,+1:35:31,215,HONDO Danilo,40,Trek Factory Racing,,,3:413:41,41.339,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
24,25,30.0,+20:33,145,PAUWELS Serge,30,Omega Pharma - Quick-Step,,,3:423:42,41.328,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
25,26,87.0,+1:12:54,103,CATTANEO Mattia,23,Lampre - Merida,,,3:433:43,41.316,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
26,27,9.0,+4:20,55,MORABITO Steve,31,BMC Racing Team,,,3:463:46,41.283,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
27,28,12.0,+5:45,161,ROLLAND Pierre,27,Team Europcar,,,",,3:46",41.283,Giro_d_Italia,12,22 May 2014,43.98 km/h,0,42.2 km,14
