,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,60.0,+1:22:33,164,GANNA Filippo,24,INEOS Grenadiers,100.0,80.0,0:42:40,47.953,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
1,2,84.0,+1:46:32,163,DENNIS Rohan,30,INEOS Grenadiers,40.0,50.0,0:260:26,47.471000000000004,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
2,3,4.0,+2:23,206,MCNULTY Brandon,22,UAE-Team Emirates,20.0,35.0,1:091:09,46.695,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
3,4,51.0,+1:16:16,122,DE GENDT Thomas,33,Lotto Soudal,12.0,25.0,1:111:11,46.659,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
4,5,86.0,+1:50:34,62,ČERNÝ Josef,27,CCC Team,4.0,18.0,1:161:16,46.571000000000005,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
5,6,1.0,+0:00,81,ALMEIDA João,22,Deceuninck - Quick Step,,15.0,1:311:31,46.306999999999995,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
6,7,29.0,+43:08,96,KANGERT Tanel,33,EF Pro Cycling,,12.0,1:331:33,46.272,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
7,8,18.0,+19:54,162,CASTROVIEJO Jonathan,33,INEOS Grenadiers,,10.0,1:441:44,46.081,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
8,9,2.0,+0:56,181,KELDERMAN Wilco,29,Team Sunweb,,8.0,1:471:47,46.028999999999996,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
9,10,75.0,+1:37:54,38,TRATNIK Jan,30,Bahrain - McLaren,,6.0,2:002:00,45.806000000000004,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
10,11,71.0,+1:33:44,156,SOBRERO Matteo,23,NTT Pro Cycling,,5.0,2:062:06,45.70399999999999,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
11,12,106.0,+2:14:13,152,CAMPENAERTS Victor,28,NTT Pro Cycling,,4.0,",,2:06",45.70399999999999,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
12,13,11.0,+3:44,165,GEOGHEGAN HART Tao,25,INEOS Grenadiers,,3.0,2:242:24,45.398999999999994,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
13,14,66.0,+1:32:31,202,BJERG Mikkel,21,UAE-Team Emirates,,2.0,2:322:32,45.265,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
14,15,109.0,+2:20:36,64,GRADEK Kamil,30,CCC Team,,1.0,2:342:34,45.232,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
15,16,6.0,+2:33,57,MAJKA Rafał,31,BORA - hansgrohe,,,2:372:37,45.181999999999995,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
16,17,44.0,+1:08:04,67,ROSSKOPF Joey,31,CCC Team,,,2:392:39,45.148999999999994,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
17,18,17.0,+17:10,61,ZAKARIN Ilnur,31,CCC Team,,,2:402:40,45.132,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
18,19,130.0,+2:45:18,112,BRÄNDLE Matthias,30,Israel Start-Up Nation,,,2:432:43,45.083,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
19,20,126.0,+2:41:49,115,DOWSETT Alex,32,Israel Start-Up Nation,,,2:492:49,44.983999999999995,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
20,21,35.0,+49:42,201,ULISSI Diego,31,UAE-Team Emirates,,,2:502:50,44.967,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
21,22,3.0,+2:11,33,BILBAO Pello,30,Bahrain - McLaren,,,2:532:53,44.918,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
22,23,5.0,+2:30,191,NIBALI Vincenzo,35,Trek - Segafredo,,,2:542:54,44.901,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
23,24,21.0,+26:51,68,VALTER Attila,22,CCC Team,,,2:592:59,44.818999999999996,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
24,25,23.0,+34:24,8,WARBASSE Larry,30,AG2R La Mondiale,,,3:003:00,44.803000000000004,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
25,26,8.0,+3:11,87,MASNADA Fausto,26,Deceuninck - Quick Step,,,",,3:00",44.803000000000004,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
26,27,7.0,+2:33,155,POZZOVIVO Domenico,37,NTT Pro Cycling,,,3:013:01,44.787,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
27,28,19.0,+21:24,6,PARET-PEINTRE Aurélien,24,AG2R La Mondiale,,,3:063:06,44.705,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
28,29,12.0,+4:08,21,FUGLSANG Jakob,35,Astana Pro Team,,,3:133:13,44.591,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
29,30,77.0,+1:38:11,142,CATALDO Dario,35,Movistar Team,,,3:253:25,44.398,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
30,31,14.0,+7:56,86,KNOX James,24,Deceuninck - Quick Step,,,",,3:25",44.398,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
31,32,111.0,+2:22:50,106,SCOTSON Miles,26,Groupama - FDJ,,,3:273:27,44.36600000000001,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
32,33,9.0,+3:17,56,KONRAD Patrick,29,BORA - hansgrohe,,,3:313:31,44.302,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
33,34,10.0,+3:33,185,HINDLEY Jai,24,Team Sunweb,,,3:393:39,44.174,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
34,35,62.0,+1:26:01,7,VENDRAME Andrea,26,AG2R La Mondiale,,,3:453:45,44.07899999999999,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
35,36,15.0,+8:13,37,PERNSTEINER Hermann,30,Bahrain - McLaren,,,3:473:47,44.047,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
36,37,65.0,+1:30:33,78,ROSSETTO Stéphane,33,"Cofidis, Solutions Crédits",,,",,3:47",44.047,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
37,38,103.0,+2:10:18,53,BODNAR Maciej,35,BORA - hansgrohe,,,3:563:56,43.906000000000006,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
38,39,28.0,+42:31,168,SWIFT Ben,32,INEOS Grenadiers,,,4:024:02,43.812,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
39,40,27.0,+38:00,24,FELLINE Fabio,30,Astana Pro Team,,,4:104:10,43.687,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
40,41,20.0,+26:34,187,OOMEN Sam,25,Team Sunweb,,,4:294:29,43.393,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
41,42,78.0,+1:39:30,82,BALLERINI Davide,26,Deceuninck - Quick Step,,,4:324:32,43.347,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
42,43,54.0,+1:17:46,32,BATTAGLIN Enrico,30,Bahrain - McLaren,,,4:334:33,43.332,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
43,44,25.0,+37:19,95,GUERREIRO Ruben,26,EF Pro Cycling,,,4:344:34,43.317,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
44,45,37.0,+56:53,63,DE LA PARTE Víctor,34,CCC Team,,,4:374:37,43.271,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
45,46,79.0,+1:41:31,16,RAVANELLI Simone,25,Androni Giocattoli - Sidermec,,,4:384:38,43.256,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
46,47,70.0,+1:33:22,51,SAGAN Peter,30,BORA - hansgrohe,,,4:394:39,43.24100000000001,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
47,48,76.0,+1:38:10,3,BOUCHARD Geoffrey,28,AG2R La Mondiale,,,4:404:40,43.225,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
48,49,80.0,+1:44:11,66,MAŁECKI Kamil,24,CCC Team,,,4:414:41,43.21,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
49,50,116.0,+2:27:02,101,DÉMARE Arnaud,29,Groupama - FDJ,,,4:474:47,43.119,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
50,51,89.0,+1:53:33,158,WYSS Danilo,35,NTT Pro Cycling,,,4:484:48,43.104,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
51,52,74.0,+1:37:54,102,FRANKINY Kilian,26,Groupama - FDJ,,,",,4:48",43.104,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
52,53,137.0,+2:54:48,85,KEISSE Iljo,37,Deceuninck - Quick Step,,,",,4:48",43.104,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
53,54,22.0,+27:16,54,FABBRO Matteo,25,BORA - hansgrohe,,,4:564:56,42.983000000000004,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
54,55,121.0,+2:36:30,74,HAAS Nathan,31,"Cofidis, Solutions Crédits",,,",,4:56",42.983000000000004,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
55,56,30.0,+45:41,188,TUSVELD Martijn,27,Team Sunweb,,,4:594:59,42.938,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
56,57,122.0,+2:37:07,98,WHELAN James,24,EF Pro Cycling,,,5:015:01,42.908,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
57,58,24.0,+35:34,84,HONORÉ Mikkel Frølich,23,Deceuninck - Quick Step,,,",,5:01",42.908,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
58,59,33.0,+46:59,166,NARVÁEZ Jhonatan,23,INEOS Grenadiers,,,5:035:03,42.878,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
59,60,42.0,+1:06:40,154,O'CONNOR Ben,24,NTT Pro Cycling,,,5:065:06,42.833,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
60,61,64.0,+1:30:24,211,VISCONTI Giovanni,37,Vini Zabù - KTM,,,5:085:08,42.803000000000004,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
61,62,61.0,+1:23:13,121,ARMÉE Sander,34,Lotto Soudal,,,5:115:11,42.75899999999999,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
62,63,141.0,+3:13:29,123,DIBBEN Jonathan,26,Lotto Soudal,,,5:125:12,42.744,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
63,64,13.0,+6:57,143,PEDRERO Antonio,28,Movistar Team,,,5:245:24,42.566,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
64,65,97.0,+2:04:08,73,EDET Nicolas,32,"Cofidis, Solutions Crédits",,,5:255:25,42.551,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
65,66,91.0,+1:54:46,34,CAPECCHI Eros,34,Bahrain - McLaren,,,",,5:25",42.551,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
66,67,36.0,+49:52,88,SERRY Pieter,31,Deceuninck - Quick Step,,,",,5:25",42.551,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
67,68,59.0,+1:22:22,124,HAGEN Carl Fredrik,29,Lotto Soudal,,,5:265:26,42.536,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
68,69,134.0,+2:48:35,212,BEVILACQUA Simone,23,Vini Zabù - KTM,,,5:275:27,42.522,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
69,70,72.0,+1:35:39,47,TONELLI Alessandro,28,Bardiani-CSF-Faizanè,,,5:365:36,42.39,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
70,71,69.0,+1:33:05,93,CLARKE Simon,34,EF Pro Cycling,,,5:385:38,42.36,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
71,72,93.0,+1:57:36,31,ARASHIRO Yukiya,36,Bahrain - McLaren,,,5:395:39,42.346000000000004,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
72,73,67.0,+1:32:43,183,HAGA Chad,32,Team Sunweb,,,5:425:42,42.302,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
73,74,31.0,+46:04,184,HAMILTON Chris,25,Team Sunweb,,,5:495:49,42.2,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
74,75,140.0,+3:01:22,77,MATHIS Marco,26,"Cofidis, Solutions Crédits",,,5:505:50,42.18600000000001,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
75,76,94.0,+2:00:54,127,OLDANI Stefano,22,Lotto Soudal,,,5:555:55,42.113,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
76,77,73.0,+1:35:44,22,BOARO Manuele,33,Astana Pro Team,,,5:575:57,42.083999999999996,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
77,78,113.0,+2:24:06,71,VIVIANI Elia,31,"Cofidis, Solutions Crédits",,,",,5:57",42.083999999999996,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
78,79,102.0,+2:09:35,126,HOLMES Matthew,26,Lotto Soudal,,,",,5:57",42.083999999999996,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
79,80,107.0,+2:17:13,72,CONSONNI Simone,26,"Cofidis, Solutions Crédits",,,6:016:01,42.027,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
80,81,63.0,+1:30:22,92,CAICEDO Jonathan Klever,27,EF Pro Cycling,,,6:026:02,42.012,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
81,82,34.0,+48:07,148,VILLELLA Davide,29,Movistar Team,,,6:056:05,41.968999999999994,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
82,83,110.0,+2:22:41,76,LE TURNIER Mathias,25,"Cofidis, Solutions Crédits",,,6:066:06,41.955,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
83,84,40.0,+1:00:49,193,BRAMBILLA Gianluca,33,Trek - Segafredo,,,6:076:07,41.941,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
84,85,115.0,+2:26:12,125,HANSEN Adam,39,Lotto Soudal,,,6:086:08,41.926,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
85,86,85.0,+1:49:10,218,ZARDINI Edoardo,30,Vini Zabù - KTM,,,6:096:09,41.912,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
86,87,46.0,+1:12:15,167,PUCCIO Salvatore,31,INEOS Grenadiers,,,",,6:09",41.912,Giro_d_Italia,14,17 October 2020,47.95 km/h,51,34.1 km,11
