,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,207,MILLAR David,34,Team Garmin - Cervélo,,10:04:29,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
1,2,2,-,29,VICIOSO Ángel,34,Androni Giocattoli - Serramenti PVC Diquigiovanni,,0:070:07,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
2,3,3,-,79,SIUTSOU Kanstantsin,28,HTC - High Road,,0:090:09,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
3,4,4,-,72,PINOTTI Marco,35,HTC - High Road,,",,0:09",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
4,5,5,-,74,LEWIS Craig,26,HTC - High Road,,",,0:09",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
5,6,6,-,205,LE MÉVEL Christophe,30,Team Garmin - Cervélo,,0:120:12,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
6,7,7,-,92,PETACCHI Alessandro,37,Lampre - ISD,,0:130:13,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
7,8,8,-,125,LASTRAS Pablo,35,Movistar Team,,0:180:18,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
8,9,9,-,212,POPOVYCH Yaroslav,31,RadioShack,,0:190:19,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
9,10,10,-,211,MACHADO Tiago,25,RadioShack,,",,0:19",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
10,11,11,-,216,DEIGNAN Philip,27,RadioShack,,",,0:19",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
11,12,12,-,176,TANKINK Bram,32,Rabobank Cycling Team,,0:260:26,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
12,13,13,-,131,BAKELANTS Jan,25,Omega Pharma-Lotto,,0:290:29,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
13,14,14,-,111,NIBALI Vincenzo,26,Liquigas - Cannondale,,0:310:31,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
14,15,15,-,116,SABATINI Fabio,26,Liquigas - Cannondale,,",,0:31",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
15,16,16,-,112,AGNOLI Valerio,26,Liquigas - Cannondale,,",,0:31",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
16,17,17,-,113,CAPECCHI Eros,24,Liquigas - Cannondale,,",,0:31",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
17,18,18,-,138,VEIKKANEN Jussi,30,Omega Pharma-Lotto,,",,0:31",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
18,19,19,-,91,SCARPONI Michele,31,Lampre - ISD,,0:330:33,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
19,20,20,-,204,FISCHER Murilo Antonio,31,Team Garmin - Cervélo,,",,0:33",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
