,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,3,CARAPAZ Richard,26,Movistar Team,850.0,400,90:01:47,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
1,2,2,-,41,NIBALI Vincenzo,34,Bahrain Merida,680.0,290,1:051:05,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
2,3,4,▲1,171,ROGLIČ Primož,29,Team Jumbo-Visma,575.0,240,2:302:30,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
3,4,3,▼1,1,LANDA Mikel,29,Movistar Team,460.0,220,2:382:38,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
4,5,5,-,201,MOLLEMA Bauke,32,Trek - Segafredo,380.0,200,5:435:43,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
5,6,7,▲1,61,MAJKA Rafał,29,BORA - hansgrohe,320.0,190,6:566:56,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
6,7,6,▼1,31,LÓPEZ Miguel Ángel,25,Astana Pro Team,260.0,180,7:267:26,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
7,8,8,-,131,YATES Simon,26,Mitchelton-Scott,220.0,170,7:497:49,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
8,9,9,-,161,SIVAKOV Pavel,21,Team INEOS,180.0,160,8:568:56,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
9,10,10,-,181,ZAKARIN Ilnur,29,Team Katusha Alpecin,140.0,150,12:1412:14,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
10,11,11,-,96,CARTHY Hugh,24,EF Education First,120.0,140,16:3616:36,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
11,12,12,-,97,DOMBROWSKI Joe,28,EF Education First,100.0,130,20:1220:12,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
12,13,13,-,106,MADOUAS Valentin,22,Groupama - FDJ,84.0,120,21:5921:59,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
13,14,15,▲1,217,POLANC Jan,27,UAE-Team Emirates,68.0,110,22:3822:38,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
14,15,14,▼1,64,FORMOLO Davide,26,BORA - hansgrohe,60.0,100,",,22:38",..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
15,16,16,-,203,CICCONE Giulio,24,Trek - Segafredo,56.0,90,27:1927:19,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
16,17,17,-,138,NIEVE Mikel,35,Mitchelton-Scott,52.0,85,27:4627:46,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
17,18,18,-,98,KANGERT Tanel,32,EF Education First,48.0,80,30:1130:11,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
18,19,19,-,48,POZZOVIVO Domenico,36,Bahrain Merida,44.0,75,33:4033:40,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
19,20,20,-,26,MASNADA Fausto,25,Androni Giocattoli - Sidermec,40.0,70,34:5234:52,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
20,21,22,▲1,73,DE LA PARTE Víctor,32,CCC Team,32.0,65,39:5139:51,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
21,22,21,▼1,162,DUNBAR Eddie,22,Team INEOS,32.0,60,42:2642:26,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
22,23,23,-,44,CARUSO Damiano,31,Bahrain Merida,32.0,55,49:0649:06,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
23,24,24,-,164,HENAO Sebastián,25,Team INEOS,32.0,50,58:4558:45,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
24,25,26,▲1,136,HAMILTON Lucas,23,Mitchelton-Scott,32.0,45,1:04:311:04:31,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
25,26,27,▲1,38,ZEITS Andrey,32,Astana Pro Team,24.0,40,1:05:281:05:28,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
26,27,25,▼2,35,HIRT Jan,28,Astana Pro Team,24.0,35,1:05:381:05:38,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
27,28,28,-,23,CATTANEO Mattia,28,Androni Giocattoli - Sidermec,24.0,30,1:09:111:09:11,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
28,29,29,-,18,VUILLERMOZ Alexis,31,AG2R La Mondiale,24.0,25,1:12:041:12:04,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
29,30,30,-,12,BIDARD François,27,AG2R La Mondiale,24.0,20,1:16:551:16:55,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
30,31,32,▲1,32,BILBAO Pello,29,Astana Pro Team,20.0,20,1:17:411:17:41,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
31,32,31,▼1,151,O'CONNOR Ben,23,Team Dimension Data,20.0,20,1:17:491:17:49,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
32,33,33,-,84,JUNGELS Bob,26,Deceuninck - Quick Step,20.0,20,1:22:571:22:57,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
33,34,34,-,194,HAMILTON Chris,24,Team Sunweb,20.0,20,1:24:021:24:02,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
