,Rnk,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,72,PINOTTI Marco,35,HTC - High Road,,0:20:59,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
1,2,75,BAK Lars Ytting,31,HTC - High Road,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
2,3,79,SIUTSOU Kanstantsin,28,HTC - High Road,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
3,4,71,CAVENDISH Mark,25,HTC - High Road,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
4,5,74,LEWIS Craig,26,HTC - High Road,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
5,6,213,MCEWEN Robbie,38,RadioShack,,0:100:10,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
6,7,211,MACHADO Tiago,25,RadioShack,,",,0:10",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
7,8,214,BEPPU Fumiyuki,28,RadioShack,,",,0:10",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
8,9,219,SELANDER Bjorn,23,RadioShack,,",,0:10",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
9,10,217,HUNTER Robert,34,RadioShack,,",,0:10",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
10,11,216,DEIGNAN Philip,27,RadioShack,,",,0:10",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
11,12,212,POPOVYCH Yaroslav,31,RadioShack,,",,0:10",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
12,13,111,NIBALI Vincenzo,26,Liquigas - Cannondale,,0:220:22,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
13,14,112,AGNOLI Valerio,26,Liquigas - Cannondale,,",,0:22",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
14,15,116,SABATINI Fabio,26,Liquigas - Cannondale,,",,0:22",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
15,16,118,SZMYD Sylwester,33,Liquigas - Cannondale,,",,0:22",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
16,17,115,DALL'ANTONIA Tiziano,27,Liquigas - Cannondale,,",,0:22",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
17,18,113,CAPECCHI Eros,24,Liquigas - Cannondale,,",,0:22",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
18,19,119,VANOTTI Alessandro,30,Liquigas - Cannondale,,",,0:22",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
19,20,138,VEIKKANEN Jussi,30,Omega Pharma-Lotto,,",,0:22",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
20,21,139,LODEWYCK Klaas,23,Omega Pharma-Lotto,,",,0:22",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
21,22,137,LANG Sebastian,31,Omega Pharma-Lotto,,",,0:22",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
22,23,133,DE GREEF Francis,26,Omega Pharma-Lotto,,",,0:22",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
23,24,131,BAKELANTS Jan,25,Omega Pharma-Lotto,,",,0:22",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
24,25,135,DOCKX Gert,22,Omega Pharma-Lotto,,",,0:22",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
25,26,134,DE CLERCQ Bart,24,Omega Pharma-Lotto,,",,0:22",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
26,27,136,KAISEN Olivier,28,Omega Pharma-Lotto,,",,0:22",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
27,28,78,RENSHAW Mark,28,HTC - High Road,,0:240:24,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
28,29,201,FARRAR Tyler,26,Team Garmin - Cervélo,,0:000:00,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
29,30,205,LE MÉVEL Christophe,30,Team Garmin - Cervélo,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
30,31,204,FISCHER Murilo Antonio,31,Team Garmin - Cervélo,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
31,32,207,MILLAR David,34,Team Garmin - Cervélo,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
32,33,206,MEYER Cameron,23,Team Garmin - Cervélo,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
33,34,91,SCARPONI Michele,31,Lampre - ISD,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
34,35,92,PETACCHI Alessandro,37,Lampre - ISD,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
35,36,99,ŠPILAK Simon,24,Lampre - ISD,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
36,37,94,ULISSI Diego,21,Lampre - ISD,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
37,38,96,NIEMIEC Przemysław,31,Lampre - ISD,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
38,39,95,HONDO Danilo,37,Lampre - ISD,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
39,40,175,SLAGTER Tom-Jelte,21,Rabobank Cycling Team,,0:260:26,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
40,41,174,CLEMENT Stef,28,Rabobank Cycling Team,,",,0:26",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
41,42,178,VAN WINDEN Dennis,23,Rabobank Cycling Team,,",,0:26",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
42,43,179,WEENING Pieter,30,Rabobank Cycling Team,,",,0:26",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
43,44,172,FLENS Rick,28,Rabobank Cycling Team,,",,0:26",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
44,45,176,TANKINK Bram,32,Rabobank Cycling Team,,",,0:26",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
45,46,177,VAN EMDEN Jos,26,Rabobank Cycling Team,,",,0:26",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
46,47,173,KRUIJSWIJK Steven,23,Rabobank Cycling Team,,",,0:26",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
47,48,171,BROWN Graeme Allen,32,Rabobank Cycling Team,,",,0:26",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
48,49,188,TOSATTO Matteo,36,Saxo Bank - Sungard,,0:300:30,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
49,50,186,PORTE Richie,26,Saxo Bank - Sungard,,",,0:30",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
50,51,181,CONTADOR Alberto,28,Saxo Bank - Sungard,,",,0:30",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
51,52,183,GUSTOV Volodymyr,34,Saxo Bank - Sungard,,",,0:30",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
52,53,189,MØRKØV Michael,26,Saxo Bank - Sungard,,",,0:30",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
53,54,182,DIDIER Laurent,26,Saxo Bank - Sungard,,",,0:30",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
54,55,187,NAVARRO Daniel,27,Saxo Bank - Sungard,,",,0:30",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
55,56,185,KLOSTERGAARD Kasper,27,Saxo Bank - Sungard,,0:320:32,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
56,57,184,HERNÁNDEZ BLÁZQUEZ Jesús,29,Saxo Bank - Sungard,,",,0:32",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
57,58,198,KENNAUGH Peter,21,Sky Procycling,,0:370:37,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
58,59,196,APPOLLONIO Davide,21,Sky Procycling,,",,0:37",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
59,60,194,CIONI Dario David,36,Sky Procycling,,",,0:37",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
60,61,197,NORDHAUG Lars Petter,26,Sky Procycling,,",,0:37",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
61,62,191,LÖFKVIST Thomas,27,Sky Procycling,,",,0:37",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
62,63,192,BARRY Michael,35,Sky Procycling,,",,0:37",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
63,64,222,BOŽIČ Borut,30,Vacansoleil - DCM,,",,0:37",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
64,65,226,LAGUTIN Sergey,30,Vacansoleil - DCM,,",,0:37",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
65,66,221,CARRARA Matteo,32,Vacansoleil - DCM,,",,0:37",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
66,67,224,GOŁAŚ Michał,27,Vacansoleil - DCM,,",,0:37",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
67,68,223,BELKOV Maxim,26,Vacansoleil - DCM,,",,0:37",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
68,69,123,KONOVALOVAS Ignatas,25,Movistar Team,,0:380:38,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
69,70,122,KIRYIENKA Vasil,29,Movistar Team,,",,0:38",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
70,71,127,PASAMONTES Luis,31,Movistar Team,,",,0:38",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
71,72,125,LASTRAS Pablo,35,Movistar Team,,",,0:38",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
72,73,121,ARROYO David,31,Movistar Team,,",,0:38",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
73,74,129,VENTOSO Francisco José,29,Movistar Team,,",,0:38",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
74,75,126,PARDILLA Sergio,27,Movistar Team,,",,0:38",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
