,Rnk,Prev,▼▲,BIB,Rider,Age,Team,Points,Today,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,92,PETACCHI Alessandro,37,Lampre - ISD,28,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
1,2,2,-,29,VICIOSO Ángel,34,Androni Giocattoli - Serramenti PVC Diquigiovanni,25,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
2,3,3,-,207,MILLAR David,34,Team Garmin - Cervélo,20,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
3,4,4,-,71,CAVENDISH Mark,25,HTC - High Road,20,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
4,5,5,-,125,LASTRAS Pablo,35,Movistar Team,16,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
5,6,6,-,42,BELLETTI Manuel,25,Colnago - CSF Inox,16,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
6,7,7,-,26,FERRARI Roberto,28,Androni Giocattoli - Serramenti PVC Diquigiovanni,14,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
7,8,8,-,85,MORENO Daniel,29,Team Katusha,14,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
8,9,9,-,205,LE MÉVEL Christophe,30,Team Garmin - Cervélo,12,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
9,10,10,-,222,BOŽIČ Borut,30,Vacansoleil - DCM,12,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
10,11,11,-,19,MONTAGUTI Matteo,27,AG2R La Mondiale,12,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
11,12,12,-,9,TABORRE Fabio,25,Acqua & Sapone,11,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
12,13,13,-,176,TANKINK Bram,32,Rabobank Cycling Team,10,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
13,14,14,-,196,APPOLLONIO Davide,21,Sky Procycling,10,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
14,15,15,-,188,TOSATTO Matteo,36,Saxo Bank - Sungard,9,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
15,16,16,-,167,PINEAU Jérôme,31,Quickstep Cycling Team,9,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
16,17,17,-,201,FARRAR Tyler,26,Team Garmin - Cervélo,9,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
17,18,18,-,137,LANG Sebastian,31,Omega Pharma-Lotto,8,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
18,19,19,-,43,MODOLO Sacha,23,Colnago - CSF Inox,8,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
19,20,20,-,213,MCEWEN Robbie,38,RadioShack,8,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
20,21,21,-,93,MARZANO Marco,30,Lampre - ISD,6,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
21,22,22,-,131,BAKELANTS Jan,25,Omega Pharma-Lotto,5,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
22,23,23,-,106,VIGANÒ Davide,26,Leopard Trek,5,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
23,24,24,-,35,KRISTOFF Alexander,23,BMC Racing Team,5,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
24,25,25,-,181,CONTADOR Alberto,28,Saxo Bank - Sungard,4,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
25,26,26,-,226,LAGUTIN Sergey,30,Vacansoleil - DCM,4,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
26,27,27,-,116,SABATINI Fabio,26,Liquigas - Cannondale,3,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
27,28,28,-,114,MARANGONI Alan,26,Liquigas - Cannondale,3,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
28,29,29,-,89,KUSCHYNSKI Aleksandr,31,Team Katusha,3,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
29,30,30,-,112,AGNOLI Valerio,26,Liquigas - Cannondale,2,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
30,31,31,-,129,VENTOSO Francisco José,29,Movistar Team,2,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
31,32,32,-,13,CHEREL Mikaël,25,AG2R La Mondiale,2,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
32,33,33,-,95,HONDO Danilo,37,Lampre - ISD,2,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
33,34,34,-,178,VAN WINDEN Dennis,23,Rabobank Cycling Team,1,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
34,35,35,-,1,GARZELLI Stefano,37,Acqua & Sapone,1,-,Giro_d_Italia,GC,10 May 2011,-,0,216 km,15
