,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,2,▲1,165,GEOGHEGAN HART Tao,25,INEOS Grenadiers,850.0,400,85:40:21,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
1,2,1,▼1,185,HINDLEY Jai,24,Team Sunweb,680.0,290,0:390:39,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
2,3,3,-,181,KELDERMAN Wilco,29,Team Sunweb,575.0,240,1:291:29,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
3,4,5,▲1,81,ALMEIDA João,22,Deceuninck - Quick Step,460.0,220,2:572:57,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
4,5,4,▼1,33,BILBAO Pello,30,Bahrain - McLaren,380.0,200,3:093:09,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
5,6,6,-,21,FUGLSANG Jakob,35,Astana Pro Team,320.0,190,7:027:02,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
6,7,7,-,191,NIBALI Vincenzo,35,Trek - Segafredo,260.0,180,8:158:15,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
7,8,8,-,56,KONRAD Patrick,29,BORA - hansgrohe,220.0,170,8:428:42,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
8,9,9,-,87,MASNADA Fausto,26,Deceuninck - Quick Step,180.0,160,9:579:57,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
9,10,10,-,37,PERNSTEINER Hermann,30,Bahrain - McLaren,140.0,150,11:0511:05,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
10,11,11,-,155,POZZOVIVO Domenico,37,NTT Pro Cycling,120.0,140,11:5211:52,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
11,12,12,-,57,MAJKA Rafał,31,BORA - hansgrohe,100.0,130,20:3120:31,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
12,13,13,-,145,SAMITIER Sergio,25,Movistar Team,84.0,120,35:2935:29,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
13,14,14,-,86,KNOX James,24,Deceuninck - Quick Step,68.0,110,37:4137:41,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
14,15,15,-,206,MCNULTY Brandon,22,UAE-Team Emirates,60.0,100,38:1038:10,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
15,16,16,-,6,PARET-PEINTRE Aurélien,24,AG2R La Mondiale,56.0,90,45:0445:04,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
16,17,17,-,8,WARBASSE Larry,30,AG2R La Mondiale,52.0,85,53:2553:25,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
17,18,18,-,168,SWIFT Ben,32,INEOS Grenadiers,48.0,80,57:3657:36,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
18,19,19,-,143,PEDRERO Antonio,29,Movistar Team,44.0,75,59:3659:36,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
19,20,20,-,154,O'CONNOR Ben,24,NTT Pro Cycling,40.0,70,1:02:571:02:57,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
20,21,21,-,187,OOMEN Sam,25,Team Sunweb,32.0,65,1:03:461:03:46,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
21,22,22,-,61,ZAKARIN Ilnur,31,CCC Team,32.0,60,1:06:111:06:11,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
22,23,23,-,54,FABBRO Matteo,25,BORA - hansgrohe,32.0,55,1:13:491:13:49,..,Giro_d_Italia,GC,25 October 2020,-,0,0 km,11
