,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,▼1009,181,CONTADOR Alberto,28,Saxo Bank - Sungard,,,83:35:01 83:35:01,..,Giro_d_Italia,GC,29 May 2011,38.758 km/h,0,0 km,15
1,1,,▼1,91,SCARPONI Michele,31,Lampre - ISD,,400.0,84:11:24,..,Giro_d_Italia,GC,29 May 2011,38.758 km/h,0,0 km,15
2,2,,▼2,111,NIBALI Vincenzo,26,Liquigas - Cannondale,,290.0,0:460:46,..,Giro_d_Italia,GC,29 May 2011,38.758 km/h,0,0 km,15
3,3,,▼3,16,GADRET John,32,AG2R La Mondiale,,240.0,4:074:07,..,Giro_d_Italia,GC,29 May 2011,38.758 km/h,0,0 km,15
4,4,,▼4,81,RODRÍGUEZ Joaquim,32,Team Katusha,,220.0,4:554:55,..,Giro_d_Italia,GC,29 May 2011,38.758 km/h,0,0 km,15
5,5,,▼5,141,KREUZIGER Roman,25,Pro Team Astana,,200.0,5:185:18,..,Giro_d_Italia,GC,29 May 2011,38.758 km/h,0,0 km,15
6,6,,▼6,23,RUJANO José Humberto,29,Androni Giocattoli - Serramenti PVC Diquigiovanni,,190.0,6:026:02,..,Giro_d_Italia,GC,29 May 2011,38.758 km/h,0,0 km,15
7,7,,▼7,61,MENCHOV Denis,33,Geox-TMC Transformers,,180.0,6:086:08,..,Giro_d_Italia,GC,29 May 2011,38.758 km/h,0,0 km,15
8,8,,▼8,173,KRUIJSWIJK Steven,23,Rabobank Cycling Team,,170.0,7:417:41,..,Giro_d_Italia,GC,29 May 2011,38.758 km/h,0,0 km,15
9,9,,▼9,79,SIUTSOU Kanstantsin,28,HTC - High Road,,160.0,8:008:00,..,Giro_d_Italia,GC,29 May 2011,38.758 km/h,0,0 km,15
10,10,,▼10,59,NIEVE Mikel,27,Euskaltel - Euskadi,,150.0,9:589:58,..,Giro_d_Italia,GC,29 May 2011,38.758 km/h,0,0 km,15
11,11,,▼11,15,DUPONT Hubert,30,AG2R La Mondiale,,140.0,11:5611:56,..,Giro_d_Italia,GC,29 May 2011,38.758 km/h,0,0 km,15
