,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,51,VAN AVERMAET Greg,31,BMC Racing Team,500.0,225.0,5:27:04,Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
1,2,1,SAGAN Peter,26,Tinkoff,400.0,150.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
2,3,148,ULISSI Diego,27,Lampre - Merida,325.0,110.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
3,4,87,MATTHEWS Michael,25,ORICA-BikeExchange,275.0,90.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
4,5,174,HAAS Nathan,27,Team Dimension Data,225.0,80.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
5,6,44,MOSCON Gianni,22,Team Sky,175.0,70.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
6,7,12,BETTIOL Alberto,22,Cannondale-Drapac Pro Cycling Team,150.0,60.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
7,8,31,IZAGIRRE Ion,27,Movistar Team,125.0,50.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
8,9,108,ROUX Anthony,29,FDJ,100.0,46.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
9,10,71,ALAPHILIPPE Julian,24,Etixx - Quick Step,85.0,42.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
10,11,151,GESCHKE Simon,30,Team Giant - Alpecin,70.0,38.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
11,12,98,STUYVEN Jasper,24,Trek - Segafredo,60.0,34.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
12,13,23,BENOOT Tiesj,22,Lotto Soudal,50.0,30.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
13,14,163,ELMIGER Martin,37,IAM Cycling,40.0,26.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
14,15,167,NAESEN Oliver,25,IAM Cycling,35.0,22.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
15,16,198,VOSS Paul,30,Bora - Argon 18,30.0,20.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
16,17,17,SLAGTER Tom-Jelte,27,Cannondale-Drapac Pro Cycling Team,30.0,18.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
17,18,168,TANNER David,31,IAM Cycling,30.0,17.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
18,19,91,HESJEDAL Ryder,35,Trek - Segafredo,30.0,16.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
19,20,131,BARDET Romain,25,AG2R La Mondiale,30.0,15.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
20,21,114,KANGERT Tanel,29,Astana Pro Team,20.0,14.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
21,22,16,SKUJIŅŠ Toms,25,Cannondale-Drapac Pro Cycling Team,20.0,13.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
22,23,8,VALGREN Michael,24,Tinkoff,20.0,12.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
23,24,94,MOLLEMA Bauke,29,Trek - Segafredo,20.0,11.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
24,25,155,PREIDLER Georg,26,Team Giant - Alpecin,20.0,10.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
25,26,64,KUZNETSOV Viacheslav,27,Team Katusha,20.0,9.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
26,27,113,FUGLSANG Jakob,31,Astana Pro Team,20.0,8.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
27,28,143,MOHORIČ Matej,21,Lampre - Merida,20.0,7.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
28,29,11,URÁN Rigoberto,29,Cannondale-Drapac Pro Cycling Team,20.0,6.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
29,30,18,WOODS Michael,29,Cannondale-Drapac Pro Cycling Team,20.0,5.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
30,31,54,CARUSO Damiano,28,BMC Racing Team,10.0,5.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2016,37.74 km/h,0,205.7 km,16
