,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,MATTHEWS Michael,28,Team Sunweb,500.0,225.0,5:13:01,Grand_Prix_Cycliste_de_Qu_bec,0,13 September 2019,38.643 km/h,15,201.6 km,14
1,2,21,SAGAN Peter,29,BORA - hansgrohe,400.0,150.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,13 September 2019,38.643 km/h,15,201.6 km,14
2,3,31,VAN AVERMAET Greg,34,CCC Team,325.0,110.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,13 September 2019,38.643 km/h,15,201.6 km,14
3,4,71,ULISSI Diego,30,UAE-Team Emirates,275.0,90.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,13 September 2019,38.643 km/h,15,201.6 km,14
4,5,137,STUYVEN Jasper,27,Trek - Segafredo,225.0,80.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,13 September 2019,38.643 km/h,15,201.6 km,14
5,6,177,SLAGTER Tom-Jelte,30,Team Dimension Data,175.0,70.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,13 September 2019,38.643 km/h,15,201.6 km,14
6,7,11,ALAPHILIPPE Julian,27,Deceuninck - Quick Step,150.0,60.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,13 September 2019,38.643 km/h,15,201.6 km,14
7,8,126,ROOSEN Timo,26,Team Jumbo-Visma,125.0,50.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,13 September 2019,38.643 km/h,15,201.6 km,14
8,9,91,WELLENS Tim,28,Lotto Soudal,100.0,46.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,13 September 2019,38.643 km/h,15,201.6 km,14
9,10,42,COSNEFROY Benoît,23,AG2R La Mondiale,85.0,42.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,13 September 2019,38.643 km/h,15,201.6 km,14
