,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,SAGAN Peter,26,Tinkoff,500.0,225.0,5:07:13,Grand_Prix_Cycliste_de_Quebec,0,09 September 2016,39.37 km/h,0,201.6 km,15
1,2,51,VAN AVERMAET Greg,31,BMC Racing Team,400.0,150.0,",,0:00",Grand_Prix_Cycliste_de_Quebec,0,09 September 2016,39.37 km/h,0,201.6 km,15
2,3,108,ROUX Anthony,29,FDJ,325.0,110.0,",,0:00",Grand_Prix_Cycliste_de_Quebec,0,09 September 2016,39.37 km/h,0,201.6 km,15
3,4,12,BETTIOL Alberto,22,Cannondale-Drapac Pro Cycling Team,275.0,90.0,",,0:00",Grand_Prix_Cycliste_de_Quebec,0,09 September 2016,39.37 km/h,0,201.6 km,15
4,5,87,MATTHEWS Michael,25,ORICA-BikeExchange,225.0,80.0,",,0:00",Grand_Prix_Cycliste_de_Quebec,0,09 September 2016,39.37 km/h,0,201.6 km,15
5,6,174,HAAS Nathan,27,Team Dimension Data,175.0,70.0,",,0:00",Grand_Prix_Cycliste_de_Quebec,0,09 September 2016,39.37 km/h,0,201.6 km,15
6,7,148,ULISSI Diego,27,Lampre - Merida,150.0,60.0,",,0:00",Grand_Prix_Cycliste_de_Quebec,0,09 September 2016,39.37 km/h,0,201.6 km,15
7,8,94,MOLLEMA Bauke,29,Trek - Segafredo,125.0,50.0,",,0:00",Grand_Prix_Cycliste_de_Quebec,0,09 September 2016,39.37 km/h,0,201.6 km,15
8,9,76,VAKOČ Petr,24,Etixx - Quick Step,100.0,46.0,",,0:00",Grand_Prix_Cycliste_de_Quebec,0,09 September 2016,39.37 km/h,0,201.6 km,15
9,10,11,URÁN Rigoberto,29,Cannondale-Drapac Pro Cycling Team,85.0,42.0,",,0:00",Grand_Prix_Cycliste_de_Quebec,0,09 September 2016,39.37 km/h,0,201.6 km,15
10,11,64,KUZNETSOV Viacheslav,27,Team Katusha,70.0,38.0,",,0:00",Grand_Prix_Cycliste_de_Quebec,0,09 September 2016,39.37 km/h,0,201.6 km,15
11,12,121,KELDERMAN Wilco,25,Team LottoNL-Jumbo,60.0,34.0,",,0:00",Grand_Prix_Cycliste_de_Quebec,0,09 September 2016,39.37 km/h,0,201.6 km,15
12,13,141,COSTA Rui,29,Lampre - Merida,50.0,30.0,",,0:00",Grand_Prix_Cycliste_de_Quebec,0,09 September 2016,39.37 km/h,0,201.6 km,15
13,14,21,WELLENS Tim,25,Lotto Soudal,40.0,26.0,",,0:00",Grand_Prix_Cycliste_de_Quebec,0,09 September 2016,39.37 km/h,0,201.6 km,15
