,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,143,GAVIRIA Fernando,25,UAE-Team Emirates,40.0,35.0,2:53:42,Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
1,2,2.0,+0:04,31,ACKERMANN Pascal,25,BORA - hansgrohe,15.0,20.0,",,0:00",Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
2,3,3.0,+0:06,87,TRENTIN Matteo,30,Mitchelton-Scott,6.0,12.0,",,0:00",Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
3,4,7.0,+0:10,24,BAUHAUS Phil,25,Bahrain Merida,,9.0,",,0:00",Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
4,5,8.0,+0:10,135,MOSCHETTI Matteo,23,Trek - Segafredo,,7.0,",,0:00",Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
5,6,9.0,+0:10,124,KANTER Max,21,Team Sunweb,,5.0,",,0:00",Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
6,7,10.0,+0:10,54,MARTINELLI Davide,26,Deceuninck - Quick Step,,3.0,",,0:00",Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
7,8,11.0,+0:10,44,MARECZKO Jakub,25,CCC Team,,2.0,",,0:00",Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
8,9,12.0,+0:10,153,MINALI Riccardo,24,Israel Cycling Academy,,1.0,",,0:00",Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
9,10,13.0,+0:10,11,BALLERINI Davide,25,Astana Pro Team,,,",,0:00",Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
10,11,14.0,+0:10,4,LAWLESS Chris,23,Team INEOS,,,",,0:00",Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
11,12,15.0,+0:10,155,EINHORN Itamar,22,Israel Cycling Academy,,,",,0:00",Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
12,13,16.0,+0:10,105,ROOSEN Timo,26,Team Jumbo-Visma,,,",,0:00",Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
13,14,17.0,+0:10,17,KUDUS Merhawi,25,Astana Pro Team,,,",,0:00",Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
14,15,18.0,+0:10,174,VANSPEYBROUCK Pieter,32,Wanty - Gobert Cycling Team,,,",,0:00",Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
15,16,19.0,+0:10,84,EDMONDSON Alex,25,Mitchelton-Scott,,,",,0:00",Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
16,17,20.0,+0:10,121,ARNDT Nikias,27,Team Sunweb,,,",,0:00",Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
17,18,21.0,+0:10,111,BIERMANS Jenthe,23,Team Katusha Alpecin,,,",,0:00",Gree_Tour_of_Guangxi,1,17 October 2019,46.839 km/h,9,135.6 km,57
