,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,146,MOSCON Gianni,24,Team Sky,300.0,200,20:39:56,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
1,2,2,-,53,GROßSCHARTNER Felix,24,BORA - hansgrohe,250.0,150,0:090:09,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
2,3,3,-,21,CHERNETSKI Sergei,28,Astana Pro Team,215.0,120,0:140:14,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
3,4,4,-,93,CAVAGNA Rémi,23,Quick-Step Floors,175.0,100,0:170:17,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
4,5,5,-,77,VERONA Carlos,25,Mitchelton-Scott,120.0,90,0:210:21,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
5,6,6,-,115,URÁN Rigoberto,31,Team EF Education First-Drapac p/b Cannondale,115.0,80,",,0:21",..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
6,7,7,-,85,FERNÁNDEZ Rubén,27,Movistar Team,95.0,70,0:250:25,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
7,8,8,-,26,SÁNCHEZ Luis León,34,Astana Pro Team,75.0,60,",,0:25",..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
8,9,9,-,95,DEVENYNS Dries,35,Quick-Step Floors,60.0,50,0:270:27,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
9,10,10,-,101,BERHANE Natnael,27,Team Dimension Data,50.0,40,0:280:28,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
10,11,11,-,174,POLANC Jan,26,UAE-Team Emirates,40.0,36,",,0:28",..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
11,12,13,▲1,91,GILBERT Philippe,36,Quick-Step Floors,35.0,32,",,0:28",..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
12,13,12,▼1,143,DUNBAR Eddie,22,Team Sky,30.0,28,",,0:28",..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
13,14,14,-,27,VILLELLA Davide,27,Astana Pro Team,25.0,24,",,0:28",..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
14,15,15,-,171,ARU Fabio,28,UAE-Team Emirates,20.0,20,",,0:28",..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
15,16,16,-,23,GRIVKO Andrey,35,Astana Pro Team,20.0,16,0:300:30,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
16,17,21,▲4,47,VAN HOOYDONCK Nathan,23,BMC Racing Team,20.0,14,0:320:32,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
17,18,17,▼1,156,TUSVELD Martijn,25,Team Sunweb,20.0,12,0:380:38,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
18,19,18,▼1,81,ANACONA Winner,30,Movistar Team,20.0,10,",,0:38",..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
19,20,22,▲2,123,GONÇALVES José,29,Team Katusha Alpecin,20.0,9,0:400:40,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
20,21,19,▼2,76,TRENTIN Matteo,29,Mitchelton-Scott,12.0,8,0:410:41,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
21,22,20,▼2,162,BRAMBILLA Gianluca,31,Trek - Segafredo,12.0,7,",,0:41",..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
22,23,24,▲1,111,CARTHY Hugh,24,Team EF Education First-Drapac p/b Cannondale,12.0,6,0:430:43,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
23,24,23,▼1,15,PARET-PEINTRE Aurélien,22,AG2R La Mondiale,12.0,5,",,0:43",..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
24,25,25,-,87,SÜTTERLIN Jasha,25,Movistar Team,12.0,4,0:450:45,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
25,26,26,-,161,BERNARD Julien,26,Trek - Segafredo,12.0,3,0:480:48,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
26,27,27,-,147,SIVAKOV Pavel,21,Team Sky,12.0,3,0:560:56,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
27,28,28,-,14,DOMONT Axel,28,AG2R La Mondiale,12.0,3,",,0:56",..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
28,29,29,-,11,VUILLERMOZ Alexis,30,AG2R La Mondiale,12.0,3,0:590:59,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
29,30,30,-,17,VENTURINI Clément,25,AG2R La Mondiale,12.0,3,1:071:07,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
30,31,31,-,83,BARBERO Carlos,27,Movistar Team,5.0,3,",,1:07",..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
31,32,32,-,155,KRAGH ANDERSEN Søren,24,Team Sunweb,5.0,3,",,1:07",..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
32,33,33,-,24,HOULE Hugo,28,Astana Pro Team,5.0,3,",,1:07",..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
33,34,34,-,103,DLAMINI Nic,23,Team Dimension Data,5.0,3,",,1:07",..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
34,35,35,-,3,MERTZ Rémy,23,Lotto Soudal,5.0,3,",,1:07",..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
35,36,36,-,175,RIABUSHENKO Alexandr,23,UAE-Team Emirates,5.0,3,1:091:09,..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
36,37,37,-,32,VISCONTI Giovanni,35,Bahrain Merida Pro Cycling Team,5.0,3,",,1:09",..,Gree_Tour_of_Guangxi,GC,21 October 2018,-,0,0 km,42
