,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,40.0,+3:07,113,GROENEWEGEN Dylan,24,Team LottoNL-Jumbo,40.0,35.0,5:04:21,Gree___Tour_of_Guangxi,5,23 October 2017,41.83 km/h,0,212.2 km,46
1,2,51.0,+4:42,93,GAVIRIA Fernando,23,Quick-Step Floors,15.0,20.0,",,0:00",Gree___Tour_of_Guangxi,5,23 October 2017,41.83 km/h,0,212.2 km,46
2,3,12.0,+0:36,85,CORT Magnus,24,ORICA-Scott,6.0,12.0,",,0:00",Gree___Tour_of_Guangxi,5,23 October 2017,41.83 km/h,0,212.2 km,46
3,4,22.0,+1:09,135,TEUNISSEN Mike,25,Team Sunweb,,9.0,",,0:00",Gree___Tour_of_Guangxi,5,23 October 2017,41.83 km/h,0,212.2 km,46
4,5,67.0,+8:17,172,DE NEGRI Pier Paolo,31,Nippo - Vini Fantini,,7.0,",,0:00",Gree___Tour_of_Guangxi,5,23 October 2017,41.83 km/h,0,212.2 km,46
5,6,68.0,+8:20,86,KLUGE Roger,31,ORICA-Scott,,5.0,",,0:00",Gree___Tour_of_Guangxi,5,23 October 2017,41.83 km/h,0,212.2 km,46
6,7,69.0,+8:33,15,COLBRELLI Sonny,27,Bahrain Merida Pro Cycling Team,,3.0,",,0:00",Gree___Tour_of_Guangxi,5,23 October 2017,41.83 km/h,0,212.2 km,46
7,8,82.0,+12:21,47,WIPPERT Wouter,27,Cannondale-Drapac Pro Cycling Team,,2.0,",,0:00",Gree___Tour_of_Guangxi,5,23 October 2017,41.83 km/h,0,212.2 km,46
8,9,54.0,+5:18,102,ZABEL Rick,23,Team Katusha Alpecin,,1.0,",,0:00",Gree___Tour_of_Guangxi,5,23 October 2017,41.83 km/h,0,212.2 km,46
9,10,28.0,+1:37,64,VAN DER SANDE Tosh,26,Lotto Soudal,,,",,0:00",Gree___Tour_of_Guangxi,5,23 October 2017,41.83 km/h,0,212.2 km,46
10,11,10.0,+0:31,51,DEBESAY Mekseb,26,Team Dimension Data,,,",,0:00",Gree___Tour_of_Guangxi,5,23 October 2017,41.83 km/h,0,212.2 km,46
11,12,35.0,+2:41,54,GIBBONS Ryan,23,Team Dimension Data,,,",,0:00",Gree___Tour_of_Guangxi,5,23 October 2017,41.83 km/h,0,212.2 km,46
12,13,58.0,+5:18,32,ARCHBOLD Shane,28,BORA - hansgrohe,,,",,0:00",Gree___Tour_of_Guangxi,5,23 October 2017,41.83 km/h,0,212.2 km,46
13,14,6.0,+0:24,156,MOHORIČ Matej,23,UAE Team Emirates,,,",,0:00",Gree___Tour_of_Guangxi,5,23 October 2017,41.83 km/h,0,212.2 km,46
