,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,66,WELLENS Tim,26,Lotto Soudal,300.0,200,20:59:49,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
1,2,2,-,144,MOLLEMA Bauke,30,Trek - Segafredo,250.0,150,0:060:06,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
2,3,3,-,27,ROCHE Nicolas,33,BMC Racing Team,215.0,120,0:110:11,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
3,4,4,-,91,ALAPHILIPPE Julian,25,Quick-Step Floors,175.0,100,0:150:15,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
4,5,5,-,23,HERMANS Ben,31,BMC Racing Team,120.0,90,0:180:18,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
5,6,6,-,156,MOHORIČ Matej,23,UAE Team Emirates,115.0,80,0:240:24,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
6,7,7,-,125,POELS Wout,30,Team Sky,95.0,70,",,0:24",..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
7,8,8,-,21,DILLIER Silvan,27,BMC Racing Team,75.0,60,0:290:29,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
8,9,9,-,106,TAARAMÄE Rein,30,Team Katusha Alpecin,60.0,50,",,0:29",..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
9,10,10,-,51,DEBESAY Mekseb,26,Team Dimension Data,50.0,40,0:310:31,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
10,11,11,-,92,CAVAGNA Rémi,22,Quick-Step Floors,40.0,36,",,0:31",..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
11,12,12,-,85,CORT Magnus,24,ORICA-Scott,35.0,32,0:360:36,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
12,13,13,-,75,HERRADA Jesús,27,Movistar Team,30.0,28,0:370:37,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
13,14,14,-,12,BOLE Grega,32,Bahrain Merida Pro Cycling Team,25.0,24,0:410:41,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
14,15,15,-,41,CARTHY Hugh,23,Cannondale-Drapac Pro Cycling Team,20.0,20,",,0:41",..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
15,16,16,-,152,CONTI Valerio,24,UAE Team Emirates,20.0,16,0:440:44,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
16,17,17,-,124,LANDA Mikel,27,Team Sky,20.0,14,",,0:44",..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
17,18,18,-,55,MORTON Lachlan,25,Team Dimension Data,20.0,12,0:460:46,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
18,19,19,-,82,HAIG Jack,24,ORICA-Scott,20.0,10,0:550:55,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
19,20,20,-,77,QUINTANA Dayer,25,Movistar Team,20.0,9,1:001:00,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
20,21,21,-,65,VERVAEKE Louis,24,Lotto Soudal,12.0,8,1:051:05,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
21,22,22,-,135,TEUNISSEN Mike,25,Team Sunweb,12.0,7,1:091:09,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
22,23,23,-,142,BERNARD Julien,25,Trek - Segafredo,12.0,6,1:171:17,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
23,24,24,-,33,HERKLOTZ Silvio,23,BORA - hansgrohe,12.0,5,",,1:17",..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
24,25,26,▲1,143,DIDIER Laurent,33,Trek - Segafredo,12.0,4,",,1:17",..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
25,26,25,▼1,84,KEUKELEIRE Jens,28,ORICA-Scott,12.0,3,",,1:17",..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
26,27,27,-,62,HANSEN Adam,36,Lotto Soudal,12.0,3,1:291:29,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
27,28,28,-,64,VAN DER SANDE Tosh,26,Lotto Soudal,12.0,3,1:371:37,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
28,29,29,-,3,FUGLSANG Jakob,32,Astana Pro Team,12.0,3,1:391:39,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
29,30,30,-,35,MENDES José,32,BORA - hansgrohe,12.0,3,",,1:39",..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
30,31,31,-,13,BONIFAZIO Niccolò,23,Bahrain Merida Pro Cycling Team,5.0,3,1:441:44,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
31,32,32,-,16,PIBERNIK Luka,24,Bahrain Merida Pro Cycling Team,5.0,3,2:172:17,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
32,33,33,-,171,BERLATO Giacomo,25,Nippo - Vini Fantini,5.0,3,2:202:20,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
33,34,34,-,151,BONO Matteo,33,UAE Team Emirates,5.0,3,",,2:20",..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
34,35,35,-,54,GIBBONS Ryan,23,Team Dimension Data,5.0,3,2:412:41,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
35,36,36,-,96,RICHEZE Maximiliano,34,Quick-Step Floors,5.0,3,2:442:44,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
36,37,37,-,24,ROSSKOPF Joey,28,BMC Racing Team,5.0,3,2:472:47,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
37,38,38,-,11,ARASHIRO Yukiya,33,Bahrain Merida Pro Cycling Team,5.0,3,",,2:47",..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
38,39,39,-,34,KÖNIG Leopold,29,BORA - hansgrohe,5.0,3,3:013:01,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
39,40,40,-,113,GROENEWEGEN Dylan,24,Team LottoNL-Jumbo,5.0,3,3:033:03,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
40,41,42,▲1,52,DOUGALL Nic,24,Team Dimension Data,5.0,3,3:363:36,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
41,42,43,▲1,164,FERRARI Fabricio,32,Caja Rural - Seguros RGA,5.0,3,3:473:47,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
42,43,44,▲1,56,TEKLEHAIMANOT Daniel,28,Team Dimension Data,5.0,3,3:493:49,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
43,44,45,▲1,115,OLIVIER Daan,24,Team LottoNL-Jumbo,5.0,3,3:523:52,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
44,45,46,▲1,157,TROIA Oliviero,23,UAE Team Emirates,5.0,3,3:533:53,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
45,46,47,▲1,147,STETINA Peter,30,Trek - Segafredo,5.0,3,4:004:00,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
46,47,48,▲1,146,RAST Grégory,37,Trek - Segafredo,5.0,3,4:044:04,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
47,48,49,▲1,46,VANMARCKE Sep,29,Cannondale-Drapac Pro Cycling Team,5.0,3,4:204:20,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
48,49,41,▼8,2,FOMINYKH Daniil,26,Astana Pro Team,5.0,3,4:234:23,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
49,50,51,▲1,93,GAVIRIA Fernando,23,Quick-Step Floors,5.0,3,4:324:32,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
50,51,52,▲1,44,LANGEVELD Sebastian,32,Cannondale-Drapac Pro Cycling Team,2.0,3,5:075:07,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
51,52,53,▲1,4,GRIVKO Andrey,34,Astana Pro Team,2.0,3,5:145:14,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
52,53,54,▲1,102,ZABEL Rick,23,Team Katusha Alpecin,2.0,3,5:185:18,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
53,54,56,▲2,7,ZAKHAROV Artyom,25,Astana Pro Team,2.0,3,",,5:18",..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
54,55,57,▲2,127,WIŚNIOWSKI Łukasz,25,Team Sky,2.0,3,",,5:18",..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
55,56,55,▼1,105,MØRKØV Michael,32,Team Katusha Alpecin,1.0,3,",,5:18",..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
56,57,58,▲1,32,ARCHBOLD Shane,28,BORA - hansgrohe,1.0,3,",,5:18",..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
57,58,50,▼8,26,OSS Daniel,30,BMC Racing Team,1.0,3,5:335:33,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
58,59,59,-,95,MARTINELLI Davide,24,Quick-Step Floors,1.0,3,5:365:36,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
59,60,60,-,83,JUUL-JENSEN Christopher,28,ORICA-Scott,1.0,3,6:506:50,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
60,61,61,-,101,HALLER Marco,26,Team Katusha Alpecin,,3,7:017:01,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
61,62,64,▲2,76,HERRADA José,32,Movistar Team,,3,7:057:05,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
62,63,62,▼1,61,DE GENDT Thomas,30,Lotto Soudal,,3,7:307:30,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
63,64,63,▼1,45,VAN BAARLE Dylan,25,Cannondale-Drapac Pro Cycling Team,,3,8:098:09,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
64,65,67,▲2,172,DE NEGRI Pier Paolo,31,Nippo - Vini Fantini,,3,8:178:17,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
65,66,68,▲2,86,KLUGE Roger,31,ORICA-Scott,,3,8:208:20,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
66,67,66,▼1,111,BOOM Lars,31,Team LottoNL-Jumbo,,3,9:069:06,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
67,68,65,▼3,165,IRISARRI Jon,21,Caja Rural - Seguros RGA,,3,9:089:08,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
68,69,71,▲2,31,ACKERMANN Pascal,23,BORA - hansgrohe,,3,9:149:14,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
69,70,72,▼939,153,ĐURASEK Kristijan,30,UAE Team Emirates,,3,9:179:17,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
70,71,73,▲2,114,JANSEN Amund Grøndahl,23,Team LottoNL-Jumbo,,3,",,9:17",..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
71,72,74,▲2,72,BICO Nuno,23,Movistar Team,,3,9:489:48,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
72,73,76,▲3,22,GERTS Floris,25,BMC Racing Team,,3,10:0510:05,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
73,74,69,▼5,15,COLBRELLI Sonny,27,Bahrain Merida Pro Cycling Team,,3,10:0810:08,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
74,75,77,▲2,1,CATALDO Dario,32,Astana Pro Team,,3,10:2210:22,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
75,76,78,▲2,122,DOULL Owain,24,Team Sky,,3,10:2310:23,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
76,77,75,▼2,116,VAN HOECKE Gijs,25,Team LottoNL-Jumbo,,3,10:2910:29,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
77,78,79,▲1,53,EISEL Bernhard,36,Team Dimension Data,,3,10:5310:53,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
78,79,70,▼9,126,VAN POPPEL Danny,24,Team Sky,,3,11:2111:21,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
79,80,81,▲1,154,GUARDINI Andrea,28,UAE Team Emirates,,3,12:1512:15,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
80,81,82,▲1,47,WIPPERT Wouter,27,Cannondale-Drapac Pro Cycling Team,,3,12:2112:21,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
81,82,83,▲1,107,VICIOSO Ángel,40,Team Katusha Alpecin,,3,12:2712:27,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
82,83,80,▼3,43,CRADDOCK Lawson,25,Cannondale-Drapac Pro Cycling Team,,3,13:1313:13,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
83,84,84,-,25,SENNI Manuel,25,BMC Racing Team,,3,13:2913:29,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
84,85,85,-,71,AMADOR Andrey,31,Movistar Team,,3,",,13:29",..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
85,86,88,▲2,37,SARAMOTINS Aleksejs,35,BORA - hansgrohe,,3,15:0415:04,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
86,87,86,▼1,97,SERRY Pieter,28,Quick-Step Floors,,3,15:0515:05,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
87,88,89,▲1,166,LASTRA Jonathan,24,Caja Rural - Seguros RGA,,3,15:1515:15,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
88,89,87,▼2,42,CLARKE Will,32,Cannondale-Drapac Pro Cycling Team,,3,15:4315:43,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
89,90,92,▲2,176,STACCHIOTTI Riccardo,25,Nippo - Vini Fantini,,3,16:0416:04,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
90,91,91,-,17,WANG Meiyin,28,Bahrain Merida Pro Cycling Team,,3,16:0516:05,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
91,92,94,▲2,57,THOMSON Jay Robert,31,Team Dimension Data,,3,16:1116:11,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
92,93,95,▲2,104,MATHIS Marco,23,Team Katusha Alpecin,,3,16:2716:27,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
93,94,96,▲2,137,WALSCHEID Max,24,Team Sunweb,,3,17:2517:25,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
94,95,97,▲2,162,BENITO Miguel Ángel,24,Caja Rural - Seguros RGA,,3,17:2817:28,..,Gree___Tour_of_Guangxi,GC,24 October 2017,-,0,0 km,46
