,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,41,NIBALI Vincenzo,32,Bahrain Merida Pro Cycling Team,500.0,275.0,6:15:29,Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
1,2,161,ALAPHILIPPE Julian,25,Quick-Step Floors,400.0,200.0,0:280:28,Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
2,3,204,MOSCON Gianni,23,Team Sky,325.0,150.0,0:380:38,Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
3,4,18,VUILLERMOZ Alexis,29,AG2R La Mondiale,275.0,120.0,",,0:38",Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
4,5,111,PINOT Thibaut,27,FDJ,225.0,100.0,",,0:38",Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
5,6,11,POZZOVIVO Domenico,34,AG2R La Mondiale,175.0,90.0,",,0:38",Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
6,7,31,ARU Fabio,27,Astana Pro Team,150.0,80.0,",,0:38",Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
7,8,205,NIEVE Mikel,33,Team Sky,125.0,70.0,0:400:40,Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
8,9,147,QUINTANA Nairo,27,Movistar Team,100.0,60.0,0:420:42,Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
9,10,34,CHERNETSKI Sergei,27,Astana Pro Team,85.0,50.0,0:470:47,Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
10,11,217,OOMEN Sam,22,Team Sunweb,70.0,46.0,",,0:47",Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
11,12,66,ROCHE Nicolas,33,BMC Racing Team,60.0,42.0,",,0:47",Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
12,13,21,BERNAL Egan,20,Androni - Sidermec - Bottecchia,50.0,38.0,",,0:47",Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
13,14,64,HERMANS Ben,31,BMC Racing Team,40.0,34.0,",,0:47",Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
14,15,88,VILLELLA Davide,26,Cannondale-Drapac Pro Cycling Team,35.0,30.0,1:121:12,Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
15,16,15,FRANK Mathias,30,AG2R La Mondiale,30.0,28.0,",,1:12",Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
16,17,208,ROSA Diego,28,Team Sky,30.0,26.0,",,1:12",Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
17,18,216,KELDERMAN Wilco,26,Team Sunweb,30.0,24.0,",,1:12",Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
18,19,224,MOLLEMA Bauke,30,Trek - Segafredo,30.0,22.0,1:261:26,Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
19,20,131,WELLENS Tim,26,Lotto Soudal,30.0,20.0,",,1:26",Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
20,21,231,ULISSI Diego,28,UAE Team Emirates,20.0,19.0,2:202:20,Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
21,22,81,URÁN Rigoberto,30,Cannondale-Drapac Pro Cycling Team,20.0,18.0,",,2:20",Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
22,23,16,GENIEZ Alexandre,29,AG2R La Mondiale,20.0,17.0,2:562:56,Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
23,24,2,HAIG Jack,24,ORICA-Scott,20.0,16.0,3:003:00,Il_Lombardia,0,07 October 2017,39.47 km/h,174,247 km,4
