,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,41,FUGLSANG Jakob,35,Astana Pro Team,500.0,275.0,5:32:54,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
1,2,211,BENNETT George,30,Team Jumbo-Visma,400.0,200.0,0:310:31,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
2,3,47,VLASOV Aleksandr,24,Astana Pro Team,325.0,150.0,0:510:51,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
3,4,1,MOLLEMA Bauke,33,Trek - Segafredo,275.0,120.0,1:191:19,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
4,5,3,CICCONE Giulio,25,Trek - Segafredo,225.0,100.0,1:401:40,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
5,6,7,NIBALI Vincenzo,35,Trek - Segafredo,175.0,90.0,3:313:31,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
6,7,76,SCHACHMANN Maximilian,26,BORA - hansgrohe,150.0,80.0,4:314:31,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
7,8,231,ULISSI Diego,31,UAE-Team Emirates,125.0,70.0,5:205:20,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
8,9,155,HERMANS Ben,34,Israel Start-Up Nation,100.0,60.0,6:006:00,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
9,10,21,VAN DER POEL Mathieu,25,Alpecin-Fenix,85.0,50.0,6:286:28,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
10,11,82,DE MARCHI Alessandro,34,CCC Team,70.0,46.0,6:516:51,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
11,12,217,TOLHOEK Antwan,26,Team Jumbo-Visma,60.0,42.0,8:158:15,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
12,13,201,CARAPAZ Richard,27,Team INEOS,50.0,38.0,",,8:15",Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
13,14,123,CLARKE Simon,34,EF Pro Cycling,40.0,34.0,10:0510:05,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
14,15,101,HERRADA Jesús,30,"Cofidis, Solutions Crédits",35.0,30.0,10:0910:09,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
15,16,181,CATALDO Dario,35,Movistar Team,30.0,28.0,10:1810:18,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
16,17,124,GUERREIRO Ruben,26,EF Pro Cycling,30.0,26.0,10:2510:25,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
17,18,246,ROTA Lorenzo,25,Vini Zabù - KTM,30.0,24.0,",,10:25",Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
18,19,221,KELDERMAN Wilco,29,Team Sunweb,30.0,22.0,",,10:25",Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
19,20,83,GESCHKE Simon,34,CCC Team,30.0,20.0,",,10:25",Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
20,21,143,MOLARD Rudy,30,Groupama - FDJ,20.0,19.0,",,10:25",Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
21,22,156,NAVARRO Daniel,37,Israel Start-Up Nation,20.0,18.0,",,10:25",Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
22,23,151,BADILATTI Matteo,28,Israel Start-Up Nation,20.0,17.0,",,10:25",Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
23,24,71,MAJKA Rafał,30,BORA - hansgrohe,20.0,16.0,10:3110:31,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
24,25,16,HÄNNINEN Jaakko,23,AG2R La Mondiale,20.0,15.0,10:5610:56,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
25,26,6,MOSCA Jacopo,26,Trek - Segafredo,20.0,14.0,11:0411:04,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
26,27,2,BRAMBILLA Gianluca,32,Trek - Segafredo,20.0,13.0,",,11:04",Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
27,28,86,ROSSKOPF Joey,30,CCC Team,20.0,12.0,12:5512:55,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
28,29,127,WOODS Michael,33,EF Pro Cycling,20.0,11.0,12:5612:56,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
29,30,97,PETILLI Simone,27,Circus - Wanty Gobert,20.0,10.0,",,12:56",Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
30,31,74,KONRAD Patrick,28,BORA - hansgrohe,10.0,9.0,",,12:56",Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
31,32,223,HAGA Chad,31,Team Sunweb,10.0,8.0,12:5912:59,Il_Lombardia,0,15 August 2020,41.63 km/h,229,231 km,21
