,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,ZAUGG Oliver,30,Leopard Trek,100.0,275.0,6:20:02,Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
1,2,0,MARTIN Dan,25,Team Garmin - Cervélo,80.0,200.0,0:080:08,Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
2,3,0,RODRÍGUEZ Joaquim,32,Team Katusha,70.0,150.0,",,0:08",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
3,4,0,BASSO Ivan,33,Liquigas - Cannondale,60.0,120.0,",,0:08",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
4,5,0,NIEMIEC Przemysław,31,Lampre - ISD,50.0,100.0,",,0:08",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
5,6,0,POZZOVIVO Domenico,28,Colnago - CSF Inox,40.0,90.0,",,0:08",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
6,7,0,VISCONTI Giovanni,28,Farnese Vini-Neri-Sottoli,30.0,80.0,0:160:16,Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
7,8,0,GILBERT Philippe,29,Omega Pharma-Lotto,20.0,70.0,",,0:16",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
8,9,0,BETANCUR Carlos,22,Acqua & Sapone,10.0,60.0,",,0:16",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
9,10,0,CHIARINI Riccardo,27,Androni Giocattoli - Serramenti PVC Diquigiovanni,4.0,50.0,",,0:16",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
10,11,0,PAOLINI Luca,34,Team Katusha,,46.0,0:270:27,Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
11,12,0,VAN AVERMAET Greg,26,BMC Racing Team,,42.0,",,0:27",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
12,13,0,CATALDO Dario,26,Quickstep Cycling Team,,38.0,",,0:27",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
13,14,0,STETINA Peter,24,Team Garmin - Cervélo,,34.0,",,0:27",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
14,15,0,ANTÓN Igor,28,Euskaltel - Euskadi,,30.0,",,0:27",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
15,16,0,ROCHE Nicolas,27,AG2R La Mondiale,,28.0,",,0:27",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
16,17,0,MORENO Daniel,30,Team Katusha,,26.0,",,0:27",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
17,18,0,PAURIOL Rémi,29,FDJ,,24.0,",,0:27",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
18,19,0,URÁN Rigoberto,24,Sky Procycling,,22.0,",,0:27",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
19,20,0,LÖFKVIST Thomas,27,Sky Procycling,,20.0,",,0:27",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
20,21,0,SANTAROMITA Ivan,27,BMC Racing Team,,19.0,",,0:27",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
21,22,0,FELLINE Fabio,21,Geox-TMC Transformers,,18.0,1:111:11,Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
22,23,0,BARREDO Carlos,30,Rabobank Cycling Team,,17.0,",,1:11",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
23,24,0,MARCATO Marco,27,Vacansoleil - DCM,,16.0,",,1:11",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
24,25,0,COSTA Rui,25,Movistar Team,,15.0,",,1:11",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
25,26,0,MAJKA Rafał,22,Saxo Bank - Sungard,,14.0,",,1:11",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
26,27,0,CUNEGO Damiano,30,Lampre - ISD,,13.0,1:151:15,Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
27,28,0,WEGMANN Fabian,31,Leopard Trek,,12.0,",,1:15",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
28,29,0,KRUIJSWIJK Steven,24,Rabobank Cycling Team,,11.0,",,1:15",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
29,30,0,SÁNCHEZ Samuel,33,Euskaltel - Euskadi,,10.0,",,1:15",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
30,31,0,CANUTI Federico,26,Colnago - CSF Inox,,9.0,",,1:15",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
31,32,0,BRAJKOVIČ Janez,27,RadioShack,,8.0,",,1:15",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
32,33,0,SØRENSEN Chris Anker,27,Saxo Bank - Sungard,,7.0,",,1:15",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
33,34,0,LE MÉVEL Christophe,31,Team Garmin - Cervélo,,6.0,2:392:39,Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
34,35,0,MONTAGUTI Matteo,27,AG2R La Mondiale,,5.0,",,2:39",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
35,36,0,TXURRUKA Amets,28,Euskaltel - Euskadi,,5.0,",,2:39",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
36,37,0,ASTARLOZA Mikel,31,Euskaltel - Euskadi,,5.0,5:305:30,Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
37,38,0,CARUSO Giampaolo,31,Team Katusha,,5.0,6:446:44,Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
38,39,0,FUGLSANG Jakob,26,Leopard Trek,,5.0,7:147:14,Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
39,40,0,NIBALI Vincenzo,26,Liquigas - Cannondale,,5.0,",,7:14",Il_Lombardia,0,15 October 2011,38.049 km/h,0,241 km,14
