,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,27,SCHACHMANN Maximilian,25,BORA - hansgrohe,50.0,50.0,0:17:10,39.495,Itzulia_Basque_Country,1,08 April 2019,39.5 km/h,65,11.3 km,21
1,2,2,+0:09,111,MARTÍNEZ Daniel Felipe,22,EF Education First,20.0,30.0,0:090:09,39.153,Itzulia_Basque_Country,1,08 April 2019,39.5 km/h,65,11.3 km,21
2,3,3,+0:10,86,KWIATKOWSKI Michał,28,Team Sky,8.0,18.0,0:100:10,39.115,Itzulia_Basque_Country,1,08 April 2019,39.5 km/h,65,11.3 km,21
3,4,4,+0:12,41,ALAPHILIPPE Julian,26,Deceuninck - Quick Step,,13.0,0:120:12,39.04,Itzulia_Basque_Country,1,08 April 2019,39.5 km/h,65,11.3 km,21
4,5,5,+0:16,91,YATES Adam,26,Mitchelton-Scott,,10.0,0:160:16,38.891,Itzulia_Basque_Country,1,08 April 2019,39.5 km/h,65,11.3 km,21
5,6,6,+0:19,23,KONRAD Patrick,27,BORA - hansgrohe,,7.0,0:190:19,38.78,Itzulia_Basque_Country,1,08 April 2019,39.5 km/h,65,11.3 km,21
6,7,7,+0:22,35,IZAGIRRE Ion,30,Astana Pro Team,,4.0,0:220:22,38.669000000000004,Itzulia_Basque_Country,1,08 April 2019,39.5 km/h,65,11.3 km,21
7,8,8,+0:24,45,MAS Enric,24,Deceuninck - Quick Step,,3.0,0:240:24,38.596,Itzulia_Basque_Country,1,08 April 2019,39.5 km/h,65,11.3 km,21
8,9,9,+0:30,81,THOMAS Geraint,32,Team Sky,,2.0,0:300:30,38.376999999999995,Itzulia_Basque_Country,1,08 April 2019,39.5 km/h,65,11.3 km,21
9,10,10,+0:31,113,CARTHY Hugh,24,EF Education First,,1.0,0:310:31,38.341,Itzulia_Basque_Country,1,08 April 2019,39.5 km/h,65,11.3 km,21
10,11,11,+0:32,32,BILBAO Pello,29,Astana Pro Team,,,0:320:32,38.305,Itzulia_Basque_Country,1,08 April 2019,39.5 km/h,65,11.3 km,21
11,12,12,+0:32,16,TEUNS Dylan,27,Bahrain Merida,,,",,0:32",38.305,Itzulia_Basque_Country,1,08 April 2019,39.5 km/h,65,11.3 km,21
12,13,13,+0:34,115,CRADDOCK Lawson,27,EF Education First,,,0:340:34,38.233000000000004,Itzulia_Basque_Country,1,08 April 2019,39.5 km/h,65,11.3 km,21
13,14,14,+0:35,101,MARTIN Dan,32,UAE-Team Emirates,,,0:350:35,38.196999999999996,Itzulia_Basque_Country,1,08 April 2019,39.5 km/h,65,11.3 km,21
