,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,131,ALAPHILIPPE Julian,25,Quick-Step Floors,50.0,50.0,4:11:47,Itzulia_Basque_Country,2,03 April 2018,39.72 km/h,143,166.7 km,22
1,2,2.0,+0:08,171,ROGLIČ Primož,28,Team LottoNL-Jumbo,20.0,30.0,",,0:00",Itzulia_Basque_Country,2,03 April 2018,39.72 km/h,143,166.7 km,22
2,3,3.0,+0:39,33,IZAGIRRE Gorka,30,Bahrain Merida Pro Cycling Team,8.0,18.0,",,0:00",Itzulia_Basque_Country,2,03 April 2018,39.72 km/h,143,166.7 km,22
3,4,4.0,+0:43,1,LANDA Mikel,28,Movistar Team,,13.0,",,0:00",Itzulia_Basque_Country,2,03 April 2018,39.72 km/h,143,166.7 km,22
4,5,6.0,+0:58,55,KONRAD Patrick,26,BORA - hansgrohe,,10.0,0:150:15,Itzulia_Basque_Country,2,03 April 2018,39.72 km/h,143,166.7 km,22
5,6,15.0,+1:26,91,PRADES Eduard,30,Euskadi - Murias,,7.0,",,0:15",Itzulia_Basque_Country,2,03 April 2018,39.72 km/h,143,166.7 km,22
6,7,5.0,+0:54,21,BILBAO Pello,28,Astana Pro Team,,4.0,",,0:15",Itzulia_Basque_Country,2,03 April 2018,39.72 km/h,143,166.7 km,22
7,8,9.0,+0:58,101,MOLARD Rudy,28,Groupama - FDJ,,3.0,",,0:15",Itzulia_Basque_Country,2,03 April 2018,39.72 km/h,143,166.7 km,22
8,9,7.0,+0:58,135,MAS Enric,23,Quick-Step Floors,,2.0,",,0:15",Itzulia_Basque_Country,2,03 April 2018,39.72 km/h,143,166.7 km,22
9,10,16.0,+1:26,34,IZAGIRRE Ion,29,Bahrain Merida Pro Cycling Team,,1.0,",,0:15",Itzulia_Basque_Country,2,03 April 2018,39.72 km/h,143,166.7 km,22
10,11,8.0,+0:58,53,BUCHMANN Emanuel,25,BORA - hansgrohe,,,",,0:15",Itzulia_Basque_Country,2,03 April 2018,39.72 km/h,143,166.7 km,22
11,12,10.0,+0:58,11,BARDET Romain,27,AG2R La Mondiale,,,",,0:15",Itzulia_Basque_Country,2,03 April 2018,39.72 km/h,143,166.7 km,22
12,13,18.0,+1:47,183,DE LA CRUZ David,28,Team Sky,,,",,0:15",Itzulia_Basque_Country,2,03 April 2018,39.72 km/h,143,166.7 km,22
