,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,171,ROGLIČ Primož,28,Team LottoNL-Jumbo,400.0,250,20:53:47,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
1,2,1,LANDA Mikel,28,Movistar Team,320.0,190,1:091:09,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
2,3,34,IZAGIRRE Ion,29,Bahrain Merida Pro Cycling Team,260.0,160,1:421:42,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
3,4,53,BUCHMANN Emanuel,25,BORA - hansgrohe,220.0,140,3:143:14,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
4,5,5,QUINTANA Nairo,28,Movistar Team,180.0,120,3:173:17,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
5,6,135,MAS Enric,23,Quick-Step Floors,140.0,110,3:293:29,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
6,7,201,MOLLEMA Bauke,31,Trek - Segafredo,120.0,100,3:503:50,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
7,8,21,BILBAO Pello,28,Astana Pro Team,100.0,90,4:144:14,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
8,9,183,DE LA CRUZ David,28,Team Sky,80.0,80,4:154:15,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
9,10,55,KONRAD Patrick,26,BORA - hansgrohe,68.0,70,5:305:30,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
10,11,46,TEUNS Dylan,26,BMC Racing Team,56.0,60,5:345:34,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
11,12,211,COSTA Rui,31,UAE-Team Emirates,48.0,55,6:296:29,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
12,13,11,BARDET Romain,27,AG2R La Mondiale,40.0,50,7:087:08,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
13,14,83,HERRADA José,32,"Cofidis, Solutions Crédits",32.0,45,7:407:40,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
14,15,26,HANSEN Jesper,27,Astana Pro Team,28.0,40,9:299:29,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
15,16,122,HAIG Jack,24,Mitchelton-Scott,24.0,36,10:2110:21,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
16,17,17,VUILLERMOZ Alexis,29,AG2R La Mondiale,24.0,32,11:5011:50,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
17,18,113,LAMBRECHT Bjorg,21,Lotto Soudal,24.0,28,12:5512:55,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
18,19,82,EDET Nicolas,30,"Cofidis, Solutions Crédits",24.0,24,13:0713:07,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
19,20,127,VERONA Carlos,25,Mitchelton-Scott,24.0,20,13:1213:12,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
20,21,161,ZAKARIN Ilnur,28,Team Katusha Alpecin,16.0,18,14:0314:03,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
21,22,141,ANTÓN Igor,35,Team Dimension Data,16.0,16,14:1214:12,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
22,23,37,PERNSTEINER Hermann,27,Bahrain Merida Pro Cycling Team,16.0,14,14:3314:33,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
23,24,137,SERRY Pieter,29,Quick-Step Floors,16.0,12,14:3514:35,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
24,25,73,ARANBURU Alex,22,Caja Rural - Seguros RGA,16.0,10,14:4314:43,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
25,26,25,FRAILE Omar,27,Astana Pro Team,16.0,9,15:1915:19,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
26,27,3,BETANCUR Carlos,28,Movistar Team,16.0,8,15:3015:30,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
27,28,91,PRADES Eduard,30,Euskadi - Murias,16.0,7,16:0516:05,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
28,29,157,WOODS Michael,31,Team EF Education First-Drapac p/b Cannondale,16.0,6,16:2216:22,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
29,30,164,KIŠERLOVSKI Robert,31,Team Katusha Alpecin,16.0,5,16:2516:25,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
30,31,95,BRAVO Garikoitz,28,Euskadi - Murias,8.0,5,17:2417:24,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
31,32,94,BIZKARRA Mikel,28,Euskadi - Murias,8.0,5,17:5117:51,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
32,33,103,MADOUAS Valentin,21,Groupama - FDJ,8.0,5,18:4518:45,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
33,34,62,CABEDO Óscar,23,Burgos-BH,8.0,5,18:4618:46,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
34,35,131,ALAPHILIPPE Julian,25,Quick-Step Floors,8.0,5,19:4519:45,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
35,36,152,BROWN Nathan,26,Team EF Education First-Drapac p/b Cannondale,8.0,5,20:1220:12,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
36,37,204,GRMAY Tsgabu,26,Trek - Segafredo,8.0,5,21:5821:58,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
37,38,84,MATÉ Luis Ángel,34,"Cofidis, Solutions Crédits",8.0,5,22:1422:14,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
38,39,6,ROJAS José Joaquín,32,Movistar Team,8.0,5,22:2422:24,..,Itzulia_Basque_Country,GC,07 April 2018,-,0,0 km,22
