,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,2,▲1,35,IZAGIRRE Ion,30,Astana Pro Team,400.0,250,19:24:09,..,Itzulia_Basque_Country,GC,13 April 2019,-,0,0 km,21
1,2,4,▲2,101,MARTIN Dan,32,UAE-Team Emirates,320.0,190,0:290:29,..,Itzulia_Basque_Country,GC,13 April 2019,-,0,0 km,21
2,3,1,▼2,21,BUCHMANN Emanuel,26,BORA - hansgrohe,260.0,160,0:310:31,..,Itzulia_Basque_Country,GC,13 April 2019,-,0,0 km,21
3,4,5,▲1,31,FUGLSANG Jakob,34,Astana Pro Team,220.0,140,0:360:36,..,Itzulia_Basque_Country,GC,13 April 2019,-,0,0 km,21
4,5,7,▲2,91,YATES Adam,26,Mitchelton-Scott,180.0,120,0:510:51,..,Itzulia_Basque_Country,GC,13 April 2019,-,0,0 km,21
5,6,10,▲4,104,POGAČAR Tadej,20,UAE-Team Emirates,140.0,110,1:361:36,..,Itzulia_Basque_Country,GC,13 April 2019,-,0,0 km,21
6,7,9,▲2,1,LANDA Mikel,29,Movistar Team,120.0,100,2:562:56,..,Itzulia_Basque_Country,GC,13 April 2019,-,0,0 km,21
7,8,11,▲3,95,NIEVE Mikel,34,Mitchelton-Scott,100.0,90,3:133:13,..,Itzulia_Basque_Country,GC,13 April 2019,-,0,0 km,21
8,9,6,▼3,23,KONRAD Patrick,27,BORA - hansgrohe,80.0,80,3:293:29,..,Itzulia_Basque_Country,GC,13 April 2019,-,0,0 km,21
9,10,3,▼7,27,SCHACHMANN Maximilian,25,BORA - hansgrohe,68.0,70,3:443:44,..,Itzulia_Basque_Country,GC,13 April 2019,-,0,0 km,21
10,11,12,▲1,45,MAS Enric,24,Deceuninck - Quick Step,56.0,60,4:154:15,..,Itzulia_Basque_Country,GC,13 April 2019,-,0,0 km,21
11,12,16,▲4,113,CARTHY Hugh,24,EF Education First,48.0,55,5:255:25,..,Itzulia_Basque_Country,GC,13 April 2019,-,0,0 km,21
