,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,ALAPHILIPPE Julian,26,Deceuninck - Quick Step,400.0,225.0,4:55:14,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
1,2,121,FUGLSANG Jakob,34,Astana Pro Team,320.0,150.0,",,0:00",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
2,3,117,ULISSI Diego,29,UAE-Team Emirates,260.0,110.0,0:060:06,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
3,4,23,LAMBRECHT Bjorg,22,Lotto Soudal,220.0,90.0,0:080:08,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
4,5,77,SCHACHMANN Maximilian,25,BORA - hansgrohe,180.0,80.0,",,0:08",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
5,6,51,MOLLEMA Bauke,32,Trek - Segafredo,140.0,70.0,",,0:08",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
6,7,74,KONRAD Patrick,27,BORA - hansgrohe,120.0,60.0,",,0:08",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
7,8,41,MATTHEWS Michael,28,Team Sunweb,100.0,50.0,",,0:08",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
8,9,21,VANENDERT Jelle,34,Lotto Soudal,80.0,46.0,0:110:11,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
9,10,92,GASPAROTTO Enrico,37,Team Dimension Data,68.0,42.0,",,0:11",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
10,11,11,VALVERDE Alejandro,38,Movistar Team,56.0,38.0,",,0:11",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
11,12,64,COSNEFROY Benoît,23,AG2R La Mondiale,48.0,34.0,",,0:11",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
12,13,61,BARDET Romain,28,AG2R La Mondiale,40.0,30.0,",,0:11",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
13,14,161,TEUNS Dylan,27,Bahrain Merida,32.0,26.0,",,0:11",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
14,15,143,DE PLUS Laurens,23,Team Jumbo-Visma,28.0,22.0,",,0:11",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
15,16,81,KWIATKOWSKI Michał,28,Team Sky,24.0,20.0,",,0:11",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
16,17,27,WELLENS Tim,27,Lotto Soudal,24.0,18.0,0:150:15,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
17,18,211,MARTIN Guillaume,25,Wanty - Gobert Cycling Team,24.0,17.0,0:190:19,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
18,19,104,MOLARD Rudy,29,Groupama - FDJ,24.0,16.0,0:230:23,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
19,20,113,HENAO Sergio,31,UAE-Team Emirates,24.0,15.0,0:250:25,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
20,21,184,DE MARCHI Alessandro,32,CCC Team,16.0,14.0,",,0:25",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
21,22,85,POELS Wout,31,Team Sky,16.0,13.0,0:300:30,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
22,23,174,CLARKE Simon,32,EF Education First,16.0,12.0,0:360:36,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
23,24,151,HERRADA Jesús,28,"Cofidis, Solutions Crédits",16.0,11.0,0:380:38,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
24,25,53,CICCONE Giulio,24,Trek - Segafredo,16.0,10.0,0:420:42,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
25,26,112,COSTA Rui,32,UAE-Team Emirates,16.0,9.0,0:450:45,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
26,27,73,FORMOLO Davide,26,BORA - hansgrohe,16.0,8.0,",,0:45",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
27,28,34,HOWSON Damien,26,Mitchelton-Scott,16.0,7.0,0:560:56,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
28,29,124,IZAGIRRE Gorka,31,Astana Pro Team,16.0,6.0,1:241:24,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
29,30,5,MAS Enric,24,Deceuninck - Quick Step,16.0,5.0,1:451:45,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
30,31,125,LUTSENKO Alexey,26,Astana Pro Team,8.0,5.0,",,1:45",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
31,32,204,SPRENGERS Thomas,29,Sport Vlaanderen - Baloise,8.0,5.0,1:471:47,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
32,33,14,BETANCUR Carlos,29,Movistar Team,8.0,5.0,",,1:47",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
33,34,181,PAUWELS Serge,35,CCC Team,8.0,5.0,",,1:47",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
34,35,236,PEYSKENS Dimitri,27,Wallonie-Bruxelles,8.0,5.0,",,1:47",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
35,36,105,REICHENBACH Sébastien,29,Groupama - FDJ,8.0,5.0,1:571:57,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
36,37,62,CHEREL Mikaël,33,AG2R La Mondiale,8.0,5.0,1:591:59,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
37,38,65,FRANK Mathias,32,AG2R La Mondiale,8.0,5.0,2:012:01,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
38,39,75,MCCARTHY Jay,26,BORA - hansgrohe,8.0,5.0,",,2:01",La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
39,40,103,MADOUAS Valentin,22,Groupama - FDJ,8.0,5.0,2:022:02,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
40,41,187,ROSSKOPF Joey,29,CCC Team,8.0,5.0,2:062:06,La_Fl_che_Wallonne,0,24 April 2019,39.63 km/h,133,195 km,8
