,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,1,ROGLIČ Primož,31,Team Jumbo-Visma,100.0,80.0,4:14:11,La_Vuelta_ciclista_a_Espa_a,10,30 October 2020,43.67 km/h,50,185 km,11
1,2,6,+3:19,63,GROßSCHARTNER Felix,26,BORA - hansgrohe,40.0,50.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,10,30 October 2020,43.67 km/h,50,185 km,11
2,3,33,+39:12,12,BAGIOLI Andrea,21,Deceuninck - Quick Step,20.0,35.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,10,30 October 2020,43.67 km/h,50,185 km,11
3,4,67,+1:12:00,52,ARANBURU Alex,25,Astana Pro Team,12.0,25.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,10,30 October 2020,43.67 km/h,50,185 km,11
4,5,74,+1:20:13,87,STANNARD Robert,22,Mitchelton-Scott,4.0,18.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,10,30 October 2020,43.67 km/h,50,185 km,11
5,6,46,+51:51,198,SIMON Julien,35,Team Total Direct Energie,,15.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,10,30 October 2020,43.67 km/h,50,185 km,11
6,7,3,+0:25,181,MARTIN Dan,34,Israel Start-Up Nation,,12.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,10,30 October 2020,43.67 km/h,50,185 km,11
7,8,19,+8:22,151,MARTIN Guillaume,27,"Cofidis, Solutions Crédits",,10.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,10,30 October 2020,43.67 km/h,50,185 km,11
8,9,110,+1:43:00,25,PHILIPSEN Jasper,22,UAE-Team Emirates,,8.0,0:030:03,La_Vuelta_ciclista_a_Espa_a,10,30 October 2020,43.67 km/h,50,185 km,11
9,10,76,+1:23:08,104,CORT Magnus,27,EF Pro Cycling,,6.0,",,0:03",La_Vuelta_ciclista_a_Espa_a,10,30 October 2020,43.67 km/h,50,185 km,11
