,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,1,ROGLIČ Primož,31,Team Jumbo-Visma,100.0,80.0,0:46:39,43.343999999999994,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
1,2,22,+44:11,132,BARTA Will,24,CCC Team,40.0,50.0,0:010:01,43.32899999999999,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
2,3,42,+1:24:53,175,OLIVEIRA Nelson,31,Movistar Team,20.0,35.0,0:100:10,43.19,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
3,4,3,+0:47,102,CARTHY Hugh,26,EF Pro Cycling,12.0,25.0,0:250:25,42.96,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
4,5,27,+51:23,92,ARMIRAIL Bruno,26,Groupama - FDJ,4.0,18.0,0:410:41,42.718,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
5,6,17,+16:11,13,CATTANEO Mattia,30,Deceuninck - Quick Step,,15.0,0:460:46,42.643,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
6,7,2,+0:39,72,CARAPAZ Richard,27,INEOS Grenadiers,,12.0,0:490:49,42.598,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
7,8,97,+2:41:45,18,CAVAGNA Rémi,25,Deceuninck - Quick Step,,10.0,0:580:58,42.464,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
8,9,10,+9:23,21,DE LA CRUZ David,31,UAE-Team Emirates,,8.0,0:590:59,42.449,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
9,10,72,+2:05:18,48,SÜTTERLIN Jasha,27,Team Sunweb,,6.0,1:071:07,42.331,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
10,11,6,+6:15,111,POELS Wout,33,Bahrain - McLaren,,5.0,1:121:12,42.257,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
11,12,18,+18:03,177,SOLER Marc,26,Movistar Team,,4.0,",,1:12",42.257,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
12,13,4,+1:42,181,MARTIN Dan,34,Israel Start-Up Nation,,3.0,1:171:17,42.184,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
13,14,83,+2:29:07,16,STEIMLE Jannik,24,Deceuninck - Quick Step,,2.0,1:291:29,42.008,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
14,15,47,+1:32:11,42,ARENSMAN Thymen,20,Team Sunweb,,1.0,1:301:30,41.994,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
15,16,5,+3:23,174,MAS Enric,25,Movistar Team,,,1:431:43,41.806000000000004,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
16,17,36,+1:13:11,121,CHAMPOUSSIN Clément,22,AG2R La Mondiale,,,1:441:44,41.791000000000004,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
17,18,137,+3:14:41,88,EDMONDSON Alex,26,Mitchelton-Scott,,,1:451:45,41.777,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
18,19,7,+7:14,63,GROßSCHARTNER Felix,26,BORA - hansgrohe,,,1:541:54,41.648,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
19,20,24,+45:44,168,MÄDER Gino,23,NTT Pro Cycling,,,1:561:56,41.619,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
20,21,147,+3:27:01,126,TANFIELD Harry,25,AG2R La Mondiale,,,2:132:13,41.378,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
21,22,119,+2:57:24,27,OLIVEIRA Ivo,24,UAE-Team Emirates,,,2:142:14,41.364,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
22,23,44,+1:25:26,77,VAN BAARLE Dylan,28,INEOS Grenadiers,,,2:172:17,41.321999999999996,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
23,24,9,+8:48,51,VLASOV Aleksandr,24,Astana Pro Team,,,",,2:17",41.321999999999996,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
24,25,40,+1:23:07,166,VALGREN Michael,28,NTT Pro Cycling,,,2:192:19,41.293,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
25,26,31,+57:33,4,GESINK Robert,34,Team Jumbo-Visma,,,2:212:21,41.265,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
26,27,8,+8:39,171,VALVERDE Alejandro,40,Movistar Team,,,2:272:27,41.181000000000004,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
27,28,12,+10:45,94,GAUDU David,24,Groupama - FDJ,,,2:282:28,41.167,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
28,29,37,+1:16:38,12,BAGIOLI Andrea,21,Deceuninck - Quick Step,,,2:332:33,41.098,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
29,30,71,+2:05:16,141,WELLENS Tim,29,Lotto Soudal,,,2:362:36,41.056000000000004,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
30,31,91,+2:37:32,148,VAN MOER Brent,22,Lotto Soudal,,,2:372:37,41.042,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
31,32,102,+2:46:10,114,DAVIES Scott,25,Bahrain - McLaren,,,2:422:42,40.973,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
32,33,25,+45:55,144,GOOSSENS Kobe,24,Lotto Soudal,,,3:013:01,40.711,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
33,34,32,+1:01:15,84,SCHULTZ Nick,26,Mitchelton-Scott,,,3:023:02,40.698,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
34,35,80,+2:21:41,162,DE BOD Stefan,23,NTT Pro Cycling,,,3:033:03,40.684,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
35,36,14,+13:44,6,KUSS Sepp,26,Team Jumbo-Visma,,,3:053:05,40.657,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
36,37,11,+10:36,2,BENNETT George,30,Team Jumbo-Visma,,,3:063:06,40.643,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
37,38,19,+18:11,57,IZAGIRRE Gorka,33,Astana Pro Team,,,3:073:07,40.63,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
38,39,67,+1:59:39,97,ROUX Anthony,33,Groupama - FDJ,,,3:093:09,40.602,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
39,40,15,+14:20,24,HENAO Sergio,32,UAE-Team Emirates,,,3:153:15,40.521,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
40,41,16,+15:34,151,MARTIN Guillaume,27,"Cofidis, Solutions Crédits",,,3:193:19,40.467,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
41,42,50,+1:38:08,22,COSTA Rui,34,UAE-Team Emirates,,,3:313:31,40.306,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
42,43,30,+55:21,23,FORMOLO Davide,28,UAE-Team Emirates,,,3:363:36,40.239000000000004,La_Vuelta_ciclista_a_Espa_a,13,03 November 2020,43.34 km/h,83,33.7 km,11
