,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,131.0,+4:16:49,61,ACKERMANN Pascal,26,BORA - hansgrohe,100.0,80.0,3:28:13,La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
1,2,137.0,+4:39:06,11,BENNETT Sam,30,Deceuninck - Quick Step,40.0,50.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
2,3,112.0,+3:53:44,44,KANTER Max,23,Team Sunweb,20.0,35.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
3,4,85.0,+3:21:10,25,PHILIPSEN Jasper,22,UAE-Team Emirates,12.0,25.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
4,5,55.0,+2:16:38,48,SÜTTERLIN Jasha,28,Team Sunweb,4.0,18.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
5,6,134.0,+4:20:39,157,MORIN Emmanuel,25,"Cofidis, Solutions Crédits",,15.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
6,7,103.0,+3:43:49,167,JANSE VAN RENSBURG Reinardt,31,NTT Pro Cycling,,12.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
7,8,133.0,+4:19:58,192,MANZIN Lorrenzo,26,Team Total Direct Energie,,10.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
8,9,76.0,+2:56:02,87,STANNARD Robert,22,Mitchelton-Scott,,8.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
9,10,117.0,+3:59:53,202,ABERASTURI Jon,31,Caja Rural - Seguros RGA,,6.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
10,11,139.0,+4:46:31,185,RÄIM Mihkel,27,Israel Start-Up Nation,,5.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
11,12,124.0,+4:07:22,37,LIEPIŅŠ Emīls,28,Trek - Segafredo,,4.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
12,13,91.0,+3:27:20,117,WRIGHT Fred,21,Bahrain - McLaren,,3.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
13,14,96.0,+3:31:47,147,VAN DER SANDE Tosh,29,Lotto Soudal,,2.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
14,15,32.0,+1:22:36,176,ROJAS José Joaquín,35,Movistar Team,,1.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
15,16,101.0,+3:38:14,27,OLIVEIRA Ivo,24,UAE-Team Emirates,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
16,17,102.0,+3:43:45,17,ŠTYBAR Zdeněk,34,Deceuninck - Quick Step,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
17,18,119.0,+4:03:39,28,OLIVEIRA Rui,24,UAE-Team Emirates,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
18,19,115.0,+3:57:14,136,WIŚNIOWSKI Łukasz,28,CCC Team,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
19,20,67.0,+2:38:21,104,CORT Magnus,27,EF Pro Cycling,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
20,21,66.0,+2:36:06,97,ROUX Anthony,33,Groupama - FDJ,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
21,22,46.0,+1:57:00,8,VINGEGAARD Jonas,23,Team Jumbo-Visma,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
22,23,65.0,+2:35:29,198,SIMON Julien,35,Team Total Direct Energie,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
23,24,118.0,+4:02:49,135,PALUTA Michał,25,CCC Team,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
24,25,6.0,+7:16,111,POELS Wout,33,Bahrain - McLaren,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
25,26,80.0,+3:13:59,212,BOL Jetse,31,Burgos-BH,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
26,27,128.0,+4:12:35,215,MOLENAAR Alex,21,Burgos-BH,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
27,28,10.0,+9:34,171,VALVERDE Alejandro,40,Movistar Team,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
28,29,11.0,+9:36,51,VLASOV Aleksandr,24,Astana Pro Team,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
29,30,89.0,+3:25:04,214,EZQUERRA Jesús,29,Burgos-BH,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
30,31,9.0,+8:15,63,GROßSCHARTNER Felix,26,BORA - hansgrohe,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
31,32,2.0,+0:24,72,CARAPAZ Richard,27,INEOS Grenadiers,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
32,33,51.0,+1:59:59,5,HOFSTEDE Lennard,25,Team Jumbo-Visma,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
33,34,38.0,+1:42:00,124,GODON Dorian,24,AG2R La Mondiale,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
34,35,14.0,+15:07,151,MARTIN Guillaume,27,"Cofidis, Solutions Crédits",,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
35,36,8.0,+7:45,94,GAUDU David,24,Groupama - FDJ,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
36,37,92.0,+3:29:48,204,BAGÜES Aritz,31,Caja Rural - Seguros RGA,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
37,38,5.0,+3:36,174,MAS Enric,25,Movistar Team,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
38,39,1.0,+0:00,1,ROGLIČ Primož,31,Team Jumbo-Visma,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
39,40,12.0,+14:04,2,BENNETT George,30,Team Jumbo-Visma,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
40,41,16.0,+16:26,6,KUSS Sepp,26,Team Jumbo-Visma,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
41,42,19.0,+21:46,57,IZAGIRRE Gorka,33,Astana Pro Team,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,18,08 November 2020,40.23 km/h,3,139.6 km,11
