,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,145,+5:06:45,65,JAKOBSEN Fabio,23,Deceuninck - Quick Step,100.0,80.0,2:48:20,La_Vuelta_ciclista_a_Espa_a,21,15 September 2019,37.996 km/h,1,106.6 km,16
1,2,134,+4:41:44,43,BENNETT Sam,28,BORA - hansgrohe,40.0,50.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,21,15 September 2019,37.996 km/h,1,106.6 km,16
2,3,142,+5:01:03,56,SAJNOK Szymon,22,CCC Team,20.0,35.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,21,15 September 2019,37.996 km/h,1,106.6 km,16
3,4,140,+4:59:08,192,ABERASTURI Jon,30,Caja Rural - Seguros RGA,12.0,25.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,21,15 September 2019,37.996 km/h,1,106.6 km,16
4,5,96,+3:40:52,114,BOASSON HAGEN Edvald,32,Team Dimension Data,4.0,18.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,21,15 September 2019,37.996 km/h,1,106.6 km,16
5,6,133,+4:39:26,168,THEUNS Edward,28,Trek - Segafredo,,15.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,21,15 September 2019,37.996 km/h,1,106.6 km,16
6,7,65,+2:53:26,95,VAN DER SANDE Tosh,28,Lotto Soudal,,12.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,21,15 September 2019,37.996 km/h,1,106.6 km,16
7,8,90,+3:37:27,18,VENTURINI Clément,25,AG2R La Mondiale,,10.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,21,15 September 2019,37.996 km/h,1,106.6 km,16
8,9,139,+4:56:21,81,SARREAU Marc,26,Groupama - FDJ,,8.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,21,15 September 2019,37.996 km/h,1,106.6 km,16
9,10,83,+3:29:59,108,SMITH Dion,26,Mitchelton-Scott,,6.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,21,15 September 2019,37.996 km/h,1,106.6 km,16
10,11,124,+4:28:32,162,DEGENKOLB John,30,Trek - Segafredo,,5.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,21,15 September 2019,37.996 km/h,1,106.6 km,16
11,12,79,+3:27:25,24,FRAILE Omar,29,Astana Pro Team,,4.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,21,15 September 2019,37.996 km/h,1,106.6 km,16
12,13,147,+5:11:32,173,GAVIRIA Fernando,25,UAE-Team Emirates,,3.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,21,15 September 2019,37.996 km/h,1,106.6 km,16
13,14,137,+4:46:52,158,WALSCHEID Max,26,Team Sunweb,,2.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,21,15 September 2019,37.996 km/h,1,106.6 km,16
