,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,5,+0:59,14,GALLOPIN Tony,30,AG2R La Mondiale,100.0,80.0,4:18:20,La_Vuelta_ciclista_a_Espa_a,7,31 August 2018,43.13 km/h,76,185.7 km,10
1,2,103,+42:29,41,SAGAN Peter,28,BORA - hansgrohe,40.0,50.0,0:050:05,La_Vuelta_ciclista_a_Espa_a,7,31 August 2018,43.13 km/h,76,185.7 km,10
2,3,2,+0:47,88,VALVERDE Alejandro,38,Movistar Team,20.0,35.0,",,0:05",La_Vuelta_ciclista_a_Espa_a,7,31 August 2018,43.13 km/h,76,185.7 km,10
3,4,45,+14:21,211,PRADES Eduard,31,Euskadi - Murias,12.0,25.0,",,0:05",La_Vuelta_ciclista_a_Espa_a,7,31 August 2018,43.13 km/h,76,185.7 km,10
4,5,89,+33:52,24,FRAILE Omar,28,Astana Pro Team,4.0,18.0,",,0:05",La_Vuelta_ciclista_a_Espa_a,7,31 August 2018,43.13 km/h,76,185.7 km,10
5,6,14,+1:29,111,URÁN Rigoberto,31,Team EF Education First-Drapac p/b Cannondale,,15.0,",,0:05",La_Vuelta_ciclista_a_Espa_a,7,31 August 2018,43.13 km/h,76,185.7 km,10
6,7,7,+1:11,4,IZAGIRRE Ion,29,Bahrain Merida Pro Cycling Team,,12.0,",,0:05",La_Vuelta_ciclista_a_Espa_a,7,31 August 2018,43.13 km/h,76,185.7 km,10
7,8,10,+1:23,95,MAS Enric,23,Quick-Step Floors,,10.0,",,0:05",La_Vuelta_ciclista_a_Espa_a,7,31 August 2018,43.13 km/h,76,185.7 km,10
8,9,17,+2:50,151,KELDERMAN Wilco,27,Team Sunweb,,8.0,",,0:05",La_Vuelta_ciclista_a_Espa_a,7,31 August 2018,43.13 km/h,76,185.7 km,10
9,10,47,+14:48,135,KUSS Sepp,23,Team LottoNL-Jumbo,,6.0,",,0:05",La_Vuelta_ciclista_a_Espa_a,7,31 August 2018,43.13 km/h,76,185.7 km,10
