,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,1,ROGLIČ Primož,31,Team Jumbo-Visma,850.0,400,72:46:12,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
1,2,2,-,72,CARAPAZ Richard,27,INEOS Grenadiers,680.0,290,0:240:24,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
2,3,3,-,102,CARTHY Hugh,26,EF Pro Cycling,575.0,240,1:151:15,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
3,4,4,-,181,MARTIN Dan,34,Israel Start-Up Nation,460.0,220,2:432:43,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
4,5,5,-,174,MAS Enric,25,Movistar Team,380.0,200,3:363:36,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
5,6,6,-,111,POELS Wout,33,Bahrain - McLaren,320.0,190,7:167:16,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
6,7,7,-,21,DE LA CRUZ David,31,UAE-Team Emirates,260.0,180,7:357:35,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
7,8,8,-,94,GAUDU David,24,Groupama - FDJ,220.0,170,7:457:45,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
8,9,9,-,63,GROßSCHARTNER Felix,26,BORA - hansgrohe,180.0,160,8:158:15,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
9,10,10,-,171,VALVERDE Alejandro,40,Movistar Team,140.0,150,9:349:34,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
10,11,11,-,51,VLASOV Aleksandr,24,Astana Pro Team,120.0,140,9:369:36,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
11,12,12,-,2,BENNETT George,30,Team Jumbo-Visma,100.0,130,14:0414:04,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
12,13,13,-,83,NIEVE Mikel,36,Mitchelton-Scott,84.0,120,14:4714:47,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
13,14,14,-,151,MARTIN Guillaume,27,"Cofidis, Solutions Crédits",68.0,110,15:0715:07,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
14,15,15,-,24,HENAO Sergio,32,UAE-Team Emirates,60.0,100,15:3615:36,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
15,16,16,-,6,KUSS Sepp,26,Team Jumbo-Visma,56.0,90,16:2616:26,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
16,17,17,-,13,CATTANEO Mattia,30,Deceuninck - Quick Step,52.0,85,17:4517:45,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
17,18,18,-,177,SOLER Marc,26,Movistar Team,48.0,80,21:0121:01,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
18,19,19,-,57,IZAGIRRE Gorka,33,Astana Pro Team,44.0,75,21:4621:46,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
19,20,20,-,168,MÄDER Gino,23,NTT Pro Cycling,40.0,70,43:3943:39,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
20,21,21,-,137,ZIMMERMANN Georg,23,CCC Team,32.0,65,45:4045:40,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
21,22,22,-,132,BARTA Will,24,CCC Team,32.0,60,50:0450:04,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
22,23,23,-,156,MATÉ Luis Ángel,36,"Cofidis, Solutions Crédits",32.0,55,55:0655:06,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
23,24,24,-,144,GOOSSENS Kobe,24,Lotto Soudal,32.0,50,1:02:571:02:57,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
24,25,25,-,84,SCHULTZ Nick,26,Mitchelton-Scott,32.0,45,1:03:461:03:46,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
25,26,26,-,154,HERRADA José,35,"Cofidis, Solutions Crédits",24.0,40,1:05:171:05:17,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
26,27,27,-,81,CHAVES Esteban,30,Mitchelton-Scott,24.0,35,1:09:511:09:51,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
27,28,28,-,92,ARMIRAIL Bruno,26,Groupama - FDJ,24.0,30,1:10:221:10:22,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
28,29,29,-,55,IZAGIRRE Ion,31,Astana Pro Team,24.0,25,1:12:121:12:12,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
29,30,30,-,178,VERONA Carlos,28,Movistar Team,24.0,20,1:13:221:13:22,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
30,31,32,▲1,121,CHAMPOUSSIN Clément,22,AG2R La Mondiale,20.0,20,1:21:201:21:20,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
31,32,33,▲1,176,ROJAS José Joaquín,35,Movistar Team,20.0,20,1:22:361:22:36,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
32,33,35,▲2,166,VALGREN Michael,28,NTT Pro Cycling,20.0,20,1:29:171:29:17,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
33,34,34,-,108,WOODS Michael,34,EF Pro Cycling,20.0,20,1:29:261:29:26,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
34,35,36,▲1,4,GESINK Robert,34,Team Jumbo-Visma,20.0,20,1:30:311:30:31,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
35,36,37,▲1,125,PETERS Nans,26,AG2R La Mondiale,20.0,20,1:30:351:30:35,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
36,37,38,▲1,41,POWER Robert,25,Team Sunweb,20.0,20,1:33:581:33:58,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
37,38,39,▲1,124,GODON Dorian,24,AG2R La Mondiale,20.0,20,1:42:001:42:00,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
38,39,40,▲1,175,OLIVEIRA Nelson,31,Movistar Team,20.0,20,1:42:021:42:02,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
39,40,41,▲1,46,STORER Michael,23,Team Sunweb,20.0,20,1:43:561:43:56,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
40,41,42,▲1,42,ARENSMAN Thymen,20,Team Sunweb,16.0,20,1:49:101:49:10,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
41,42,43,▲1,31,LÓPEZ Juan Pedro,23,Trek - Segafredo,16.0,20,1:51:001:51:00,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
42,43,45,▲2,211,MADRAZO Ángel,32,Burgos-BH,16.0,20,1:54:241:54:24,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
43,44,44,-,22,COSTA Rui,34,UAE-Team Emirates,16.0,20,1:54:481:54:48,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
44,45,46,▲1,197,SICARD Romain,32,Team Total Direct Energie,16.0,20,1:55:441:55:44,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
45,46,47,▲1,8,VINGEGAARD Jonas,23,Team Jumbo-Visma,16.0,20,1:57:001:57:00,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
46,47,48,▲1,173,ERVITI Imanol,36,Movistar Team,16.0,20,1:57:221:57:22,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
47,48,49,▲1,43,DONOVAN Mark,21,Team Sunweb,16.0,20,1:58:521:58:52,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
48,49,50,▲1,77,VAN BAARLE Dylan,28,INEOS Grenadiers,16.0,20,1:59:361:59:36,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
49,50,51,▲1,203,AMEZQUETA Julen,27,Caja Rural - Seguros RGA,16.0,20,1:59:581:59:58,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
50,51,52,▲1,5,HOFSTEDE Lennard,25,Team Jumbo-Visma,12.0,20,1:59:591:59:59,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
51,52,53,▲1,73,AMADOR Andrey,34,INEOS Grenadiers,12.0,20,2:10:342:10:34,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
52,53,54,▲1,113,BUITRAGO Santiago,21,Bahrain - McLaren,12.0,20,2:14:342:14:34,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
53,54,55,▲1,82,GRMAY Tsgabu,29,Mitchelton-Scott,12.0,20,2:15:162:15:16,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
54,55,56,▲1,48,SÜTTERLIN Jasha,28,Team Sunweb,12.0,20,2:16:382:16:38,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
55,56,57,▲1,133,HIRT Jan,29,CCC Team,8.0,20,2:20:002:20:00,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
56,57,58,▲1,208,SERRANO Gonzalo,26,Caja Rural - Seguros RGA,8.0,20,2:20:052:20:05,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
57,58,59,▲1,56,KUDUS Merhawi,26,Astana Pro Team,8.0,20,2:20:112:20:11,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
58,59,60,▲1,34,EG Niklas,25,Trek - Segafredo,8.0,20,2:24:362:24:36,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
59,60,61,▲1,38,RIES Michel,22,Trek - Segafredo,8.0,20,2:25:502:25:50,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
60,61,62,▲1,201,LASTRA Jonathan,27,Caja Rural - Seguros RGA,,20,2:29:212:29:21,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
61,62,63,▲1,76,SOSA Iván Ramiro,23,INEOS Grenadiers,,20,2:30:012:30:01,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
62,63,64,▲1,213,CABEDO Óscar,25,Burgos-BH,,20,2:30:262:30:26,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
63,64,65,▲1,54,FRAILE Omar,30,Astana Pro Team,,20,2:33:312:33:31,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
64,65,66,▲1,198,SIMON Julien,35,Team Total Direct Energie,,20,2:35:292:35:29,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
65,66,67,▲1,97,ROUX Anthony,33,Groupama - FDJ,,20,2:36:062:36:06,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
66,67,68,▲1,104,CORT Magnus,27,EF Pro Cycling,,20,2:38:212:38:21,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
67,68,69,▲1,96,LE GAC Olivier,27,Groupama - FDJ,,20,2:41:222:41:22,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
68,69,70,▲1,65,SCHELLING Ide,22,BORA - hansgrohe,,20,2:46:532:46:53,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
69,70,71,▲1,143,DEWULF Stan,22,Lotto Soudal,,20,2:48:182:48:18,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
70,71,72,▲1,206,GARCÍA Jhojan,22,Caja Rural - Seguros RGA,,20,2:48:522:48:52,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
71,72,73,▲1,183,HOLLENSTEIN Reto,35,Israel Start-Up Nation,,20,2:51:562:51:56,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
72,73,74,▲1,217,SMIT Willie,27,Burgos-BH,,20,2:52:112:52:11,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
73,74,76,▲2,86,SMITH Dion,27,Mitchelton-Scott,,20,2:54:192:54:19,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
74,75,75,-,52,ARANBURU Alex,25,Astana Pro Team,,20,2:54:432:54:43,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
75,76,77,▲1,87,STANNARD Robert,22,Mitchelton-Scott,,20,2:56:022:56:02,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
76,77,78,▲1,172,ARCAS Jorge,28,Movistar Team,,20,2:58:222:58:22,..,La_Vuelta_ciclista_a_Espa_a,GC,08 November 2020,-,0,0 km,11
