,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,131,ROGLIČ Primož,29,Team Jumbo-Visma,850.0,400,83:07:14,..,La_Vuelta_ciclista_a_Espa_a,GC,15 September 2019,-,0,0 km,16
1,2,2,-,1,VALVERDE Alejandro,39,Movistar Team,680.0,290,2:332:33,..,La_Vuelta_ciclista_a_Espa_a,GC,15 September 2019,-,0,0 km,16
2,3,3,-,177,POGAČAR Tadej,20,UAE-Team Emirates,575.0,240,2:552:55,..,La_Vuelta_ciclista_a_Espa_a,GC,15 September 2019,-,0,0 km,16
3,4,4,-,7,QUINTANA Nairo,29,Movistar Team,460.0,220,3:463:46,..,La_Vuelta_ciclista_a_Espa_a,GC,15 September 2019,-,0,0 km,16
4,5,5,-,21,LÓPEZ Miguel Ángel,25,Astana Pro Team,380.0,200,4:484:48,..,La_Vuelta_ciclista_a_Espa_a,GC,15 September 2019,-,0,0 km,16
5,6,6,-,41,MAJKA Rafał,30,BORA - hansgrohe,320.0,190,7:337:33,..,La_Vuelta_ciclista_a_Espa_a,GC,15 September 2019,-,0,0 km,16
6,7,7,-,151,KELDERMAN Wilco,28,Team Sunweb,260.0,180,10:0410:04,..,La_Vuelta_ciclista_a_Espa_a,GC,15 September 2019,-,0,0 km,16
7,8,8,-,93,HAGEN Carl Fredrik,27,Lotto Soudal,220.0,170,12:5412:54,..,La_Vuelta_ciclista_a_Espa_a,GC,15 September 2019,-,0,0 km,16
8,9,9,-,8,SOLER Marc,25,Movistar Team,180.0,160,22:2722:27,..,La_Vuelta_ciclista_a_Espa_a,GC,15 September 2019,-,0,0 km,16
9,10,10,-,106,NIEVE Mikel,35,Mitchelton-Scott,140.0,150,22:3422:34,..,La_Vuelta_ciclista_a_Espa_a,GC,15 September 2019,-,0,0 km,16
10,11,11,-,66,KNOX James,23,Deceuninck - Quick Step,120.0,140,22:5522:55,..,La_Vuelta_ciclista_a_Espa_a,GC,15 September 2019,-,0,0 km,16
11,12,12,-,38,TEUNS Dylan,27,Bahrain Merida,100.0,130,24:0624:06,..,La_Vuelta_ciclista_a_Espa_a,GC,15 September 2019,-,0,0 km,16
12,13,13,-,25,FUGLSANG Jakob,34,Astana Pro Team,84.0,120,26:4926:49,..,La_Vuelta_ciclista_a_Espa_a,GC,15 September 2019,-,0,0 km,16
13,14,14,-,75,HIGUITA Sergio,22,EF Education First,68.0,110,32:1732:17,..,La_Vuelta_ciclista_a_Espa_a,GC,15 September 2019,-,0,0 km,16
